trial_id,N_intended,N_primary,N_FAIL,N_UNKNOWN,primary_rate_if_denominator_positive
0,318,0,0,0,
1,109,0,0,0,
2,104,0,0,0,
3,122,0,0,0,
4,353,0,0,0,
5,168,0,0,0,
6,107,0,0,0,
7,222,0,0,0,
8,326,0,0,0,
9,302,0,0,0,
10,255,0,0,0,
11,349,0,0,0,
12,365,0,0,0,
13,121,0,0,0,
14,115,0,0,0,
15,127,0,0,0,
16,35,0,0,0,
17,177,0,0,0,
18,417,0,0,0,
19,406,0,0,0,
20,159,0,0,0,
21,144,0,0,0,
22,154,0,0,0,
23,61,0,0,0,
24,148,0,0,0,
25,333,0,0,0,
26,121,0,0,0,
27,118,0,0,0,
28,130,0,0,0,
29,154,0,0,0,
30,43,0,0,0,
31,48,0,0,0,
32,63,0,0,0,
33,45,0,0,0,
34,48,0,0,0,
35,41,0,0,0,
36,39,0,0,0,
37,43,0,0,0,
38,41,0,0,0,
39,48,0,0,0,
40,42,0,0,0,
41,44,0,0,0,
42,47,0,0,0,
43,43,0,0,0,
44,77,0,0,0,
45,51,0,0,0,
46,51,0,0,0,
47,70,0,0,0,
48,65,0,0,0,
49,43,0,0,0,
50,40,0,0,0,
51,68,0,0,0,
52,90,0,0,0,
53,53,0,0,0,
54,73,0,0,0,
55,41,0,0,0,
56,58,0,0,0,
57,38,0,0,0,
58,39,0,0,0,
59,34,0,0,0,
60,30,0,0,0,
61,37,0,0,0,
62,35,0,0,0,
63,135,0,0,0,
64,416,0,0,0,
65,383,0,0,0,
66,372,0,0,0,
67,312,0,0,0,
68,364,0,0,0,
69,179,0,0,0,
70,152,0,0,0,
71,140,0,0,0,
72,38,0,0,0,
73,41,0,0,0,
74,27,0,0,0,
75,238,0,0,0,
76,270,0,0,0,
77,155,0,0,0,
78,37,0,0,0,
79,22,0,0,0,
80,8,0,0,0,
81,30,0,0,0,
82,18,0,0,0,
83,8,0,0,0,
84,94,0,0,0,
85,87,0,0,0,
86,93,0,0,0,
87,236,0,0,0,
88,215,0,0,0,
89,218,0,0,0,
90,242,0,0,0,
91,103,0,0,0,
92,194,0,0,0,
93,179,0,0,0,
94,173,0,0,0,
95,6,0,0,0,
96,352,0,0,0,
97,317,0,0,0,
98,302,0,0,0,
99,318,0,0,0,
