event,frozen_scope,runtime_seen,reason_scope,verdict
INITIAL_SAFE,PR107/PublicCycleEvent,True,typed frozen mapping,OBSERVED
INITIAL_REPAIR_REQUIRED,PR107/PublicCycleEvent,True,typed frozen mapping,OBSERVED
REPAIR_PASS,PR107/PublicCycleEvent,False,typed frozen mapping,NOT_DIRECTLY_EMITTED_OR_STATIC_GAP
REPAIR_FAIL,PR107/PublicCycleEvent,True,typed frozen mapping,OBSERVED
REPAIR_UNKNOWN,PR107/PublicCycleEvent,True,typed frozen mapping,OBSERVED
R0_DIAGNOSTIC_COMPLETE,PR107/PublicCycleEvent,True,typed frozen mapping,OBSERVED
L1_PASS,PR107/PublicCycleEvent,True,typed frozen mapping,OBSERVED
L1_FAIL,PR107/PublicCycleEvent,True,typed frozen mapping,OBSERVED
L1_UNKNOWN,PR107/PublicCycleEvent,False,typed frozen mapping,NOT_DIRECTLY_EMITTED_OR_STATIC_GAP
PRIMARY_AVAILABLE,PR107/PublicCycleEvent,True,typed frozen mapping,OBSERVED
NO_CANDIDATE,PR107/PublicCycleEvent,True,typed frozen mapping,OBSERVED
PRIMARY_UNKNOWN,PR107/PublicCycleEvent,False,typed frozen mapping,NOT_DIRECTLY_EMITTED_OR_STATIC_GAP
C0_PASS,PR107/PublicCycleEvent,True,typed frozen mapping,OBSERVED
C0_FAIL,PR107/PublicCycleEvent,False,typed frozen mapping,NOT_DIRECTLY_EMITTED_OR_STATIC_GAP
C0_UNKNOWN,PR107/PublicCycleEvent,False,typed frozen mapping,NOT_DIRECTLY_EMITTED_OR_STATIC_GAP
L2_PASS,PR107/PublicCycleEvent,True,typed frozen mapping,OBSERVED
L2_FAIL,PR107/PublicCycleEvent,True,typed frozen mapping,OBSERVED
L2_UNKNOWN,PR107/PublicCycleEvent,False,typed frozen mapping,NOT_DIRECTLY_EMITTED_OR_STATIC_GAP
L3_PASS,PR107/PublicCycleEvent,False,typed frozen mapping,NOT_DIRECTLY_EMITTED_OR_STATIC_GAP
L3_FAIL,PR107/PublicCycleEvent,False,typed frozen mapping,NOT_DIRECTLY_EMITTED_OR_STATIC_GAP
L3_UNKNOWN,PR107/PublicCycleEvent,False,typed frozen mapping,NOT_DIRECTLY_EMITTED_OR_STATIC_GAP
ALT_AVAILABLE,PR107/PublicCycleEvent,True,typed frozen mapping,OBSERVED
ALT_EXHAUSTED,PR107/PublicCycleEvent,True,typed frozen mapping,OBSERVED
NO_ALTERNATIVE_AVAILABLE,PR107/PublicCycleEvent,False,typed frozen mapping,NOT_DIRECTLY_EMITTED_OR_STATIC_GAP
ALT_UNKNOWN,PR107/PublicCycleEvent,False,typed frozen mapping,NOT_DIRECTLY_EMITTED_OR_STATIC_GAP
DEADLINE_GUARD,PR107/PublicCycleEvent,True,typed frozen mapping,OBSERVED
ARBITRATE,PR107/PublicCycleEvent,True,typed frozen mapping,OBSERVED
EXECUTE_RETAINED_BACKUP,PR107/PublicCycleEvent,True,typed frozen mapping,OBSERVED
TERMINAL_READY,PR107/PublicCycleEvent,False,typed frozen mapping,NOT_DIRECTLY_EMITTED_OR_STATIC_GAP
TERMINAL_NOT_READY,PR107/PublicCycleEvent,False,typed frozen mapping,NOT_DIRECTLY_EMITTED_OR_STATIC_GAP
TERMINAL_UNKNOWN,PR107/PublicCycleEvent,True,typed frozen mapping,OBSERVED
STAGE_EXCEPTION,PR107/PublicCycleEvent,True,typed frozen mapping,OBSERVED
BOUNDARY,PR107/PublicCycleEvent,False,typed frozen mapping,NOT_DIRECTLY_EMITTED_OR_STATIC_GAP
