environment,cohort,ordinal,state_id,position_m,velocity_m_per_s,goal_m,source_type,failure_stratum
E1_REPLICA_GT_FINE,C0_METHOD_INDEPENDENT,1,002b6f245470919aaa880323bfdda87cf5e080c8098daa51628f914b81a5ede6,"[-1.693390965461731,0.20355135202407837,0.8107724785804749]","[0.02474633710682729,-0.0021518552722530233,0.0028263613856935625]","[-1.1937029361724854,0.16010022163391113,0.867843508720398]",ROUTE_EDGE,
E1_REPLICA_GT_FINE,C0_METHOD_INDEPENDENT,2,151a1a74a34a8851dacc7ea099d5f017965f7b711052f65f6c97d24e6b7fb8b0,"[2.308898091316223,2.925234794616699,-0.6090812385082245]","[0.007198203245529906,0.0,0.09974059288993646]","[2.357872724533081,2.925234794616699,0.06952685117721558]",ROUTE_EDGE,
E1_REPLICA_GT_FINE,C0_METHOD_INDEPENDENT,3,16fe88262694ace7502b8af046b32807208de36081c7b9899ad12e38ab16a196,"[-0.6565583944320679,2.925234794616699,0.6086075305938721]","[0.02259266141793124,0.0,0.010703814743105437]","[0.41627371311187744,2.925234794616699,1.1168874502182007]",ROUTE_NODE,
E1_REPLICA_GT_FINE,C0_METHOD_INDEPENDENT,4,2211e7fc233d3f44550a3487042a97d8b30645fc3956b09e879d5faa3cb90649,"[1.1486784219741821,0.12523484230041504,0.6198881715536118]","[-0.049950578730930714,0.0,0.002222540088523214]","[0.6400046348571777,0.12523484230041504,0.6425215005874634]",ROUTE_EDGE,
E1_REPLICA_GT_FINE,C0_METHOD_INDEPENDENT,5,2cc3321a1b80b9ddf1373cbeb1b7aeeeda1d16896d422ab67107ee95ada3d0c6,"[0.11008784174919128,2.925234794616699,0.4224375858902931]","[0.07532684510015196,0.0,-0.06577131903236938]","[0.3277817964553833,2.925234794616699,0.23235902190208435]",ROUTE_EDGE,
E1_REPLICA_GT_FINE,C0_METHOD_INDEPENDENT,6,3f0ae49f67739aa508d7b7891f8200f17489303e36e3b7c1d1ffb62ab00f4eba,"[-0.22326528280973434,2.925234794616699,1.1850150227546692]","[-0.0,0.0,-0.0]","[-0.5429940223693848,2.925234794616699,0.9926732778549194]",ROUTE_EDGE,
E1_REPLICA_GT_FINE,C0_METHOD_INDEPENDENT,7,4f8493fd890064bef32029677a254723ccba9383aed01981ce69df51b517af7b,"[3.59696227312088,2.925234794616699,2.439902901649475]","[-0.0,0.0,-0.0]","[3.259033441543579,2.925234794616699,1.7459735870361328]",ROUTE_EDGE,
E1_REPLICA_GT_FINE,C0_METHOD_INDEPENDENT,8,5955840c212b4074ad46d065de442f1d835a0cd5be2975bee15ed83cf50eb0d0,"[-0.4094833433628082,0.12523484230041504,-0.4179464280605316]","[0.06612316508283175,0.0,-0.035393884209402315]","[0.49911826848983765,0.12523484230041504,-0.9042955040931702]",ROUTE_NODE,
E1_REPLICA_GT_FINE,C0_METHOD_INDEPENDENT,9,638c9b05c8cb67a9f24eaf37d7695722d4e1127a0642c9ba72149bff6dd24bc6,"[3.471485197544098,0.12523484230041504,-0.9791279584169388]","[0.06903744719750807,0.0,0.029305816563462015]","[4.555971145629883,0.12523484230041504,-0.5187727808952332]",ROUTE_EDGE,
E1_REPLICA_GT_FINE,C0_METHOD_INDEPENDENT,10,81bd8b30708aafa4bc9934effa7973b325db701a2035093a09d36376fa07301f,"[0.11526064574718475,0.12523484230041504,0.11228753626346588]","[0.0,0.0,0.0]","[0.6400046348571777,0.12523484230041504,0.6425215005874634]",ROUTE_EDGE,
E1_REPLICA_GT_FINE,C0_METHOD_INDEPENDENT,11,8e504196defd2c5ea1aec7490652787a66f7aefbb06c6d9fe6871d505c4ca55c,"[3.295534610748291,0.12523484230041504,-1.0322876870632172]","[-0.04398556873780626,0.0,-0.023775402053629303]","[3.109989881515503,0.12523484230041504,-1.1325796842575073]",ROUTE_EDGE,
