environment,method,records,committed,current_pass,segment_pass,backup_pass,terminal_already_safe,segment_increment,backup_increment,directional_increment,any_increment,typed_status_counts
E1_REPLICA_GT_FINE,B0_CURRENT_CBF_ONLY,160,160,160,0,0,0,0,0,0,0,"{""CERTIFIED_NOMINAL_CONTROL"": 160}"
E1_REPLICA_GT_FINE,B1_PLUS_SWEPT_SEGMENT,160,160,160,160,0,0,0,0,0,0,"{""CERTIFIED_NOMINAL_CONTROL"": 160}"
E1_REPLICA_GT_FINE,B2_PLUS_TERMINAL_BACKUP,160,160,160,160,160,35,0,0,0,0,"{""CERTIFIED_NOMINAL_CONTROL"": 125, ""CERTIFIED_TERMINAL_ACTION"": 35}"
E1_REPLICA_GT_FINE,B3_FULL_UNIFIED_WITH_DIRECTIONAL_ALTERNATIVES,160,160,160,160,160,35,0,0,0,0,"{""CERTIFIED_NOMINAL_CONTROL"": 125, ""CERTIFIED_TERMINAL_ACTION"": 35}"
E5_STONEHENGE_SAFER,B0_CURRENT_CBF_ONLY,100,0,0,0,0,0,0,0,0,0,"{""FAIL_CLOSED_CURRENT_CBF_INFEASIBLE"": 100}"
E5_STONEHENGE_SAFER,B1_PLUS_SWEPT_SEGMENT,100,0,0,0,0,0,0,0,0,0,"{""FAIL_CLOSED_CURRENT_CBF_INFEASIBLE"": 100}"
E5_STONEHENGE_SAFER,B2_PLUS_TERMINAL_BACKUP,100,0,0,0,0,0,0,0,0,0,"{""FAIL_CLOSED_CURRENT_CBF_INFEASIBLE"": 100}"
E5_STONEHENGE_SAFER,B3_FULL_UNIFIED_WITH_DIRECTIONAL_ALTERNATIVES,100,0,0,0,0,0,0,0,0,0,"{""FAIL_CLOSED_CURRENT_CBF_INFEASIBLE"": 100}"
E6_FLIGHT_SAFER,B0_CURRENT_CBF_ONLY,100,26,26,0,0,0,0,0,0,0,"{""CERTIFIED_NOMINAL_CONTROL"": 26, ""FAIL_CLOSED_CURRENT_CBF_INFEASIBLE"": 74}"
E6_FLIGHT_SAFER,B1_PLUS_SWEPT_SEGMENT,100,26,26,26,0,0,0,0,0,0,"{""CERTIFIED_NOMINAL_CONTROL"": 26, ""FAIL_CLOSED_CURRENT_CBF_INFEASIBLE"": 74}"
E6_FLIGHT_SAFER,B2_PLUS_TERMINAL_BACKUP,100,26,26,26,26,26,0,0,0,0,"{""CERTIFIED_TERMINAL_ACTION"": 26, ""FAIL_CLOSED_CURRENT_CBF_INFEASIBLE"": 74}"
E6_FLIGHT_SAFER,B3_FULL_UNIFIED_WITH_DIRECTIONAL_ALTERNATIVES,100,26,26,26,26,26,0,0,0,0,"{""CERTIFIED_TERMINAL_ACTION"": 26, ""FAIL_CLOSED_CURRENT_CBF_INFEASIBLE"": 74}"
