evidence_class,environment,stage,n,unconditional_rate,conditional_rate,zero_event_95_upper,dropout_reason
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,CURRENT_QUERY_FINITE,160,1.0,1.0,NOT_APPLICABLE,
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,B0_CURRENT_FEASIBLE,160,1.0,1.0,NOT_APPLICABLE,
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,B1_EVALUABLE,160,1.0,1.0,NOT_APPLICABLE,
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,B2_EVALUABLE,160,1.0,1.0,NOT_APPLICABLE,
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,B3_EVALUABLE,160,1.0,1.0,NOT_APPLICABLE,
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,FINAL_DECISION_CHANGE,0,0.0,0.0,,B0_LEFT_TRUNCATION
E1_REANALYSIS_OF_FROZEN_RECORDS,E5_STONEHENGE_SAFER,CURRENT_QUERY_FINITE,100,1.0,1.0,NOT_APPLICABLE,
E1_REANALYSIS_OF_FROZEN_RECORDS,E5_STONEHENGE_SAFER,B0_CURRENT_FEASIBLE,0,0.0,0.0,,B0_LEFT_TRUNCATION
E1_REANALYSIS_OF_FROZEN_RECORDS,E5_STONEHENGE_SAFER,B1_EVALUABLE,0,0.0,NOT_EVALUABLE,,B0_LEFT_TRUNCATION
E1_REANALYSIS_OF_FROZEN_RECORDS,E5_STONEHENGE_SAFER,B2_EVALUABLE,0,0.0,NOT_EVALUABLE,,B0_LEFT_TRUNCATION
E1_REANALYSIS_OF_FROZEN_RECORDS,E5_STONEHENGE_SAFER,B3_EVALUABLE,0,0.0,NOT_EVALUABLE,,B0_LEFT_TRUNCATION
E1_REANALYSIS_OF_FROZEN_RECORDS,E5_STONEHENGE_SAFER,FINAL_DECISION_CHANGE,0,0.0,NOT_EVALUABLE,,B0_LEFT_TRUNCATION
E1_REANALYSIS_OF_FROZEN_RECORDS,E6_FLIGHT_SAFER,CURRENT_QUERY_FINITE,100,1.0,1.0,NOT_APPLICABLE,
E1_REANALYSIS_OF_FROZEN_RECORDS,E6_FLIGHT_SAFER,B0_CURRENT_FEASIBLE,26,0.26,0.26,NOT_APPLICABLE,
E1_REANALYSIS_OF_FROZEN_RECORDS,E6_FLIGHT_SAFER,B1_EVALUABLE,26,0.26,1.0,NOT_APPLICABLE,
E1_REANALYSIS_OF_FROZEN_RECORDS,E6_FLIGHT_SAFER,B2_EVALUABLE,26,0.26,1.0,NOT_APPLICABLE,
E1_REANALYSIS_OF_FROZEN_RECORDS,E6_FLIGHT_SAFER,B3_EVALUABLE,26,0.26,1.0,NOT_APPLICABLE,
E1_REANALYSIS_OF_FROZEN_RECORDS,E6_FLIGHT_SAFER,FINAL_DECISION_CHANGE,0,0.0,0.0,,B0_LEFT_TRUNCATION
