evidence_class,S0_current_position,S1_end_position,S2_end_position,S3_end_position_zero_hold,dp_tau_du_max_abs,environment,p_next_formula_max_abs_error,p_tau_control_independence_max_abs_error,shadow_definition,state_id,v_next_formula_max_abs_error
E2_SHADOW_DIAGNOSTIC,"[-1.693390965461731, 0.20355135202407837, 0.8107724785804749]","[-1.6921536486063895, 0.2034437592604657, 0.8109137966497595]","[-1.6907281976628072, 0.2030915489619284, 0.8112980471409046]","[-1.689302746719225, 0.2027393386633911, 0.8116822976320497]",0.0,E1_REPLICA_GT_FINE,0.0,0.0,S0 current; S1 immediate p+dt*v; S2 next candidate-affected segment; S3 next zero-hold segment.,002b6f245470919aaa880323bfdda87cf5e080c8098daa51628f914b81a5ede6,0.0
E2_SHADOW_DIAGNOSTIC,"[4.511950612068176, 0.12523484230041504, 0.28888845816254616]","[4.511950612068176, 0.12523484230041504, 0.28888845816254616]","[4.511700749494631, 0.12523484230041504, 0.2891383207360917]","[4.511450886921086, 0.12523484230041504, 0.2893881833096372]",0.0,E1_REPLICA_GT_FINE,0.0,0.0,S0 current; S1 immediate p+dt*v; S2 next candidate-affected segment; S3 next zero-hold segment.,02b145999e5475b5f73ab85539be45cdbcecbc2e4ff51edc10178fd1a57cafa2,0.0
E2_SHADOW_DIAGNOSTIC,"[3.5284748673439026, 0.12523484230041504, 0.3097197227180004]","[3.5240760034731498, 0.12523484230041504, 0.3073427505585956]","[3.5196470827964337, 0.12523484230041504, 0.3048346270089688]","[3.5152181621197176, 0.12523484230041504, 0.302326503459342]",0.0,E1_REPLICA_GT_FINE,0.0,0.0,S0 current; S1 immediate p+dt*v; S2 next candidate-affected segment; S3 next zero-hold segment.,0722f797f394ad578c2f9a6f6dd0e3b791e2bb0d6749d512fb4e6a38af170e7b,0.0
E2_SHADOW_DIAGNOSTIC,"[3.161897897720337, 0.12523484230041504, 2.160782814025879]","[3.1603920982447096, 0.12523484230041504, 2.1655506823062742]","[3.158711588752443, 0.12523484230041504, 2.1703301571707834]","[3.1570310792601766, 0.12523484230041504, 2.1751096320352925]",0.0,E1_REPLICA_GT_FINE,0.0,0.0,S0 current; S1 immediate p+dt*v; S2 next candidate-affected segment; S3 next zero-hold segment.,093f73b9f5eb9fb16c58e8e7316af135c0e14ce15c372404d029b6ab3edab683,0.0
E2_SHADOW_DIAGNOSTIC,"[4.0898131132125854, 0.12523484230041504, -0.12253284454345703]","[4.0891853770549185, 0.12523484230041504, -0.1262299308714128]","[4.088339028688785, 0.12523484230041504, -0.1299921628459748]","[4.087492680322652, 0.12523484230041504, -0.13375439482053683]",0.0,E1_REPLICA_GT_FINE,0.0,0.0,S0 current; S1 immediate p+dt*v; S2 next candidate-affected segment; S3 next zero-hold segment.,0a80081e9b4e0e3e951f9eef10620f5e34d9922a52db7850e1c45e9a0d9bee42,0.0
E2_SHADOW_DIAGNOSTIC,"[0.5479177981615067, 2.925234794616699, 1.084840103983879]","[0.5479177981615067, 2.925234794616699, 1.084840103983879]","[0.5481676607350522, 2.925234794616699, 1.0845902414103337]","[0.5484175233085977, 2.925234794616699, 1.0843403788367882]",0.0,E1_REPLICA_GT_FINE,0.0,0.0,S0 current; S1 immediate p+dt*v; S2 next candidate-affected segment; S3 next zero-hold segment.,0aa90e8ccad37e81b2195c3905fc747f18f8a522c71c0a833d9de3fd767be83d,0.0
E2_SHADOW_DIAGNOSTIC,"[0.8992086350917816, 2.925234794616699, 2.0752154290676117]","[0.8996173106054043, 2.925234794616699, 2.0789430937956372]","[0.9002555522666951, 2.925234794616699, 2.082734375285672]","[0.9008937939279859, 2.925234794616699, 2.086525656775707]",0.0,E1_REPLICA_GT_FINE,0.0,0.0,S0 current; S1 immediate p+dt*v; S2 next candidate-affected segment; S3 next zero-hold segment.,0b121c60bd31b77c8f5575eed58adc1e7a55ae858050bc9c9fc9b9092c4cf0b7,0.0
E2_SHADOW_DIAGNOSTIC,"[-0.06336015462875366, 2.925234794616699, 1.05478036403656]","[-0.05964120336821573, 2.925234794616699, 1.0552619255816853]","[-0.05585819967160236, 2.925234794616699, 1.0559694090148322]","[-0.05207519597498899, 2.925234794616699, 1.056676892447979]",0.0,E1_REPLICA_GT_FINE,0.0,0.0,S0 current; S1 immediate p+dt*v; S2 next candidate-affected segment; S3 next zero-hold segment.,0de405729582eada3fa4a67b8dd7c0875a9d081e2d784efb7c5911dc17987035,0.0
E2_SHADOW_DIAGNOSTIC,"[0.1480656862258911, 2.925234794616699, 0.9898174703121185]","[0.14919531929678767, 2.925234794616699, 0.9903526610492738]","[0.15051847069009294, 2.925234794616699, 0.9911110921425356]","[0.15184162208339821, 2.925234794616699, 0.9918695232357974]",0.0,E1_REPLICA_GT_FINE,0.0,0.0,S0 current; S1 immediate p+dt*v; S2 next candidate-affected segment; S3 next zero-hold segment.,0fa0f752868922b62e138a9eb25a2f6a37be9f274c001aca0097a1b03104fffa,0.0
E2_SHADOW_DIAGNOSTIC,"[0.2977430820465088, 0.12523484230041504, 0.7036833763122559]","[0.3026651110290934, 0.12523484230041504, 0.7028038135262096]","[0.307591038512414, 0.12523484230041504, 0.7017182289776778]","[0.3125169659957346, 0.12523484230041504, 0.700632644429146]",0.0,E1_REPLICA_GT_FINE,0.0,0.0,S0 current; S1 immediate p+dt*v; S2 next candidate-affected segment; S3 next zero-hold segment.,12582840ae60f713f54a96de02be975353cdfd7834eb8cd93d4f79ba458c5aa3,0.0
