evidence_class,environment,n,event_rate,at_least_events,detection_probability
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,160,0.001,1,0.14792442528826072
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,160,0.001,3,0.0005957541023022654
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,160,0.001,5,7.211096997191726e-07
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,160,0.005,1,0.5515717965390228
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,160,0.005,3,0.04698957017551805
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,160,0.005,5,0.0013505337576232772
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,160,0.01,1,0.7997229731425104
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,160,0.01,3,0.2161180463952496
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,160,0.01,5,0.023019750668151234
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,160,0.02,1,0.9605386343610828
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,160,0.02,3,0.6226270652081747
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,160,0.02,5,0.21793429271287534
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,160,0.03,1,0.9923532395968934
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,160,0.03,3,0.8614749002073419
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,160,0.03,5,0.5259610709058344
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,160,0.05,1,0.9997272424089229
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,160,0.05,3,0.9878195979895984
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,160,0.05,5,0.9061460700440669
E1_REANALYSIS_OF_FROZEN_RECORDS,E5_STONEHENGE_SAFER,100,0.001,1,0.09520785288629095
