evidence_class,environment,event_rate,at_least_events,target_detection_probability,required_independent_n
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,0.001,1,0.8,1609
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,0.001,1,0.95,2995
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,0.001,3,0.8,4278
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,0.001,3,0.95,6294
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,0.001,5,0.8,6720
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,0.001,5,0.95,9151
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,0.005,1,0.8,322
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,0.005,1,0.95,598
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,0.005,3,0.8,855
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,0.005,3,0.95,1258
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,0.005,5,0.8,1343
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,0.005,5,0.95,1829
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,0.01,1,0.8,161
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,0.01,1,0.95,299
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,0.01,3,0.8,427
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,0.01,3,0.95,628
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,0.01,5,0.8,671
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,0.01,5,0.95,913
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,0.02,1,0.8,80
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,0.02,1,0.95,149
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,0.02,3,0.8,213
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,0.02,3,0.95,313
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,0.02,5,0.8,335
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,0.02,5,0.95,456
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,0.03,1,0.8,53
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,0.03,1,0.95,99
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,0.03,3,0.8,142
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,0.03,3,0.95,208
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,0.03,5,0.8,223
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,0.03,5,0.95,303
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,0.05,1,0.8,32
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,0.05,1,0.95,59
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,0.05,3,0.8,85
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,0.05,3,0.95,124
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,0.05,5,0.8,134
E1_REANALYSIS_OF_FROZEN_RECORDS,E1_REPLICA_GT_FINE,0.05,5,0.95,181
E1_REANALYSIS_OF_FROZEN_RECORDS,E5_STONEHENGE_SAFER,0.001,1,0.8,1609
E1_REANALYSIS_OF_FROZEN_RECORDS,E5_STONEHENGE_SAFER,0.001,1,0.95,2995
E1_REANALYSIS_OF_FROZEN_RECORDS,E5_STONEHENGE_SAFER,0.001,3,0.8,4278
E1_REANALYSIS_OF_FROZEN_RECORDS,E5_STONEHENGE_SAFER,0.001,3,0.95,6294
E1_REANALYSIS_OF_FROZEN_RECORDS,E5_STONEHENGE_SAFER,0.001,5,0.8,6720
E1_REANALYSIS_OF_FROZEN_RECORDS,E5_STONEHENGE_SAFER,0.001,5,0.95,9151
E1_REANALYSIS_OF_FROZEN_RECORDS,E5_STONEHENGE_SAFER,0.005,1,0.8,322
E1_REANALYSIS_OF_FROZEN_RECORDS,E5_STONEHENGE_SAFER,0.005,1,0.95,598
E1_REANALYSIS_OF_FROZEN_RECORDS,E5_STONEHENGE_SAFER,0.005,3,0.8,855
E1_REANALYSIS_OF_FROZEN_RECORDS,E5_STONEHENGE_SAFER,0.005,3,0.95,1258
E1_REANALYSIS_OF_FROZEN_RECORDS,E5_STONEHENGE_SAFER,0.005,5,0.8,1343
E1_REANALYSIS_OF_FROZEN_RECORDS,E5_STONEHENGE_SAFER,0.005,5,0.95,1829
E1_REANALYSIS_OF_FROZEN_RECORDS,E5_STONEHENGE_SAFER,0.01,1,0.8,161
E1_REANALYSIS_OF_FROZEN_RECORDS,E5_STONEHENGE_SAFER,0.01,1,0.95,299
E1_REANALYSIS_OF_FROZEN_RECORDS,E5_STONEHENGE_SAFER,0.01,3,0.8,427
E1_REANALYSIS_OF_FROZEN_RECORDS,E5_STONEHENGE_SAFER,0.01,3,0.95,628
E1_REANALYSIS_OF_FROZEN_RECORDS,E5_STONEHENGE_SAFER,0.01,5,0.8,671
E1_REANALYSIS_OF_FROZEN_RECORDS,E5_STONEHENGE_SAFER,0.01,5,0.95,913
E1_REANALYSIS_OF_FROZEN_RECORDS,E5_STONEHENGE_SAFER,0.02,1,0.8,80
E1_REANALYSIS_OF_FROZEN_RECORDS,E5_STONEHENGE_SAFER,0.02,1,0.95,149
E1_REANALYSIS_OF_FROZEN_RECORDS,E5_STONEHENGE_SAFER,0.02,3,0.8,213
E1_REANALYSIS_OF_FROZEN_RECORDS,E5_STONEHENGE_SAFER,0.02,3,0.95,313
E1_REANALYSIS_OF_FROZEN_RECORDS,E5_STONEHENGE_SAFER,0.02,5,0.8,335
E1_REANALYSIS_OF_FROZEN_RECORDS,E5_STONEHENGE_SAFER,0.02,5,0.95,456
E1_REANALYSIS_OF_FROZEN_RECORDS,E5_STONEHENGE_SAFER,0.03,1,0.8,53
E1_REANALYSIS_OF_FROZEN_RECORDS,E5_STONEHENGE_SAFER,0.03,1,0.95,99
E1_REANALYSIS_OF_FROZEN_RECORDS,E5_STONEHENGE_SAFER,0.03,3,0.8,142
E1_REANALYSIS_OF_FROZEN_RECORDS,E5_STONEHENGE_SAFER,0.03,3,0.95,208
E1_REANALYSIS_OF_FROZEN_RECORDS,E5_STONEHENGE_SAFER,0.03,5,0.8,223
E1_REANALYSIS_OF_FROZEN_RECORDS,E5_STONEHENGE_SAFER,0.03,5,0.95,303
E1_REANALYSIS_OF_FROZEN_RECORDS,E5_STONEHENGE_SAFER,0.05,1,0.8,32
E1_REANALYSIS_OF_FROZEN_RECORDS,E5_STONEHENGE_SAFER,0.05,1,0.95,59
E1_REANALYSIS_OF_FROZEN_RECORDS,E5_STONEHENGE_SAFER,0.05,3,0.8,85
E1_REANALYSIS_OF_FROZEN_RECORDS,E5_STONEHENGE_SAFER,0.05,3,0.95,124
E1_REANALYSIS_OF_FROZEN_RECORDS,E5_STONEHENGE_SAFER,0.05,5,0.8,134
E1_REANALYSIS_OF_FROZEN_RECORDS,E5_STONEHENGE_SAFER,0.05,5,0.95,181
E1_REANALYSIS_OF_FROZEN_RECORDS,E6_FLIGHT_SAFER,0.001,1,0.8,1609
E1_REANALYSIS_OF_FROZEN_RECORDS,E6_FLIGHT_SAFER,0.001,1,0.95,2995
E1_REANALYSIS_OF_FROZEN_RECORDS,E6_FLIGHT_SAFER,0.001,3,0.8,4278
E1_REANALYSIS_OF_FROZEN_RECORDS,E6_FLIGHT_SAFER,0.001,3,0.95,6294
E1_REANALYSIS_OF_FROZEN_RECORDS,E6_FLIGHT_SAFER,0.001,5,0.8,6720
E1_REANALYSIS_OF_FROZEN_RECORDS,E6_FLIGHT_SAFER,0.001,5,0.95,9151
E1_REANALYSIS_OF_FROZEN_RECORDS,E6_FLIGHT_SAFER,0.005,1,0.8,322
E1_REANALYSIS_OF_FROZEN_RECORDS,E6_FLIGHT_SAFER,0.005,1,0.95,598
E1_REANALYSIS_OF_FROZEN_RECORDS,E6_FLIGHT_SAFER,0.005,3,0.8,855
