cohort,detail,endpoint_map_h,environment,factor,level,precontrol_position_map_h,state_id,status,two_step_endpoint_map_h
C0_METHOD_INDEPENDENT,,0.19266479622385746,E1_REPLICA_GT_FINE,velocity_scale,0.25,,002b6f245470919aaa880323bfdda87cf5e080c8098daa51628f914b81a5ede6,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,0.1925681294009118,E1_REPLICA_GT_FINE,velocity_scale,0.5,,002b6f245470919aaa880323bfdda87cf5e080c8098daa51628f914b81a5ede6,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,0.19247165149329695,E1_REPLICA_GT_FINE,velocity_scale,0.75,,002b6f245470919aaa880323bfdda87cf5e080c8098daa51628f914b81a5ede6,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,0.19237536249665466,E1_REPLICA_GT_FINE,velocity_scale,1.0,,002b6f245470919aaa880323bfdda87cf5e080c8098daa51628f914b81a5ede6,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,0.1925681294009118,E1_REPLICA_GT_FINE,dt_s,0.025,,002b6f245470919aaa880323bfdda87cf5e080c8098daa51628f914b81a5ede6,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,0.19237536249665466,E1_REPLICA_GT_FINE,dt_s,0.05,,002b6f245470919aaa880323bfdda87cf5e080c8098daa51628f914b81a5ede6,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,0.19153460186078594,E1_REPLICA_GT_FINE,dt_s,0.1,,002b6f245470919aaa880323bfdda87cf5e080c8098daa51628f914b81a5ede6,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,0.18962058173685858,E1_REPLICA_GT_FINE,dt_s,0.2,,002b6f245470919aaa880323bfdda87cf5e080c8098daa51628f914b81a5ede6,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,,E1_REPLICA_GT_FINE,u_bound_inf,0.05,,002b6f245470919aaa880323bfdda87cf5e080c8098daa51628f914b81a5ede6,MAP_ENDPOINT_EXPOSURE_ONLY,0.19223706718102263
C0_METHOD_INDEPENDENT,,,E1_REPLICA_GT_FINE,u_bound_inf,0.1,,002b6f245470919aaa880323bfdda87cf5e080c8098daa51628f914b81a5ede6,MAP_ENDPOINT_EXPOSURE_ONLY,0.19211807277870008
C0_METHOD_INDEPENDENT,,,E1_REPLICA_GT_FINE,u_bound_inf,0.2,,002b6f245470919aaa880323bfdda87cf5e080c8098daa51628f914b81a5ede6,MAP_ENDPOINT_EXPOSURE_ONLY,0.19211807277870008
C0_METHOD_INDEPENDENT,,,E1_REPLICA_GT_FINE,latency_cycles,0,0.19276165196649558,002b6f245470919aaa880323bfdda87cf5e080c8098daa51628f914b81a5ede6,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,,E1_REPLICA_GT_FINE,latency_cycles,1,0.19237536249665466,002b6f245470919aaa880323bfdda87cf5e080c8098daa51628f914b81a5ede6,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,,E1_REPLICA_GT_FINE,latency_cycles,2,0.19153460186078594,002b6f245470919aaa880323bfdda87cf5e080c8098daa51628f914b81a5ede6,MAP_ENDPOINT_EXPOSURE_ONLY,
