b2_committed,candidate_current_gate_evaluated,candidate_current_gate_pass,candidate_set_total_deduplicated,claim_boundary,cohort,current_h,environment,grid7_pre_dedup,outcome,sobol_pre_dedup,state_id
True,0,0,857,Finite pre-registered set only; no continuous control-space conclusion.,C0_METHOD_INDEPENDENT,0.19276165196649558,E1_REPLICA_GT_FINE,343,B2_PRIMARY_COMMITTED_NO_B3_SEARCH_REQUIRED,512,002b6f245470919aaa880323bfdda87cf5e080c8098daa51628f914b81a5ede6
True,0,0,856,Finite pre-registered set only; no continuous control-space conclusion.,C0_METHOD_INDEPENDENT,0.2597212836978313,E1_REPLICA_GT_FINE,343,B2_PRIMARY_COMMITTED_NO_B3_SEARCH_REQUIRED,512,151a1a74a34a8851dacc7ea099d5f017965f7b711052f65f6c97d24e6b7fb8b0
True,0,0,856,Finite pre-registered set only; no continuous control-space conclusion.,C0_METHOD_INDEPENDENT,0.2686789627493553,E1_REPLICA_GT_FINE,343,B2_PRIMARY_COMMITTED_NO_B3_SEARCH_REQUIRED,512,16fe88262694ace7502b8af046b32807208de36081c7b9899ad12e38ab16a196
True,0,0,857,Finite pre-registered set only; no continuous control-space conclusion.,C0_METHOD_INDEPENDENT,0.17514533102301177,E1_REPLICA_GT_FINE,343,B2_PRIMARY_COMMITTED_NO_B3_SEARCH_REQUIRED,512,2211e7fc233d3f44550a3487042a97d8b30645fc3956b09e879d5faa3cb90649
True,0,0,856,Finite pre-registered set only; no continuous control-space conclusion.,C0_METHOD_INDEPENDENT,0.16663861771607572,E1_REPLICA_GT_FINE,343,B2_PRIMARY_COMMITTED_NO_B3_SEARCH_REQUIRED,512,2cc3321a1b80b9ddf1373cbeb1b7aeeeda1d16896d422ab67107ee95ada3d0c6
True,0,0,856,Finite pre-registered set only; no continuous control-space conclusion.,C0_METHOD_INDEPENDENT,0.2877974344800824,E1_REPLICA_GT_FINE,343,B2_PRIMARY_COMMITTED_NO_B3_SEARCH_REQUIRED,512,3f0ae49f67739aa508d7b7891f8200f17489303e36e3b7c1d1ffb62ab00f4eba
True,0,0,856,Finite pre-registered set only; no continuous control-space conclusion.,C0_METHOD_INDEPENDENT,1.5373572382725613,E1_REPLICA_GT_FINE,343,B2_PRIMARY_COMMITTED_NO_B3_SEARCH_REQUIRED,512,4f8493fd890064bef32029677a254723ccba9383aed01981ce69df51b517af7b
True,0,0,856,Finite pre-registered set only; no continuous control-space conclusion.,C0_METHOD_INDEPENDENT,0.045574119495190316,E1_REPLICA_GT_FINE,343,B2_PRIMARY_COMMITTED_NO_B3_SEARCH_REQUIRED,512,5955840c212b4074ad46d065de442f1d835a0cd5be2975bee15ed83cf50eb0d0
True,0,0,856,Finite pre-registered set only; no continuous control-space conclusion.,C0_METHOD_INDEPENDENT,0.13630440148281353,E1_REPLICA_GT_FINE,343,B2_PRIMARY_COMMITTED_NO_B3_SEARCH_REQUIRED,512,638c9b05c8cb67a9f24eaf37d7695722d4e1127a0642c9ba72149bff6dd24bc6
True,0,0,856,Finite pre-registered set only; no continuous control-space conclusion.,C0_METHOD_INDEPENDENT,0.91007301198061,E1_REPLICA_GT_FINE,343,B2_PRIMARY_COMMITTED_NO_B3_SEARCH_REQUIRED,512,81bd8b30708aafa4bc9934effa7973b325db701a2035093a09d36376fa07301f
True,0,0,856,Finite pre-registered set only; no continuous control-space conclusion.,C0_METHOD_INDEPENDENT,0.048970010655481296,E1_REPLICA_GT_FINE,343,B2_PRIMARY_COMMITTED_NO_B3_SEARCH_REQUIRED,512,8e504196defd2c5ea1aec7490652787a66f7aefbb06c6d9fe6871d505c4ca55c
True,0,0,856,Finite pre-registered set only; no continuous control-space conclusion.,C0_METHOD_INDEPENDENT,0.4429947092407792,E1_REPLICA_GT_FINE,343,B2_PRIMARY_COMMITTED_NO_B3_SEARCH_REQUIRED,512,a8f4ae301144c24c65db575a71aa847e1e70670021207cc9b3720481301d602b
True,0,0,856,Finite pre-registered set only; no continuous control-space conclusion.,C0_METHOD_INDEPENDENT,0.045574119495190316,E1_REPLICA_GT_FINE,343,B2_PRIMARY_COMMITTED_NO_B3_SEARCH_REQUIRED,512,bd6f2c0ec4551cc7f126735aa9723fe1eac4bd169699cc3d769304e66d61f373
True,0,0,856,Finite pre-registered set only; no continuous control-space conclusion.,C0_METHOD_INDEPENDENT,0.21625547388612412,E1_REPLICA_GT_FINE,343,B2_PRIMARY_COMMITTED_NO_B3_SEARCH_REQUIRED,512,c6d7f046df0f18347dd70eca0cf02afdecd35da91985a24a737060541ed29dc1
True,0,0,856,Finite pre-registered set only; no continuous control-space conclusion.,C0_METHOD_INDEPENDENT,0.3321723685711354,E1_REPLICA_GT_FINE,343,B2_PRIMARY_COMMITTED_NO_B3_SEARCH_REQUIRED,512,d73848087c18733f887bb72089596f171895084cef467e8b437e68281bc48ce2
True,0,0,856,Finite pre-registered set only; no continuous control-space conclusion.,C0_METHOD_INDEPENDENT,0.05892965945177174,E1_REPLICA_GT_FINE,343,B2_PRIMARY_COMMITTED_NO_B3_SEARCH_REQUIRED,512,e8e29ada3d95a190f9c2b4a8f1e2d8c5758a16280e32bd58c1428e26a1fd590e
False,0,0,859,Finite pre-registered set only; no continuous control-space conclusion.,C0_METHOD_INDEPENDENT,-0.00907058734446764,E5_STONEHENGE_SAFER,343,PRECLUDED_BY_CANDIDATE_INDEPENDENT_NEGATIVE_CURRENT_MAP_H,512,0134302ab41076889b51193a28030c4b4c593c7d49d324db7384fadf8e4292c7
False,0,0,859,Finite pre-registered set only; no continuous control-space conclusion.,C0_METHOD_INDEPENDENT,-0.0066307014785707,E5_STONEHENGE_SAFER,343,PRECLUDED_BY_CANDIDATE_INDEPENDENT_NEGATIVE_CURRENT_MAP_H,512,0d858158bd5fe799ce2a64711e6bab8ab455e20123047c69ef13c8d2f6b13cb4
False,0,0,859,Finite pre-registered set only; no continuous control-space conclusion.,C0_METHOD_INDEPENDENT,-0.009618889540433884,E5_STONEHENGE_SAFER,343,PRECLUDED_BY_CANDIDATE_INDEPENDENT_NEGATIVE_CURRENT_MAP_H,512,24fd31d3054097eae6b1e972550278f895095a40321f77a25cbd7d6770c715bb
False,0,0,859,Finite pre-registered set only; no continuous control-space conclusion.,C0_METHOD_INDEPENDENT,-0.0088348388671875,E5_STONEHENGE_SAFER,343,PRECLUDED_BY_CANDIDATE_INDEPENDENT_NEGATIVE_CURRENT_MAP_H,512,3790da6b1aed9c99b4c67c2d2c4ab37af16c1cc254d4c4be0956d958c295dd6a
False,0,0,859,Finite pre-registered set only; no continuous control-space conclusion.,C0_METHOD_INDEPENDENT,-0.006230030208826065,E5_STONEHENGE_SAFER,343,PRECLUDED_BY_CANDIDATE_INDEPENDENT_NEGATIVE_CURRENT_MAP_H,512,4973ebd65bf5c9a2830199a51b00a460ac220c12e85a32b7bb8c8a218905d204
False,0,0,859,Finite pre-registered set only; no continuous control-space conclusion.,C0_METHOD_INDEPENDENT,-0.010956565849483013,E5_STONEHENGE_SAFER,343,PRECLUDED_BY_CANDIDATE_INDEPENDENT_NEGATIVE_CURRENT_MAP_H,512,5da504b0103fee60d127a07e33fbd66c35003cf0f794b1b85f5f85bdff77a22e
False,0,0,859,Finite pre-registered set only; no continuous control-space conclusion.,C0_METHOD_INDEPENDENT,-0.007224704138934612,E5_STONEHENGE_SAFER,343,PRECLUDED_BY_CANDIDATE_INDEPENDENT_NEGATIVE_CURRENT_MAP_H,512,66b96dd60a486e146063604cbd2437835c0906ae0e45bd5225776373ea397239
