trial_id,attempt_id,run_id,data_role,outcome_blind_qc_pass,intended_step_count,capture_count,result_record_count,joinable_record_count,capture_completeness,selected_u_completeness,map_authority_completeness,reachability_completeness,shadow_result_completion,join_completeness,aggregate_error_count
0,0,formal-v1-trial-000-attempt-0,FORMAL_PROSPECTIVE_SHADOW_COHORT_V1,True,318,318,318,318,1.0,1.0,1.0,1.0,1.0,1.0,0
1,0,formal-v1-trial-001-attempt-0,FORMAL_PROSPECTIVE_SHADOW_COHORT_V1,True,109,109,109,109,1.0,1.0,1.0,1.0,1.0,1.0,0
2,0,formal-v1-trial-002-attempt-0,FORMAL_PROSPECTIVE_SHADOW_COHORT_V1,True,104,104,104,104,1.0,1.0,1.0,1.0,1.0,1.0,0
3,0,formal-v1-trial-003-attempt-0,FORMAL_PROSPECTIVE_SHADOW_COHORT_V1,True,122,122,122,122,1.0,1.0,1.0,1.0,1.0,1.0,0
4,0,formal-v1-trial-004-attempt-0,FORMAL_PROSPECTIVE_SHADOW_COHORT_V1,True,353,353,353,353,1.0,1.0,1.0,1.0,1.0,1.0,0
5,0,formal-v1-trial-005-attempt-0,FORMAL_PROSPECTIVE_SHADOW_COHORT_V1,True,168,168,168,168,1.0,1.0,1.0,1.0,1.0,1.0,0
6,0,formal-v1-trial-006-attempt-0,FORMAL_PROSPECTIVE_SHADOW_COHORT_V1,True,107,107,107,107,1.0,1.0,1.0,1.0,1.0,1.0,0
7,0,formal-v1-trial-007-attempt-0,FORMAL_PROSPECTIVE_SHADOW_COHORT_V1,True,222,222,222,222,1.0,1.0,1.0,1.0,1.0,1.0,0
8,0,formal-v1-trial-008-attempt-0,FORMAL_PROSPECTIVE_SHADOW_COHORT_V1,True,326,326,326,326,1.0,1.0,1.0,1.0,1.0,1.0,0
9,0,formal-v1-trial-009-attempt-0,FORMAL_PROSPECTIVE_SHADOW_COHORT_V1,True,302,302,302,302,1.0,1.0,1.0,1.0,1.0,1.0,0
10,0,formal-v1-trial-010-attempt-0,FORMAL_PROSPECTIVE_SHADOW_COHORT_V1,True,255,255,255,255,1.0,1.0,1.0,1.0,1.0,1.0,0
11,0,formal-v1-trial-011-attempt-0,FORMAL_PROSPECTIVE_SHADOW_COHORT_V1,True,349,349,349,349,1.0,1.0,1.0,1.0,1.0,1.0,0
12,0,formal-v1-trial-012-attempt-0,FORMAL_PROSPECTIVE_SHADOW_COHORT_V1,True,365,365,365,365,1.0,1.0,1.0,1.0,1.0,1.0,0
13,0,formal-v1-trial-013-attempt-0,FORMAL_PROSPECTIVE_SHADOW_COHORT_V1,True,121,121,121,121,1.0,1.0,1.0,1.0,1.0,1.0,0
14,0,formal-v1-trial-014-attempt-0,FORMAL_PROSPECTIVE_SHADOW_COHORT_V1,True,115,115,115,115,1.0,1.0,1.0,1.0,1.0,1.0,0
15,0,formal-v1-trial-015-attempt-0,FORMAL_PROSPECTIVE_SHADOW_COHORT_V1,True,127,127,127,127,1.0,1.0,1.0,1.0,1.0,1.0,0
16,0,formal-v1-trial-016-attempt-0,FORMAL_PROSPECTIVE_SHADOW_COHORT_V1,True,35,35,35,35,1.0,1.0,1.0,1.0,1.0,1.0,0
17,0,formal-v1-trial-017-attempt-0,FORMAL_PROSPECTIVE_SHADOW_COHORT_V1,True,177,177,177,177,1.0,1.0,1.0,1.0,1.0,1.0,0
18,0,formal-v1-trial-018-attempt-0,FORMAL_PROSPECTIVE_SHADOW_COHORT_V1,True,417,417,417,417,1.0,1.0,1.0,1.0,1.0,1.0,0
19,0,formal-v1-trial-019-attempt-0,FORMAL_PROSPECTIVE_SHADOW_COHORT_V1,True,406,406,406,406,1.0,1.0,1.0,1.0,1.0,1.0,0
20,0,formal-v1-trial-020-attempt-0,FORMAL_PROSPECTIVE_SHADOW_COHORT_V1,True,159,159,159,159,1.0,1.0,1.0,1.0,1.0,1.0,0
21,0,formal-v1-trial-021-attempt-0,FORMAL_PROSPECTIVE_SHADOW_COHORT_V1,True,144,144,144,144,1.0,1.0,1.0,1.0,1.0,1.0,0
