index,split,timestamp,keyframe_index,group,confidence_path,confidence_size,confidence_sha256,shape,dtype,byte_order,unique_values,count_0,count_1,count_2,timestamp_basename_match,shape_match,repeated_load_equal,readable_without_fallback,allowed_values,raw_asset_all_zero
0,TRAIN,653418.418,0,0,confidence/48018874_653418.418.png,602,6083d7087512d1a4ba2427cf72caf78e627c5bee3ab124c60c21bd4d8efc3c44,192x256,uint8,|,1;2,0,309,48843,True,True,True,True,True,False
1,TRAIN,653418.602,1,0,confidence/48018874_653418.602.png,926,dbe90946a48c727ecf13d1fe1b881915899192633fcf4a13f21e7b240372bf22,192x256,uint8,|,0;1;2,737,1061,47354,True,True,True,True,True,False
2,TRAIN,653418.702,2,0,confidence/48018874_653418.702.png,961,f0a4e3c68e51e8fbebae83eb89feb26c9baed72295491727cbe81181cc0bd407,192x256,uint8,|,0;1;2,478,1749,46925,True,True,True,True,True,False
3,TRAIN,653418.802,3,0,confidence/48018874_653418.802.png,769,1a229daf27d47a4421f5c83f324f31a9c5ba3a16f166ccd1a638fd08ba1df3cb,192x256,uint8,|,0;1;2,20,786,48346,True,True,True,True,True,False
4,TRAIN,653418.902,4,0,confidence/48018874_653418.902.png,1200,2312f680c69398a1e2ccdc627c8b9f03e8a883d187eb268650c1b4f1f3e9b889,192x256,uint8,|,0;1;2,1510,1834,45808,True,True,True,True,True,False
5,TRAIN,653419.002,5,0,confidence/48018874_653419.002.png,1292,8b7e954acc47e7115eb259e01e15c5fc357ef805643e6f844af64bfe4a967508,192x256,uint8,|,0;1;2,3057,2704,43391,True,True,True,True,True,False
6,TRAIN,653419.102,6,0,confidence/48018874_653419.102.png,1566,8fc9374dedb2556771094e048a4b2287781422b74eafcbc96b1970f1144e973c,192x256,uint8,|,0;1;2,1599,5472,42081,True,True,True,True,True,False
7,TRAIN,653419.201,7,0,confidence/48018874_653419.201.png,1547,d05ca7a8cf36a513b6d632fa598a772e8835776003ae9d523931afe858df71a9,192x256,uint8,|,0;1;2,2806,5382,40964,True,True,True,True,True,False
8,TRAIN,653419.301,8,0,confidence/48018874_653419.301.png,1542,20d3c4e8c69d4e15dc7c0ac9dc3b8ef2437b89a5bc9d768ca48bfff5016e71da,192x256,uint8,|,0;1;2,1104,5872,42176,True,True,True,True,True,False
9,TRAIN,653419.401,9,0,confidence/48018874_653419.401.png,1211,158056f92665d7d7e4a71df1200c38ebacd10aaa6a98e1051ccf9dc23cdf3b4a,192x256,uint8,|,0;1;2,1445,2249,45458,True,True,True,True,True,False
10,TRAIN,653419.501,10,0,confidence/48018874_653419.501.png,1374,a687cd3da544c21db3c0905613ae9f487de29f88c3ca0fda80d731aa252f4431,192x256,uint8,|,0;1;2,1667,4629,42856,True,True,True,True,True,False
11,TRAIN,653419.601,11,0,confidence/48018874_653419.601.png,1348,6bc033fe180b12ec9a92cb800157544e69d9cbc6837b1d231ee25b571a364bec,192x256,uint8,|,0;1;2,1308,2929,44915,True,True,True,True,True,False
12,TRAIN,653419.701,12,0,confidence/48018874_653419.701.png,1310,3993f22b46d6fff06383ae535a04e9d7160043377bd344b4ac2ca0a486bdcb9e,192x256,uint8,|,0;1;2,774,3275,45103,True,True,True,True,True,False
13,TRAIN,653419.901,13,0,confidence/48018874_653419.901.png,1204,b2e40a696ea69520ce0e3a1ea5ab1b1a84a7682324e8070028ecf833c39a1547,192x256,uint8,|,0;1;2,576,2682,45894,True,True,True,True,True,False
14,TRAIN,653420.101,14,0,confidence/48018874_653420.101.png,987,493608f2e00e5e21e573755f7e95162a476f866b2e682b494d46b8f8aaf1a944,192x256,uint8,|,0;1;2,1265,2538,45349,True,True,True,True,True,False
15,TRAIN,653420.301,15,0,confidence/48018874_653420.301.png,985,d3428c3cb07a52d1fe770c84a51e1fcb84c072324f18517ff4dd9e9124a4b16e,192x256,uint8,|,0;1;2,2804,3047,43301,True,True,True,True,True,False
16,TRAIN,653420.501,16,0,confidence/48018874_653420.501.png,999,d06ee497d04c47f8325a731a0358f20a9ecf3d36dea4e4b935a181c027ea2a15,192x256,uint8,|,0;1;2,4772,2502,41878,True,True,True,True,True,False
17,TRAIN,653420.801,17,0,confidence/48018874_653420.801.png,1142,71b9141d282936791e0edb5dd25163cfdb01f619e65dd21e844a1e0458e150a5,192x256,uint8,|,0;1;2,4500,2647,42005,True,True,True,True,True,False
18,TRAIN,653421.101,18,0,confidence/48018874_653421.101.png,1053,92695109d9eb5f3334a8ccb562f4c59ecbea99bdf4bce69140fde74591d7e63f,192x256,uint8,|,0;1;2,4621,2058,42473,True,True,True,True,True,False
19,TRAIN,653421.501,19,0,confidence/48018874_653421.501.png,1058,02946493035c7431657b7d296779b5e9e2df1e0be19407f5da9da701b061c723,192x256,uint8,|,0;1;2,2270,1464,45418,True,True,True,True,True,False
20,TRAIN,653421.800,20,0,confidence/48018874_653421.800.png,918,56d9d664aaab1174f00b5896f1d942963a2823e4f89718b576a8ff652de3c280,192x256,uint8,|,0;1;2,1890,1136,46126,True,True,True,True,True,False
21,TRAIN,653422.100,21,0,confidence/48018874_653422.100.png,1432,3d9ca2e86150cda1fed205b93c9b7d6e96666569b8d5e2bad7b61e26d5d269ae,192x256,uint8,|,0;1;2,5527,3259,40366,True,True,True,True,True,False
22,TRAIN,653422.300,22,0,confidence/48018874_653422.300.png,1515,c364f2669d5323da71631f4564732fde2017dfc4299b85f57a39bd7d4b615916,192x256,uint8,|,0;1;2,5881,2529,40742,True,True,True,True,True,False
23,TRAIN,653422.500,23,0,confidence/48018874_653422.500.png,1482,7f226fd16ea3192f01e783a4aab2ef9616510141146f34396e98af0709b2f15c,192x256,uint8,|,0;1;2,3904,2575,42673,True,True,True,True,True,False
24,TRAIN,653422.700,24,1,confidence/48018874_653422.700.png,1188,a011368419858e05a460fb1643e10ee08b297834857a7685fcbf21d54d51a915,192x256,uint8,|,0;1;2,3997,1749,43406,True,True,True,True,True,False
25,TRAIN,653422.900,25,1,confidence/48018874_653422.900.png,1223,fe0451aa4d8074dfe700edc2272b0d3afa417118d8294eb403817e352939d518,192x256,uint8,|,0;1;2,4592,2187,42373,True,True,True,True,True,False
26,TRAIN,653423.100,26,1,confidence/48018874_653423.100.png,1483,9f3aac444e91b95512b7a3c30920722fb21fd71f268bd9071a3c8f79f4b2d4af,192x256,uint8,|,0;1;2,3013,2129,44010,True,True,True,True,True,False
27,TRAIN,653423.300,27,1,confidence/48018874_653423.300.png,1625,aa2ab2b8000a9d72593831ac87c842d62f02a78af2712e99ba02713db458b39e,192x256,uint8,|,0;1;2,1062,2623,45467,True,True,True,True,True,False
28,TRAIN,653423.600,28,1,confidence/48018874_653423.600.png,1300,62f944b02da6756cce7864bf24d30d5c2181706ae22e8641d82a6187c519be87,192x256,uint8,|,0;1;2,91,1674,47387,True,True,True,True,True,False
29,TRAIN,653423.800,29,1,confidence/48018874_653423.800.png,1181,1bb3c9e7d5ddde6993384055e59d15e69f211616723a8918afb6d3cd96180a0e,192x256,uint8,|,0;1;2,78,1503,47571,True,True,True,True,True,False
30,TRAIN,653424.000,30,1,confidence/48018874_653424.000.png,986,f896715ba4c0a058db9b3b8161ebde6d73e252f072b36709ce3a1db451cc8e28,192x256,uint8,|,0;1;2,16,912,48224,True,True,True,True,True,False
31,TRAIN,653424.199,31,1,confidence/48018874_653424.199.png,1018,d10363854ceb427d8f901168c38e8b0cdbf67a2c3648c442f83347d757f0e1c1,192x256,uint8,|,0;1;2,502,1660,46990,True,True,True,True,True,False
32,TRAIN,653424.399,32,1,confidence/48018874_653424.399.png,1048,bbe1a14810aeefe194a6f75e329142af9888030ffce6c777b3b8681bb2240fb1,192x256,uint8,|,0;1;2,425,1510,47217,True,True,True,True,True,False
33,TRAIN,653424.599,33,1,confidence/48018874_653424.599.png,883,c6032ed94ef9bd646983b6e212b7f24c906b2c52f811c2a5a6daaeab58296621,192x256,uint8,|,0;1;2,450,1265,47437,True,True,True,True,True,False
34,TRAIN,653424.799,34,1,confidence/48018874_653424.799.png,999,49412e302f47c244d02b083601da1a315f3b90d62314c7d62e3cb5f871d2a651,192x256,uint8,|,0;1;2,1669,1583,45900,True,True,True,True,True,False
35,TRAIN,653424.999,35,1,confidence/48018874_653424.999.png,1457,2ea5a96ab4cd00e990c59c7b8de3b4afea7406fc86fa4ca96e3f5c68743e29f9,192x256,uint8,|,0;1;2,4991,3540,40621,True,True,True,True,True,False
