mask,group,frame_count,frame_coverage,valid_pixel_count,retained_fraction,median_m,p95_m,p99_m,zero_valid_frame_count
M0_RAW_POSITIVE,0,24,1.0,1179648,1.0,0.014177869074046612,0.05178551264107226,0.14590510144829785,0
M1_CONFIDENCE_GE1,0,24,1.0,1125133,0.9537870619032118,0.013690591789782047,0.049123052507638924,0.0620507937669754,0
M2_CONFIDENCE_EQ2,0,24,1.0,1060445,0.8989503648546007,0.013442549854516983,0.04840958118438721,0.05581509947776796,0
M0_RAW_POSITIVE,1,18,1.0,884736,1.0,0.010969641618430614,0.05285621155053377,0.14249727725982686,0
M1_CONFIDENCE_GE1,1,18,1.0,834541,0.9432655617042824,0.01042845193296671,0.04529477283358574,0.09202772825956318,0
M2_CONFIDENCE_EQ2,1,18,1.0,783988,0.8861264829282407,0.010048356372863054,0.04289857223629952,0.06794629573822024,0
M0_RAW_POSITIVE,2,42,1.0,2064384,1.0,0.018403351306915283,0.4293537393212316,0.5996318036317824,0
M1_CONFIDENCE_GE1,2,42,0.9523809523809523,1646078,0.7973700629340278,0.015277191996574402,0.054332647845149004,0.13002417623996726,2
M2_CONFIDENCE_EQ2,2,42,0.9047619047619048,1425973,0.6907498798673115,0.014553163200616837,0.036784826964139934,0.07339265078306201,4
M0_RAW_POSITIVE,3,1,1.0,49152,1.0,0.013359151314944029,0.13668505325913424,0.21946806371211997,0
M1_CONFIDENCE_GE1,3,1,1.0,43451,0.8840128580729166,0.011337454430758953,0.09441563859581947,0.19546618312597275,0
M2_CONFIDENCE_EQ2,3,1,1.0,35986,0.7321370442708334,0.009330782108008862,0.06202870048582554,0.0806453909724951,0
M0_RAW_POSITIVE,6,2,1.0,98304,1.0,0.017582396045327187,0.14407928809523576,0.26531616955995563,0
M1_CONFIDENCE_GE1,6,2,1.0,88141,0.8966166178385416,0.016133230179548264,0.13174837827682495,0.2565066695213319,0
M2_CONFIDENCE_EQ2,6,2,1.0,59760,0.60791015625,0.01122106472030282,0.07774042673408985,0.12626935616135573,0
M0_RAW_POSITIVE,9,24,1.0,1179648,1.0,0.014724257867783308,0.10433393083512771,0.1761265151202682,0
M1_CONFIDENCE_GE1,9,24,1.0,1050630,0.8906300862630209,0.013330616522580385,0.0867738548666238,0.152236950546503,0
M2_CONFIDENCE_EQ2,9,24,1.0,857350,0.7267846001519097,0.011570175178349018,0.06743125207722182,0.1279657109081746,0
M0_RAW_POSITIVE,11,9,1.0,442368,1.0,0.019454718567430973,0.2019414402544496,0.44131086796522156,0
M1_CONFIDENCE_GE1,11,9,1.0,339631,0.7677567093460648,0.015020282939076424,0.07060262560844421,0.12135462164878846,0
M2_CONFIDENCE_EQ2,11,9,1.0,265934,0.6011601200810185,0.013695153407752514,0.0628018032759428,0.08704484842717632,0
M0_RAW_POSITIVE,12,94,1.0,4620288,1.0,0.012181650381535292,0.09843805208802216,0.3441877374052994,0
M1_CONFIDENCE_GE1,12,94,1.0,4150216,0.8982591561391844,0.011051767505705357,0.059932464733719826,0.10846696011722094,0
M2_CONFIDENCE_EQ2,12,94,1.0,3599998,0.77917177457336,0.010119447484612465,0.04713096171617508,0.07736832387745372,0
