frame_index,timestamp,group,no_hit_tail_pixel_count,confidence_0,confidence_1,confidence_2
0,653418.418,0,0,0,0,0
1,653418.602,0,0,0,0,0
2,653418.702,0,0,0,0,0
3,653418.802,0,0,0,0,0
4,653418.902,0,0,0,0,0
5,653419.002,0,0,0,0,0
6,653419.102,0,0,0,0,0
7,653419.201,0,0,0,0,0
8,653419.301,0,0,0,0,0
9,653419.401,0,0,0,0,0
10,653419.501,0,0,0,0,0
11,653419.601,0,0,0,0,0
12,653419.701,0,0,0,0,0
13,653419.901,0,0,0,0,0
14,653420.101,0,247,247,0,0
15,653420.301,0,552,552,0,0
16,653420.501,0,1048,1011,37,0
17,653420.801,0,374,361,13,0
18,653421.101,0,8,8,0,0
19,653421.501,0,14,14,0,0
20,653421.800,0,0,0,0,0
21,653422.100,0,99,99,0,0
22,653422.300,0,110,110,0,0
23,653422.500,0,0,0,0,0
24,653422.700,1,0,0,0,0
25,653422.900,1,0,0,0,0
26,653423.100,1,0,0,0,0
27,653423.300,1,0,0,0,0
28,653423.600,1,0,0,0,0
29,653423.800,1,0,0,0,0
30,653424.000,1,0,0,0,0
31,653424.199,1,0,0,0,0
32,653424.399,1,0,0,0,0
33,653424.599,1,0,0,0,0
34,653424.799,1,0,0,0,0
35,653424.999,1,2,2,0,0
36,653425.199,1,11,11,0,0
37,653425.499,1,10,10,0,0
38,653425.699,1,1,0,1,0
39,653425.899,1,19,19,0,0
40,653426.099,1,3,3,0,0
41,653426.299,1,28,28,0,0
42,653426.499,2,47,47,0,0
43,653426.598,2,96,96,0,0
44,653426.798,2,218,214,4,0
45,653426.998,2,181,181,0,0
46,653427.198,2,0,0,0,0
47,653427.398,2,0,0,0,0
48,653427.598,2,0,0,0,0
49,653427.798,2,0,0,0,0
50,653427.998,2,0,0,0,0
51,653428.198,2,0,0,0,0
52,653428.498,2,0,0,0,0
53,653428.898,2,0,0,0,0
54,653429.097,2,10,10,0,0
55,653429.397,2,0,0,0,0
56,653429.897,2,2,0,2,0
57,653430.097,2,165,165,0,0
58,653430.497,2,171,171,0,0
59,653431.097,2,35,35,0,0
60,653431.297,2,16,16,0,0
61,653431.496,2,1894,1894,0,0
62,653431.796,2,154,154,0,0
63,653432.096,2,728,728,0,0
64,653432.496,2,64,57,7,0
65,653432.696,2,97,97,0,0
66,653432.896,2,166,166,0,0
67,653432.996,2,16,16,0,0
68,653433.196,2,1,0,1,0
69,653433.396,2,2,0,2,0
70,653433.596,2,0,0,0,0
71,653433.796,2,0,0,0,0
72,653434.295,2,0,0,0,0
73,653434.495,2,0,0,0,0
74,653434.695,2,4,4,0,0
75,653434.895,2,0,0,0,0
76,653435.095,2,1305,1305,0,0
77,653435.295,2,2121,2121,0,0
78,653435.595,2,2832,2832,0,0
79,653435.795,2,2360,2360,0,0
80,653435.995,2,1,1,0,0
81,653436.195,2,2,2,0,0
82,653436.494,2,2,2,0,0
83,653436.694,2,0,0,0,0
84,653436.911,3,0,0,0,0
85,653440.210,6,0,0,0,0
86,653440.310,6,107,3,72,32
87,653444.708,9,77,77,0,0
88,653444.808,9,399,394,5,0
89,653445.008,9,257,257,0,0
90,653445.208,9,12,12,0,0
91,653445.408,9,0,0,0,0
92,653445.707,9,0,0,0,0
93,653446.207,9,0,0,0,0
94,653446.407,9,0,0,0,0
95,653446.607,9,0,0,0,0
96,653446.807,9,0,0,0,0
97,653447.007,9,0,0,0,0
98,653447.207,9,0,0,0,0
99,653447.407,9,0,0,0,0
100,653447.707,9,0,0,0,0
101,653448.106,9,0,0,0,0
102,653448.306,9,0,0,0,0
103,653448.506,9,0,0,0,0
104,653448.606,9,0,0,0,0
105,653448.706,9,0,0,0,0
106,653448.906,9,0,0,0,0
107,653449.106,9,0,0,0,0
108,653449.406,9,0,0,0,0
109,653450.106,9,0,0,0,0
110,653450.206,9,0,0,0,0
111,653452.205,11,613,613,0,0
112,653452.305,11,1100,1100,0,0
113,653452.505,11,562,562,0,0
114,653452.705,11,219,214,5,0
115,653453.004,11,415,415,0,0
