tail,group,tail_pixel_count,contribution_fraction
TAIL_010,0,29878,0.028405109839492782
TAIL_010,1,32684,0.031072782983934066
TAIL_010,2,354340,0.3368721674986904
TAIL_010,3,7261,0.006903055845255943
TAIL_010,6,18524,0.017610825847337985
TAIL_010,9,136879,0.13013130161724118
TAIL_010,11,80156,0.076204564706285
TAIL_010,12,392131,0.37280019166176265
TAIL_050,0,12984,0.024687836905121812
TAIL_050,1,10936,0.020793760350771115
TAIL_050,2,256032,0.4868204142399991
TAIL_050,3,2704,0.005141397950666157
TAIL_050,6,6170,0.011731666181808502
TAIL_050,9,37052,0.07045084203701274
TAIL_050,11,37705,0.07169245921962554
TAIL_050,12,162344,0.30868162311499503
TAIL_010_PERCENT,0,3230,0.03070750860380659
TAIL_010_PERCENT,1,9,8.556271747190691e-05
TAIL_010_PERCENT,2,74992,0.7129465898503603
TAIL_010_PERCENT,3,0,0.0
TAIL_010_PERCENT,6,0,0.0
TAIL_010_PERCENT,9,11,0.00010457665468788622
TAIL_010_PERCENT,11,3213,0.030545890137470767
TAIL_010_PERCENT,12,23731,0.22560987203620253
TAIL_GT_030,0,6380,0.026086494310445636
TAIL_GT_030,1,300,0.0012266376635005785
TAIL_GT_030,2,164215,0.6714410130391584
TAIL_GT_030,3,75,0.00030665941587514463
TAIL_GT_030,6,313,0.0012797919622522702
TAIL_GT_030,9,1988,0.008128518916797167
TAIL_GT_030,11,11856,0.04847672046154287
TAIL_GT_030,12,59444,0.24305416423042797
TAIL_GT_050,0,3025,0.03232701041944964
TAIL_GT_050,1,3,3.205984504408229e-05
TAIL_GT_050,2,65721,0.7023350253807107
TAIL_GT_050,3,0,0.0
TAIL_GT_050,6,0,0.0
TAIL_GT_050,9,0,0.0
TAIL_GT_050,11,2714,0.029003473149879777
TAIL_GT_050,12,22112,0.23630243120491584
