mask,ray_class,confidence,pixel_count
M0_RAW_POSITIVE,NO_MESH_RAY_HIT,0,51489
M0_RAW_POSITIVE,NO_MESH_RAY_HIT,1,936
M0_RAW_POSITIVE,NO_MESH_RAY_HIT,2,153
M0_RAW_POSITIVE,SENSOR_BEHIND_MESH,0,28366
M0_RAW_POSITIVE,SENSOR_BEHIND_MESH,1,372
M0_RAW_POSITIVE,SENSOR_BEHIND_MESH,2,0
M0_RAW_POSITIVE,SENSOR_IN_FRONT_OF_MESH,0,161673
M0_RAW_POSITIVE,SENSOR_IN_FRONT_OF_MESH,1,1531
M0_RAW_POSITIVE,SENSOR_IN_FRONT_OF_MESH,2,51
M0_RAW_POSITIVE,RAY_AGREEMENT,0,0
M0_RAW_POSITIVE,RAY_AGREEMENT,1,0
M0_RAW_POSITIVE,RAY_AGREEMENT,2,0
M0_RAW_POSITIVE,POINT_DISTANCE_ONLY_DISAGREEMENT,0,0
M0_RAW_POSITIVE,POINT_DISTANCE_ONLY_DISAGREEMENT,1,0
M0_RAW_POSITIVE,POINT_DISTANCE_ONLY_DISAGREEMENT,2,0
M1_CONFIDENCE_GE1,NO_MESH_RAY_HIT,0,0
M1_CONFIDENCE_GE1,NO_MESH_RAY_HIT,1,936
M1_CONFIDENCE_GE1,NO_MESH_RAY_HIT,2,153
M1_CONFIDENCE_GE1,SENSOR_BEHIND_MESH,0,0
M1_CONFIDENCE_GE1,SENSOR_BEHIND_MESH,1,372
M1_CONFIDENCE_GE1,SENSOR_BEHIND_MESH,2,0
M1_CONFIDENCE_GE1,SENSOR_IN_FRONT_OF_MESH,0,0
M1_CONFIDENCE_GE1,SENSOR_IN_FRONT_OF_MESH,1,1531
M1_CONFIDENCE_GE1,SENSOR_IN_FRONT_OF_MESH,2,51
M1_CONFIDENCE_GE1,RAY_AGREEMENT,0,0
M1_CONFIDENCE_GE1,RAY_AGREEMENT,1,0
M1_CONFIDENCE_GE1,RAY_AGREEMENT,2,0
M1_CONFIDENCE_GE1,POINT_DISTANCE_ONLY_DISAGREEMENT,0,0
M1_CONFIDENCE_GE1,POINT_DISTANCE_ONLY_DISAGREEMENT,1,0
M1_CONFIDENCE_GE1,POINT_DISTANCE_ONLY_DISAGREEMENT,2,0
M2_CONFIDENCE_EQ2,NO_MESH_RAY_HIT,0,0
M2_CONFIDENCE_EQ2,NO_MESH_RAY_HIT,1,0
M2_CONFIDENCE_EQ2,NO_MESH_RAY_HIT,2,153
M2_CONFIDENCE_EQ2,SENSOR_BEHIND_MESH,0,0
M2_CONFIDENCE_EQ2,SENSOR_BEHIND_MESH,1,0
M2_CONFIDENCE_EQ2,SENSOR_BEHIND_MESH,2,0
M2_CONFIDENCE_EQ2,SENSOR_IN_FRONT_OF_MESH,0,0
M2_CONFIDENCE_EQ2,SENSOR_IN_FRONT_OF_MESH,1,0
M2_CONFIDENCE_EQ2,SENSOR_IN_FRONT_OF_MESH,2,51
M2_CONFIDENCE_EQ2,RAY_AGREEMENT,0,0
M2_CONFIDENCE_EQ2,RAY_AGREEMENT,1,0
M2_CONFIDENCE_EQ2,RAY_AGREEMENT,2,0
M2_CONFIDENCE_EQ2,POINT_DISTANCE_ONLY_DISAGREEMENT,0,0
M2_CONFIDENCE_EQ2,POINT_DISTANCE_ONLY_DISAGREEMENT,1,0
M2_CONFIDENCE_EQ2,POINT_DISTANCE_ONLY_DISAGREEMENT,2,0
