state_id,position_m,velocity_m_per_s,goal_m,source_type
002b6f245470919aaa880323bfdda87cf5e080c8098daa51628f914b81a5ede6,"[-1.693390965461731,0.20355135202407837,0.8107724785804749]","[0.02474633710682729,-0.0021518552722530233,0.0028263613856935625]","[-1.1937029361724854,0.16010022163391113,0.867843508720398]",ROUTE_EDGE
02b145999e5475b5f73ab85539be45cdbcecbc2e4ff51edc10178fd1a57cafa2,"[4.511950612068176,0.12523484230041504,0.28888845816254616]","[-0.0,0.0,0.0]","[4.227324962615967,0.12523484230041504,0.6873506903648376]",ROUTE_EDGE
0722f797f394ad578c2f9a6f6dd0e3b791e2bb0d6749d512fb4e6a38af170e7b,"[3.5284748673439026,0.12523484230041504,0.3097197227180004]","[-0.08797727741505629,0.0,-0.04753944318809625]","[3.295524835586548,0.12523484230041504,0.183842733502388]",ROUTE_EDGE
093f73b9f5eb9fb16c58e8e7316af135c0e14ce15c372404d029b6ab3edab683,"[3.161897897720337,0.12523484230041504,2.160782814025879]","[-0.030115989512543552,0.0,0.0953573656079087]","[2.910740852355957,0.12523484230041504,2.9560306072235107]",ROUTE_EDGE
0a80081e9b4e0e3e951f9eef10620f5e34d9922a52db7850e1c45e9a0d9bee42,"[4.0898131132125854,0.12523484230041504,-0.12253284454345703]","[-0.01255472315334128,0.0,-0.07394172655911516]","[4.043975830078125,0.12523484230041504,-0.3924940228462219]",ROUTE_EDGE
0aa90e8ccad37e81b2195c3905fc747f18f8a522c71c0a833d9de3fd767be83d,"[0.5479177981615067,2.925234794616699,1.084840103983879]","[0.0,0.0,-0.0]","[0.9428500533103943,2.925234794616699,0.9886980652809143]",ROUTE_EDGE
0b121c60bd31b77c8f5575eed58adc1e7a55ae858050bc9c9fc9b9092c4cf0b7,"[0.8992086350917816,2.925234794616699,2.0752154290676117]","[0.008173510272453674,0.0,0.07455329456050948]","[0.9695367813110352,2.925234794616699,2.7167017459869385]",ROUTE_EDGE
0de405729582eada3fa4a67b8dd7c0875a9d081e2d784efb7c5911dc17987035,"[-0.06336015462875366,2.925234794616699,1.05478036403656]","[0.07437902521075854,0.0,0.009631230902503831]","[0.41627371311187744,2.925234794616699,1.1168874502182007]",ROUTE_EDGE
0fa0f752868922b62e138a9eb25a2f6a37be9f274c001aca0097a1b03104fffa,"[0.1480656862258911,2.925234794616699,0.9898174703121185]","[0.02259266141793124,0.0,0.010703814743105437]","[0.41627371311187744,2.925234794616699,1.1168874502182007]",ROUTE_EDGE
12582840ae60f713f54a96de02be975353cdfd7834eb8cd93d4f79ba458c5aa3,"[0.2977430820465088,0.12523484230041504,0.7036833763122559]","[0.09844057965169156,0.0,-0.017591255720924827]","[0.6400046348571777,0.12523484230041504,0.6425215005874634]",ROUTE_EDGE
