state_id,position_m,velocity_m_per_s,goal_m,source_type
0134302ab41076889b51193a28030c4b4c593c7d49d324db7384fadf8e4292c7,"[0.312,-0.030000000000000096,0.049999999999999975]","[0.0,0.0,0.0]","[-0.47200000000000003,-0.029999999999999853,0.049999999999999996]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE
04064bec00d45d558ae52ec3b1ab673505dd7df8e23062cb792b4e5a0fc2403d,"[0.12667238330331693,0.3030923685402096,0.04333230999483709]","[0.0,0.0,0.0]","[-0.28667238330331707,-0.36309236854020954,0.05666769000516292]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE
05a9e9b395bb7c2e10574895b494e9e50c644712cd2ab1299f0e2779d8487a1a,"[-0.036551425638803745,-0.4195846780688116,0.04104006225708665]","[0.0,0.0,0.0]","[-0.12344857436119622,0.35958467806881167,0.05895993774291334]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE
065ccf3dc76d0069d660b8edf46e507c115799568da9d9ad3e9edab220dc4a2b,"[-0.4028812199204944,0.19228746663420618,0.052511479871810776]","[0.0,0.0,0.0]","[0.24288121992049427,-0.2522874666342063,0.04748852012818923]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE
09472ebc63bedd15e2296b7fc3e573f29430b68dd46cf1de5a6edea99dedc6bf,"[-0.40288121992049447,-0.2522874666342061,0.04748852012818921]","[0.0,0.0,0.0]","[0.24288121992049438,0.19228746663420618,0.05251147987181084]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE
0b90fd0f638a4595adf145ced7e3d338f215e7736437cc62d7fe98a588e95b21,"[0.23566594095217502,-0.26241990818941896,0.049365760803434355]","[0.0,0.0,0.0]","[-0.39566594095217505,0.20241990818941902,0.050634239196565616]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE
0d858158bd5fe799ce2a64711e6bab8ab455e20123047c69ef13c8d2f6b13cb4,"[-0.061347888997093064,0.36155599695973917,0.054582265217274106]","[0.0,0.0,0.0]","[-0.09865211100290716,-0.4215559969597391,0.0454177347827259]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE
1101555f9fce4f795ffe0e826b025d9fed439a1a83e9e7c7d7a748e22a44b50e,"[-0.1844577349664936,-0.4078261261554973,0.05429794912089177]","[0.0,0.0,0.0]","[0.02445773496649363,0.34782612615549735,0.045702050879108266]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE
12680aa8e57e77f07ce02945688cfcbfa27e0d364efbdfbbf25027649e693063,"[-0.18445773496649376,0.34782612615549735,0.04570205087910828]","[0.0,0.0,0.0]","[0.024457734966493783,-0.4078261261554973,0.054297949120891725]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE
18b57d334b373ccb3813d95216cf27c2317d73517b2fe189c8859c2382203d63,"[-0.1602842138815547,-0.41369055891619333,0.05881453363447582]","[0.0,0.0,0.0]","[0.00028421388155473737,0.3536905589161933,0.0411854663655242]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE
1c881c67b31fe8bbe272c089b8ca97a57ff7b87108a0137e98657bfd217fca0b,"[0.29943589094737166,-0.12845001097498313,0.0443294013613723]","[0.0,0.0,0.0]","[-0.45943589094737175,0.06845001097498285,0.05567059863862768]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE
22a6245662231278eba445286d6dd129447860bcbe2d184bbea5b9564fac526c,"[0.12667238330331693,-0.36309236854020965,0.05666769000516292]","[0.0,0.0,0.0]","[-0.2866723833033169,0.3030923685402097,0.04333230999483706]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE
24fd31d3054097eae6b1e972550278f895095a40321f77a25cbd7d6770c715bb,"[-0.2540741121414634,-0.3812295595222037,0.040061615355387464]","[0.0,0.0,0.0]","[0.09407411214146345,0.32122955952220367,0.05993838464461254]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE
2a728f39f8e92f814cdb8b1403095b107ea880f2d89b1a0eb3f7baf49a53628b,"[-0.416329497988111,-0.23136153749677532,0.04223853535708243]","[0.0,0.0,0.0]","[0.25632949798811094,0.17136153749677546,0.05776146464291756]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE
2e3d48baf1265ee26352b4abbe25460e417a7ea161ee4950fe118d17f9193205,"[0.3112107771769787,-0.005137823494626711,0.055929079290546406]","[0.0,0.0,0.0]","[-0.47121077717697873,-0.05486217650537332,0.0440709207094536]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE
31a4d33620a77352190d0accd58a0c800b4e525862c8d7ba91a5f43ff4fb881b,"[-0.11106598308786111,0.3607670721731614,0.04287305828621135]","[0.0,0.0,0.0]","[-0.048934016912138945,-0.42076707217316145,0.057126941713788654]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE
346c2334d2d03b7b245a40a87ffc5d785547d36afac94c811e06bcb61773d857,"[0.3112107771769787,-0.05486217650537329,0.04407092070945363]","[0.0,0.0,0.0]","[-0.47121077717697873,-0.005137823494626655,0.05592907929054635]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE
352c7f5f48f590fca9a7d5068226a9cde0a49ad2c23a06dac8a09558b4f4f885,"[0.24977138486982303,-0.2419312004425942,0.055406408174555985]","[0.0,0.0,0.0]","[-0.40977138486982306,0.18193120044259425,0.04459359182544405]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE
3790da6b1aed9c99b4c67c2d2c4ab37af16c1cc254d4c4be0956d958c295dd6a,"[0.16717664549713285,0.2742494140023687,0.05513677391573406]","[0.0,0.0,0.0]","[-0.32717664549713277,-0.33424941400236874,0.04486322608426595]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE
38b33526102f26cb985a944f9605898e443c349c2c238de81d799dfcc3e6c41b,"[0.27394720300835546,-0.1984796055389554,0.059638421585599434]","[0.0,0.0,0.0]","[-0.43394720300835543,0.13847960553895544,0.04036157841440058]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE
3d26d4945e5eb287bb0f08d98a5584ac6865560cbf85f1082a2b8e23846f087a,"[0.23566594095217497,0.20241990818941905,0.05063423919656564]","[0.0,0.0,0.0]","[-0.39566594095217505,-0.262419908189419,0.04936576080343436]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE
3f1caa229d82e8e450cd7afcfa76727cab1fe45b4dd08d574918bae23c9bbdc4,"[0.22028942170263938,0.2219727429971234,0.05642787609686539]","[0.0,0.0,0.0]","[-0.3802894217026394,-0.2819727429971234,0.04357212390313462]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE
402e4211a0f090cd9581637f2218fdcc2e21901ee895e69723ac6c34e54b9a92,"[-0.33670540770655183,-0.3262538331468692,0.0575574957435426]","[0.0,0.0,0.0]","[0.17670540770655196,0.266253833146869,0.042442504256457424]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE
40c746c87378efda13846a5182c76791b53153064539d49d11771fc56a585f58,"[-0.37214366427289586,0.23137344820238634,0.041502745700504856]","[0.0,0.0,0.0]","[0.21214366427289577,-0.2913734482023864,0.05849725429949515]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE
420d81ff82b0c93b992a551ca1aa6ca74054ba7c59f6339dbf8d45ae11443ddc,"[-0.13578741660312782,0.3580100052173256,0.04010178558119067]","[0.0,0.0,0.0]","[-0.02421258339687233,-0.4180100052173257,0.05989821441880933]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE
4973ebd65bf5c9a2830199a51b00a460ac220c12e85a32b7bb8c8a218905d204,"[-0.2971366650355152,0.2963673830168304,0.05400930535406616]","[0.0,0.0,0.0]","[0.1371366650355152,-0.35636738301683035,0.04599069464593385]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE
4cb10c353901921fc6bbcb50852810cb4ee8da51d6085eb99ffb4c8fbfdb5d3f,"[0.20370374293718746,-0.3005109725009879,0.04028188431676458]","[0.0,0.0,0.0]","[-0.3637037429371872,0.2405109725009882,0.059718115683235415]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE
563bc8997736bb471ed161714451176a26c82e37c1c86862d8d18059b46281ed,"[-0.38813281313917275,0.21231832259847724,0.04628337544339673]","[0.0,0.0,0.0]","[0.22813281313917255,-0.27231832259847744,0.053716624556603275]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE
591e9d6a822894b09185290e0772c77cd1df78239bc081ceaec6ac0103b4bc3c,"[0.10513026131089169,-0.3755297184714521,0.059788024462147794]","[0.0,0.0,0.0]","[-0.2651302613108917,0.31552971847145217,0.04021197553785222]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE
