state_id,position_m,velocity_m_per_s,goal_m,source_type
01aeadade59622e7afcd1c10e9715e32030cf02026456c4aed3d403c69efd0b8,"[0.16840438675652514,0.2816429264469043,-0.06276165028273188]","[0.0,0.0,0.0]","[0.21159561324347484,-0.2616429264469043,0.022761650282731877]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE
06acbdd51434ffeec1da7bb9007aeab82aa77a0b3e8ed604e04307c987ac45ad,"[0.22020340947302547,-0.2608209815656918,-0.0737596264574801]","[0.0,0.0,0.0]","[0.15979659052697456,0.2808209815656918,0.03375962645748001]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE
0777bee697e0cc7a147ae5244e26b119fd90ec1854bb36270068ed0a8246e0cb,"[0.25424430992631897,-0.2548186523681651,-0.06140474068892668]","[0.0,0.0,0.0]","[0.12575569007368126,0.27481865236816516,0.02140474068892684]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE
08337021ba1c3d87414d7f0f7acfcac0e371afc3fbe6a5cb191cdda80fedcd5d,"[0.4575755700040876,-0.041570964088211655,-0.07670004912288013]","[0.0,0.0,0.0]","[-0.0775755700040876,0.0615709640882117,0.036700049122880204]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE
09ef865ed528a671c50c220cb21c300d9a39d74179470423445cafdbdef72da2,"[-0.0241994683174096,0.17844832374511493,-0.04229974733961962]","[0.0,0.0,0.0]","[0.4041994683174095,-0.15844832374511503,0.0022997473396196323]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE
0e45383538fdd57d52ada874c7a69b2ebbbffb82a95fb21c48898300a56c1a95,"[0.4537660211305071,-0.05843782650684414,-0.054023591831766235]","[0.0,0.0,0.0]","[-0.07376602113050718,0.07843782650684394,0.014023591831766057]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE
109361dab8f9d2e7187eaa6d9b480caa32019d3f888db481c19fe6316dd7f7ed,"[0.43604748168310425,-0.10711911354429936,0.037830529513596584]","[0.0,0.0,0.0]","[-0.05604748168310422,0.1271191135442994,-0.07783052951359652]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE
11d9fd665d3c71d1b6818c174bc38df1413d28acca5abcbd22d77a09a8fa9898,"[-0.059639554650238985,-0.09925357089830227,-0.06995419127808639]","[0.0,0.0,0.0]","[0.43963955465023896,0.11925357089830223,0.029954191278086257]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE
12f81f928f7d3103015be971d8f4da05ac17c0078f71afe8efcd4556f0b5c897,"[-0.05220765975846667,-0.11486672717071932,-0.07993204035098048]","[0.0,0.0,0.0]","[0.4322076597584667,0.1348667271707193,0.0399320403509805]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE
131f912dbb698c5a5c1a7d4b8a3957e861031d3bc1cc486897d29b823078532a,"[0.23731912841423855,0.2783601126958267,0.03908846518073247]","[0.0,0.0,0.0]","[0.14268087158576148,-0.2583601126958267,-0.0790884651807325]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE
161062cebfee5425da5f7df3b7ccabbe6c31fb5f2c6fc7e0086b29c6fbcb2bef,"[-0.04380048010653126,0.14997708920375324,0.02656878785750538]","[0.0,0.0,0.0]","[0.42380048010653126,-0.12997708920375325,-0.06656878785750538]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE
17e4d81bd69626f3f986d4dcf7074107ecfe54e4f4812a0599cc0668e9fc7bcb,"[0.011550449999909757,-0.19594175901153535,0.025344974461255606]","[0.0,0.0,0.0]","[0.3684495500000904,0.21594175901153526,-0.06534497446125548]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE
1852257ab75df5333501077e7249e4eacf9e9f7ddd6a045155491720680ebe7b,"[0.2373191284142384,-0.2583601126958267,-0.07908846518073248]","[0.0,0.0,0.0]","[0.14268087158576162,0.2783601126958267,0.039088465180732446]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE
1c099e1b0ea88dfff3671a2ec0cf87b7521c147b2d4ff830884083bd8868ad06,"[-0.0812660989011656,-0.01590277180038977,0.028874557123020037]","[0.0,0.0,0.0]","[0.4612660989011656,0.03590277180038986,-0.06887455712302015]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE
235fea86defd92cc44d77db4afa37c47fbf190442e8c91dba356302e61a9a3ef,"[0.287251495383785,-0.24455529192224162,0.00917180416602792]","[0.0,0.0,0.0]","[0.09274850461621523,0.2645552919222417,-0.049171804166028094]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE
