environment,metric,count,n,rate,wilson_95_lower,wilson_95_upper
E1_REPLICA_GT_FINE,segment_incremental_activation,0,160,0.0,0.0,0.02344619517150519
E1_REPLICA_GT_FINE,backup_incremental_activation,0,160,0.0,0.0,0.02344619517150519
E1_REPLICA_GT_FINE,directional_incremental_rescue,0,160,0.0,0.0,0.02344619517150519
E1_REPLICA_GT_FINE,any_incremental_activation,0,160,0.0,0.0,0.02344619517150519
E5_STONEHENGE_SAFER,segment_incremental_activation,0,100,0.0,0.0,0.03699349820698568
E5_STONEHENGE_SAFER,backup_incremental_activation,0,100,0.0,0.0,0.03699349820698568
E5_STONEHENGE_SAFER,directional_incremental_rescue,0,100,0.0,0.0,0.03699349820698568
E5_STONEHENGE_SAFER,any_incremental_activation,0,100,0.0,0.0,0.03699349820698568
E6_FLIGHT_SAFER,segment_incremental_activation,0,100,0.0,0.0,0.03699349820698568
E6_FLIGHT_SAFER,backup_incremental_activation,0,100,0.0,0.0,0.03699349820698568
E6_FLIGHT_SAFER,directional_incremental_rescue,0,100,0.0,0.0,0.03699349820698568
E6_FLIGHT_SAFER,any_incremental_activation,0,100,0.0,0.0,0.03699349820698568
