official_filename,dataset_variant,official_declared_size,official_declared_size_bytes_decimal,official_page_match,official_download_url,final_official_download_url,redirect_chain,http_status,content_length,etag,last_modified,mime,archive_format,expected_internal_semantics,project_role,physical_root,allowed_phase,prohibited_phase,future_sha_verification_method,disposition,mapping_input_prohibited,head_only,response_body_bytes
delivery_area_dslr_undistorted.7z,HIGH_RES_DSLR,0.5 GB,500000000,True,https://www.eth3d.net/data/delivery_area_dslr_undistorted.7z,https://www.eth3d.net/data/delivery_area_dslr_undistorted.7z,[],200,478076254,"""59347f21-1c7edd5e""","Sun, 04 Jun 2017 21:44:01 GMT",application/x-7z-compressed,7z,posed undistorted RGB and COLMAP text calibration,CROSS_VIEW_EVALUATION_ONLY,CROSS_VIEW_EVALUATION,FUTURE_BOUNDED_ASSET_AUDIT_ONLY,MAPPING_TRAINING,stream archive once in an explicitly authorized acquisition task while computing SHA-256; compare immutable byte count and archive listing,required,True,True,0
delivery_area_dslr_jpg.7z,HIGH_RES_DSLR,0.4 GB,400000000,True,https://www.eth3d.net/data/delivery_area_dslr_jpg.7z,https://www.eth3d.net/data/delivery_area_dslr_jpg.7z,[],200,372958192,"""59347f4c-163ae3f0""","Sun, 04 Jun 2017 21:44:44 GMT",application/x-7z-compressed,7z,distorted source imagery,NOT_REQUIRED,NONE,NOT_AUTHORIZED_IN_NEXT_TASK,MAPPING_TRAINING,stream archive once in an explicitly authorized acquisition task while computing SHA-256; compare immutable byte count and archive listing,rejected,True,True,0
delivery_area_dslr_raw.7z,HIGH_RES_DSLR,1.1 GB,1100000000,True,https://www.eth3d.net/data/delivery_area_dslr_raw.7z,https://www.eth3d.net/data/delivery_area_dslr_raw.7z,[],200,1179816961,"""59347fdd-46529401""","Sun, 04 Jun 2017 21:47:09 GMT",application/x-7z-compressed,7z,distorted source imagery,NOT_REQUIRED,NONE,NOT_AUTHORIZED_IN_NEXT_TASK,MAPPING_TRAINING,stream archive once in an explicitly authorized acquisition task while computing SHA-256; compare immutable byte count and archive listing,rejected,True,True,0
delivery_area_scan_raw.7z,SHARED_REFERENCE,0.4 GB,400000000,True,https://www.eth3d.net/data/delivery_area_scan_raw.7z,https://www.eth3d.net/data/delivery_area_scan_raw.7z,[],200,398284446,"""593480ab-17bd569e""","Sun, 04 Jun 2017 21:50:35 GMT",application/x-7z-compressed,7z,laser-scan-derived evaluation/reference data,OPTIONAL_DIAGNOSTIC_ONLY,FUTURE_DIAGNOSTIC,NOT_AUTHORIZED_IN_NEXT_TASK,MAPPING_TRAINING,stream archive once in an explicitly authorized acquisition task while computing SHA-256; compare immutable byte count and archive listing,rejected,True,True,0
delivery_area_scan_clean.7z,SHARED_REFERENCE,0.4 GB,400000000,True,https://www.eth3d.net/data/delivery_area_scan_clean.7z,https://www.eth3d.net/data/delivery_area_scan_clean.7z,[],200,381363091,"""5934815c-16bb2393""","Sun, 04 Jun 2017 21:53:32 GMT",application/x-7z-compressed,7z,laser-scan-derived evaluation/reference data,REFERENCE_ORACLE_ONLY,REFERENCE_ORACLE,FUTURE_BOUNDED_ASSET_AUDIT_ONLY,MAPPING_TRAINING,stream archive once in an explicitly authorized acquisition task while computing SHA-256; compare immutable byte count and archive listing,required,True,True,0
delivery_area_dslr_scan_eval.7z,HIGH_RES_DSLR,0.1 GB,100000000,True,https://www.eth3d.net/data/delivery_area_dslr_scan_eval.7z,https://www.eth3d.net/data/delivery_area_dslr_scan_eval.7z,[],200,122553428,"""593481a5-74e0454""","Sun, 04 Jun 2017 21:54:45 GMT",application/x-7z-compressed,7z,laser-scan-derived evaluation/reference data,CROSS_VIEW_EVALUATION_ONLY,CROSS_VIEW_EVALUATION,FUTURE_BOUNDED_ASSET_AUDIT_ONLY,MAPPING_TRAINING,stream archive once in an explicitly authorized acquisition task while computing SHA-256; compare immutable byte count and archive listing,required,True,True,0
delivery_area_dslr_occlusion.7z,HIGH_RES_DSLR,0.1 GB,100000000,True,https://www.eth3d.net/data/delivery_area_dslr_occlusion.7z,https://www.eth3d.net/data/delivery_area_dslr_occlusion.7z,[],200,56850384,"""59c9156a-36377d0""","Mon, 25 Sep 2017 14:40:42 GMT",application/x-7z-compressed,7z,laser-scan-derived evaluation/reference data,CROSS_VIEW_EVALUATION_ONLY,CROSS_VIEW_EVALUATION,FUTURE_BOUNDED_ASSET_AUDIT_ONLY,MAPPING_TRAINING,stream archive once in an explicitly authorized acquisition task while computing SHA-256; compare immutable byte count and archive listing,required,True,True,0
delivery_area_dslr_depth.7z,HIGH_RES_DSLR,0.4 GB,400000000,True,https://www.eth3d.net/data/delivery_area_dslr_depth.7z,https://www.eth3d.net/data/delivery_area_dslr_depth.7z,[],200,388144128,"""5ad0d0d4-17229c00""","Fri, 13 Apr 2018 15:46:28 GMT",application/x-7z-compressed,7z,laser-scan-derived evaluation/reference data,CROSS_VIEW_EVALUATION_ONLY,CROSS_VIEW_EVALUATION,FUTURE_BOUNDED_ASSET_AUDIT_ONLY,MAPPING_TRAINING,stream archive once in an explicitly authorized acquisition task while computing SHA-256; compare immutable byte count and archive listing,required,True,True,0
delivery_area_rig_undistorted.7z,LOW_RES_RIG,0.3 GB,300000000,True,https://www.eth3d.net/data/delivery_area_rig_undistorted.7z,https://www.eth3d.net/data/delivery_area_rig_undistorted.7z,[],200,278900786,"""5934b5af-109fb032""","Mon, 05 Jun 2017 01:36:47 GMT",application/x-7z-compressed,7z,posed undistorted RGB and COLMAP text calibration,MAPPING_INPUT_ONLY,TRAIN_INPUT_ROOT,FUTURE_BOUNDED_ASSET_AUDIT_ONLY,CURRENT_METADATA_ONLY_TASK,stream archive once in an explicitly authorized acquisition task while computing SHA-256; compare immutable byte count and archive listing,required,False,True,0
delivery_area_rig.7z,LOW_RES_RIG,0.3 GB,300000000,True,https://www.eth3d.net/data/delivery_area_rig.7z,https://www.eth3d.net/data/delivery_area_rig.7z,[],200,316556364,"""5934b664-12de444c""","Mon, 05 Jun 2017 01:39:48 GMT",application/x-7z-compressed,7z,distorted source imagery,NOT_REQUIRED,NONE,NOT_AUTHORIZED_IN_NEXT_TASK,MAPPING_TRAINING,stream archive once in an explicitly authorized acquisition task while computing SHA-256; compare immutable byte count and archive listing,rejected,True,True,0
