group,method,run_count,completion_count,success_count,terminal_counts,progress_mean_all_terminal_m,active_constraints_mean_all_terminal,qp_infeasible_event_count,start_safe_entered,start_safe_attempted,start_safe_accepted,qp_stage_entered,h2_reduction_observed,dt_checks_executed,dt_triggered,recovery_checks_executed,recovery_triggered
G0_SAFE_CONTROL,M0_SAFER_BASELINE,20,20,20,"{""SUCCESS"": 20}",0.11665474515182137,2000.0,0,0,0,0,20,0,0,0,0,0
G0_SAFE_CONTROL,M1_FAS_START_SAFE_ONLY,20,20,20,"{""SUCCESS"": 20}",0.11665474515182137,2000.0,0,20,0,20,20,0,0,0,0,0
G0_SAFE_CONTROL,M2_FAS_START_SAFE_PLUS_FEASIBILITY_AWARE,20,20,20,"{""SUCCESS"": 20}",0.11665511548574437,4.002664507826501,0,20,0,20,20,20,0,0,0,0
G0_SAFE_CONTROL,M3_FAS_PLUS_DISCRETE_TIME_VERIFICATION,20,20,20,"{""SUCCESS"": 20}",0.11665511548574437,4.002664507826501,0,20,0,20,20,0,20,0,0,0
G0_SAFE_CONTROL,M4_FULL_FAS_CBF,20,20,20,"{""SUCCESS"": 20}",0.11665511548574437,4.002664507826501,0,20,0,20,20,0,20,0,20,0
G1_START_SAFE_BOUNDARY,M0_SAFER_BASELINE,20,0,0,"{""QP_INFEASIBLE"": 20}",0.0,2000.0,20,0,0,0,20,0,0,0,0,0
G1_START_SAFE_BOUNDARY,M1_FAS_START_SAFE_ONLY,20,0,0,"{""QP_INFEASIBLE"": 20}",-0.0035042200068968582,2000.0,20,20,14,20,20,0,0,0,0,0
G1_START_SAFE_BOUNDARY,M2_FAS_START_SAFE_PLUS_FEASIBILITY_AWARE,20,0,0,"{""QP_INFEASIBLE"": 20}",-0.0035042200068968582,407.0,20,20,14,20,20,20,0,0,0,0
G1_START_SAFE_BOUNDARY,M3_FAS_PLUS_DISCRETE_TIME_VERIFICATION,20,0,0,"{""QP_INFEASIBLE"": 20}",-0.0035042200068968582,407.0,20,20,14,20,20,0,0,0,0,0
G1_START_SAFE_BOUNDARY,M4_FULL_FAS_CBF,20,0,0,"{""QP_INFEASIBLE"": 20}",-0.0035042200068968582,407.0,20,20,14,20,20,0,0,0,0,0
G2_FEASIBILITY_DENSE,M0_SAFER_BASELINE,20,0,0,"{""QP_INFEASIBLE"": 20}",0.0,2000.0,20,0,0,0,20,0,0,0,0,0
G2_FEASIBILITY_DENSE,M1_FAS_START_SAFE_ONLY,20,0,0,"{""START_STATE_REJECTED"": 20}",0.0,0.0,0,20,20,0,0,0,0,0,0,0
G2_FEASIBILITY_DENSE,M2_FAS_START_SAFE_PLUS_FEASIBILITY_AWARE,20,0,0,"{""START_STATE_REJECTED"": 20}",0.0,0.0,0,20,20,0,0,0,0,0,0,0
G2_FEASIBILITY_DENSE,M3_FAS_PLUS_DISCRETE_TIME_VERIFICATION,20,0,0,"{""START_STATE_REJECTED"": 20}",0.0,0.0,0,20,20,0,0,0,0,0,0,0
G2_FEASIBILITY_DENSE,M4_FULL_FAS_CBF,20,0,0,"{""START_STATE_REJECTED"": 20}",0.0,0.0,0,20,20,0,0,0,0,0,0,0
G3_SAMPLED_DATA_GAP,M0_SAFER_BASELINE,20,0,0,"{""QP_INFEASIBLE"": 20}",0.0,2000.0,20,0,0,0,20,0,0,0,0,0
G3_SAMPLED_DATA_GAP,M1_FAS_START_SAFE_ONLY,20,0,0,"{""QP_INFEASIBLE"": 20}",0.0,2000.0,20,20,0,20,20,0,0,0,0,0
G3_SAMPLED_DATA_GAP,M2_FAS_START_SAFE_PLUS_FEASIBILITY_AWARE,20,0,0,"{""QP_INFEASIBLE"": 20}",0.0,302.45,20,20,0,20,20,20,0,0,0,0
G3_SAMPLED_DATA_GAP,M3_FAS_PLUS_DISCRETE_TIME_VERIFICATION,20,0,0,"{""QP_INFEASIBLE"": 20}",0.0,302.45,20,20,0,20,20,0,0,0,0,0
G3_SAMPLED_DATA_GAP,M4_FULL_FAS_CBF,20,0,0,"{""QP_INFEASIBLE"": 20}",0.0,302.45,20,20,0,20,20,0,0,0,0,0
G4_PREDICTIVE_RECOVERY,M0_SAFER_BASELINE,20,0,0,"{""QP_INFEASIBLE"": 20}",0.0,2000.0,20,0,0,0,20,0,0,0,0,0
G4_PREDICTIVE_RECOVERY,M1_FAS_START_SAFE_ONLY,20,0,0,"{""QP_INFEASIBLE"": 20}",0.0,2000.0,20,20,0,20,20,0,0,0,0,0
G4_PREDICTIVE_RECOVERY,M2_FAS_START_SAFE_PLUS_FEASIBILITY_AWARE,20,0,0,"{""QP_INFEASIBLE"": 20}",0.0,86.75,20,20,0,20,20,20,0,0,0,0
G4_PREDICTIVE_RECOVERY,M3_FAS_PLUS_DISCRETE_TIME_VERIFICATION,20,0,0,"{""QP_INFEASIBLE"": 20}",0.0,86.75,20,20,0,20,20,0,0,0,0,0
G4_PREDICTIVE_RECOVERY,M4_FULL_FAS_CBF,20,0,0,"{""QP_INFEASIBLE"": 20}",0.0,86.75,20,20,0,20,20,0,0,0,0,0
