group,method,start_safe_entered,start_safe_attempted,start_safe_accepted,qp_stage_entered,h2_reduction_observed,dt_checks_executed,dt_triggered,recovery_checks_executed,recovery_triggered,terminal_before_h2,terminal_before_h3
G0_SAFE_CONTROL,M0_SAFER_BASELINE,0,0,0,20,0,0,0,0,0,0,0
G0_SAFE_CONTROL,M1_FAS_START_SAFE_ONLY,20,0,20,20,0,0,0,0,0,0,0
G0_SAFE_CONTROL,M2_FAS_START_SAFE_PLUS_FEASIBILITY_AWARE,20,0,20,20,20,0,0,0,0,0,0
G0_SAFE_CONTROL,M3_FAS_PLUS_DISCRETE_TIME_VERIFICATION,20,0,20,20,0,20,0,0,0,0,0
G0_SAFE_CONTROL,M4_FULL_FAS_CBF,20,0,20,20,0,20,0,20,0,0,0
G1_START_SAFE_BOUNDARY,M0_SAFER_BASELINE,0,0,0,20,0,0,0,0,0,0,20
G1_START_SAFE_BOUNDARY,M1_FAS_START_SAFE_ONLY,20,14,20,20,0,0,0,0,0,0,20
G1_START_SAFE_BOUNDARY,M2_FAS_START_SAFE_PLUS_FEASIBILITY_AWARE,20,14,20,20,20,0,0,0,0,0,20
G1_START_SAFE_BOUNDARY,M3_FAS_PLUS_DISCRETE_TIME_VERIFICATION,20,14,20,20,0,0,0,0,0,0,20
G1_START_SAFE_BOUNDARY,M4_FULL_FAS_CBF,20,14,20,20,0,0,0,0,0,0,20
G2_FEASIBILITY_DENSE,M0_SAFER_BASELINE,0,0,0,20,0,0,0,0,0,0,20
G2_FEASIBILITY_DENSE,M1_FAS_START_SAFE_ONLY,20,20,0,0,0,0,0,0,0,20,20
G2_FEASIBILITY_DENSE,M2_FAS_START_SAFE_PLUS_FEASIBILITY_AWARE,20,20,0,0,0,0,0,0,0,20,20
G2_FEASIBILITY_DENSE,M3_FAS_PLUS_DISCRETE_TIME_VERIFICATION,20,20,0,0,0,0,0,0,0,20,20
G2_FEASIBILITY_DENSE,M4_FULL_FAS_CBF,20,20,0,0,0,0,0,0,0,20,20
G3_SAMPLED_DATA_GAP,M0_SAFER_BASELINE,0,0,0,20,0,0,0,0,0,0,20
G3_SAMPLED_DATA_GAP,M1_FAS_START_SAFE_ONLY,20,0,20,20,0,0,0,0,0,0,20
G3_SAMPLED_DATA_GAP,M2_FAS_START_SAFE_PLUS_FEASIBILITY_AWARE,20,0,20,20,20,0,0,0,0,0,20
G3_SAMPLED_DATA_GAP,M3_FAS_PLUS_DISCRETE_TIME_VERIFICATION,20,0,20,20,0,0,0,0,0,0,20
G3_SAMPLED_DATA_GAP,M4_FULL_FAS_CBF,20,0,20,20,0,0,0,0,0,0,20
G4_PREDICTIVE_RECOVERY,M0_SAFER_BASELINE,0,0,0,20,0,0,0,0,0,0,20
G4_PREDICTIVE_RECOVERY,M1_FAS_START_SAFE_ONLY,20,0,20,20,0,0,0,0,0,0,20
G4_PREDICTIVE_RECOVERY,M2_FAS_START_SAFE_PLUS_FEASIBILITY_AWARE,20,0,20,20,20,0,0,0,0,0,20
G4_PREDICTIVE_RECOVERY,M3_FAS_PLUS_DISCRETE_TIME_VERIFICATION,20,0,20,20,0,0,0,0,0,0,20
G4_PREDICTIVE_RECOVERY,M4_FULL_FAS_CBF,20,0,20,20,0,0,0,0,0,0,20
