evidence_id_a,evidence_id_b,classification,rationale
E01_ETH3D_PR80,E02_ETH3D_PR81,CONFIGURATION_SPECIFIC,same named setting but module/configuration/result-type differ
E01_ETH3D_PR80,E03_REPLICA_PR65,MAP_SPECIFIC,different map role; effects cannot be numerically pooled
E01_ETH3D_PR80,E04_STARTGUARD_TRIAL57,MAP_SPECIFIC,different map role; effects cannot be numerically pooled
E01_ETH3D_PR80,E05_STARTGUARD_FLIGHT100,MAP_SPECIFIC,different map role; effects cannot be numerically pooled
E01_ETH3D_PR80,E06_ACTIVE_PROJECTION,MAP_SPECIFIC,different map role; effects cannot be numerically pooled
E01_ETH3D_PR80,E07_SYNTHETIC_START_STRESS,MAP_SPECIFIC,different map role; effects cannot be numerically pooled
E01_ETH3D_PR80,E08_RISK_AWARE_STONEHENGE,MAP_SPECIFIC,different map role; effects cannot be numerically pooled
E01_ETH3D_PR80,E09_RISK_AWARE_FLIGHT,MAP_SPECIFIC,different map role; effects cannot be numerically pooled
E01_ETH3D_PR80,E10_FORCED_DOMINANCE,MAP_SPECIFIC,different map role; effects cannot be numerically pooled
E01_ETH3D_PR80,E11_DT_DETECTION,MAP_SPECIFIC,different map role; effects cannot be numerically pooled
E01_ETH3D_PR80,E12_V4B_NEGATIVE,MAP_SPECIFIC,different map role; effects cannot be numerically pooled
E01_ETH3D_PR80,E13_V4C_H3,MAP_SPECIFIC,different map role; effects cannot be numerically pooled
E01_ETH3D_PR80,E14_V4C_TUNED_H2,MAP_SPECIFIC,different map role; effects cannot be numerically pooled
E01_ETH3D_PR80,E15_HCE_HELDOUT,MAP_SPECIFIC,different map role; effects cannot be numerically pooled
E01_ETH3D_PR80,E16_TRIAL20_BOUNDARY,MAP_SPECIFIC,different map role; effects cannot be numerically pooled
E01_ETH3D_PR80,E17_TUM_DT_FORENSICS,MAP_SPECIFIC,different map role; effects cannot be numerically pooled
E01_ETH3D_PR80,E18_TUM_V4C_INTERVENTION,MAP_SPECIFIC,different map role; effects cannot be numerically pooled
E02_ETH3D_PR81,E03_REPLICA_PR65,MAP_SPECIFIC,different map role; effects cannot be numerically pooled
E02_ETH3D_PR81,E04_STARTGUARD_TRIAL57,MAP_SPECIFIC,different map role; effects cannot be numerically pooled
E02_ETH3D_PR81,E05_STARTGUARD_FLIGHT100,MAP_SPECIFIC,different map role; effects cannot be numerically pooled
E02_ETH3D_PR81,E06_ACTIVE_PROJECTION,MAP_SPECIFIC,different map role; effects cannot be numerically pooled
E02_ETH3D_PR81,E07_SYNTHETIC_START_STRESS,MAP_SPECIFIC,different map role; effects cannot be numerically pooled
E02_ETH3D_PR81,E08_RISK_AWARE_STONEHENGE,MAP_SPECIFIC,different map role; effects cannot be numerically pooled
E02_ETH3D_PR81,E09_RISK_AWARE_FLIGHT,MAP_SPECIFIC,different map role; effects cannot be numerically pooled
E02_ETH3D_PR81,E10_FORCED_DOMINANCE,MAP_SPECIFIC,different map role; effects cannot be numerically pooled
E02_ETH3D_PR81,E11_DT_DETECTION,MAP_SPECIFIC,different map role; effects cannot be numerically pooled
E02_ETH3D_PR81,E12_V4B_NEGATIVE,MAP_SPECIFIC,different map role; effects cannot be numerically pooled
