frame_index,frame_id,location_id,source_candidate_id,location_hash,source_navmesh_position,camera_world_position,base_yaw_deg,yaw_slot,yaw_offset_deg,final_yaw_deg,quaternion_xyzw,camera_to_world,split,independent_valid_hit_fraction,independent_front_facing_fraction,habitat_rgb_nonzero_fraction,habitat_depth_positive_fraction,qualification_status,scene_id,mesh_sha256,navmesh_sha256,protocol_contract_sha256,selected_registry_sha256,planned_output_identity
0,frame_0000,location_000,candidate_0002,0033737348a250a878f9a838a496342eb558c1a62e98ddf55e3293cc4a1fafb6,"[4.606825828552246,-1.374765157699585,0.15606771409511566]","[4.606825828552246,0.12523484230041504,0.15606771409511566]",39.5946310880973,0,0,39.5946310880973,"[0.0,0.3386938371679262,0.0,0.9408966386721053]","[[0.7705729693289325,0.0,0.6373517858605183,4.606825828552246],[0.0,1.0,-0.0,0.12523484230041504],[-0.6373517858605183,0.0,0.7705729693289325,0.15606771409511566],[0.0,0.0,0.0,1.0]]",train,1.0,1.0,1.0,1.0,INDEPENDENT_AND_HABITAT_TRIPLET_QUALIFIED,apartment_0,274677d9b7caa413230363b68f4aa472e5cc1afe87e422a489fa1b7d844c6182,32296d6457d3855ffe172cf1970364559def5dd15892e149b44d0bc7c6b7e938,ddd147f908537165c40a34b412cd21c3cbfb5a0615871375d02adecbbfaec6f7,84edb118f01fe1460ff64be4b6ef838f23ed4520740af9f457041b438a7b9f5a,pre_render_not_published/0000
1,frame_0001,location_000,candidate_0002,0033737348a250a878f9a838a496342eb558c1a62e98ddf55e3293cc4a1fafb6,"[4.606825828552246,-1.374765157699585,0.15606771409511566]","[4.606825828552246,0.12523484230041504,0.15606771409511566]",39.5946310880973,1,-60,339.5946310880973,"[0.0,-0.17713085224339845,-0.0,0.9841873100093942]","[[0.9372493223670547,0.0,-0.3486598739782036,4.606825828552246],[-0.0,1.0,-0.0,0.12523484230041504],[0.3486598739782036,0.0,0.9372493223670547,0.15606771409511566],[0.0,0.0,0.0,1.0]]",train,1.0,1.0,1.0,1.0,INDEPENDENT_AND_HABITAT_TRIPLET_QUALIFIED,apartment_0,274677d9b7caa413230363b68f4aa472e5cc1afe87e422a489fa1b7d844c6182,32296d6457d3855ffe172cf1970364559def5dd15892e149b44d0bc7c6b7e938,ddd147f908537165c40a34b412cd21c3cbfb5a0615871375d02adecbbfaec6f7,84edb118f01fe1460ff64be4b6ef838f23ed4520740af9f457041b438a7b9f5a,pre_render_not_published/0001
2,frame_0002,location_000,candidate_0002,0033737348a250a878f9a838a496342eb558c1a62e98ddf55e3293cc4a1fafb6,"[4.606825828552246,-1.374765157699585,0.15606771409511566]","[4.606825828552246,0.12523484230041504,0.15606771409511566]",39.5946310880973,2,60,99.5946310880973,"[0.0,0.7637657864287068,0.0,0.645493472841468]","[[-0.1666763530381221,0.0,0.9860116598387219,4.606825828552246],[0.0,1.0,-0.0,0.12523484230041504],[-0.9860116598387219,0.0,-0.1666763530381221,0.15606771409511566],[0.0,0.0,0.0,1.0]]",train,1.0,1.0,1.0,1.0,INDEPENDENT_AND_HABITAT_TRIPLET_QUALIFIED,apartment_0,274677d9b7caa413230363b68f4aa472e5cc1afe87e422a489fa1b7d844c6182,32296d6457d3855ffe172cf1970364559def5dd15892e149b44d0bc7c6b7e938,ddd147f908537165c40a34b412cd21c3cbfb5a0615871375d02adecbbfaec6f7,84edb118f01fe1460ff64be4b6ef838f23ed4520740af9f457041b438a7b9f5a,pre_render_not_published/0002
3,frame_0003,location_001,candidate_0184,173a97ce689804735920ade69e4793feebc517f6b0f027492fb5048a81af22c1,"[-1.2603076696395874,-1.374765157699585,5.718834400177002]","[-1.2603076696395874,0.12523484230041504,5.718834400177002]",326.498362616475,0,0,326.498362616475,"[0.0,-0.28820995071430827,-0.0,0.9575672427089682]","[[0.833870048618512,0.0,-0.5519608156535756,-1.2603076696395874],[-0.0,1.0,-0.0,0.12523484230041504],[0.5519608156535756,0.0,0.833870048618512,5.718834400177002],[0.0,0.0,0.0,1.0]]",train,0.7222659323367427,0.7222659323367427,0.7370279947916667,0.7370279947916667,INDEPENDENT_AND_HABITAT_TRIPLET_QUALIFIED,apartment_0,274677d9b7caa413230363b68f4aa472e5cc1afe87e422a489fa1b7d844c6182,32296d6457d3855ffe172cf1970364559def5dd15892e149b44d0bc7c6b7e938,ddd147f908537165c40a34b412cd21c3cbfb5a0615871375d02adecbbfaec6f7,84edb118f01fe1460ff64be4b6ef838f23ed4520740af9f457041b438a7b9f5a,pre_render_not_published/0003
4,frame_0004,location_001,candidate_0184,173a97ce689804735920ade69e4793feebc517f6b0f027492fb5048a81af22c1,"[-1.2603076696395874,-1.374765157699585,5.718834400177002]","[-1.2603076696395874,0.12523484230041504,5.718834400177002]",326.498362616475,1,-60,266.498362616475,"[0.0,-0.728380760296536,0.0,0.6851725826606317]","[[-0.06107706394031959,0.0,-0.9981330533853842,-1.2603076696395874],[0.0,1.0,-0.0,0.12523484230041504],[0.9981330533853842,-0.0,-0.06107706394031959,5.718834400177002],[0.0,0.0,0.0,1.0]]",train,0.23918174665617625,0.23918174665617625,0.23505533854166666,0.23505533854166666,INDEPENDENT_AND_HABITAT_TRIPLET_QUALIFIED,apartment_0,274677d9b7caa413230363b68f4aa472e5cc1afe87e422a489fa1b7d844c6182,32296d6457d3855ffe172cf1970364559def5dd15892e149b44d0bc7c6b7e938,ddd147f908537165c40a34b412cd21c3cbfb5a0615871375d02adecbbfaec6f7,84edb118f01fe1460ff64be4b6ef838f23ed4520740af9f457041b438a7b9f5a,pre_render_not_published/0004
5,frame_0005,location_001,candidate_0184,173a97ce689804735920ade69e4793feebc517f6b0f027492fb5048a81af22c1,"[-1.2603076696395874,-1.374765157699585,5.718834400177002]","[-1.2603076696395874,0.12523484230041504,5.718834400177002]",326.498362616475,2,60,26.498362616474992,"[0.0,0.22918648241243225,0.0,0.9733825333749399]","[[0.8949471125588319,0.0,0.4461722377318088,-1.2603076696395874],[0.0,1.0,-0.0,0.12523484230041504],[-0.4461722377318088,0.0,0.8949471125588319,5.718834400177002],[0.0,0.0,0.0,1.0]]",train,0.36664044059795436,0.36664044059795436,0.36263346354166665,0.36263346354166665,INDEPENDENT_AND_HABITAT_TRIPLET_QUALIFIED,apartment_0,274677d9b7caa413230363b68f4aa472e5cc1afe87e422a489fa1b7d844c6182,32296d6457d3855ffe172cf1970364559def5dd15892e149b44d0bc7c6b7e938,ddd147f908537165c40a34b412cd21c3cbfb5a0615871375d02adecbbfaec6f7,84edb118f01fe1460ff64be4b6ef838f23ed4520740af9f457041b438a7b9f5a,pre_render_not_published/0005
6,frame_0006,location_002,candidate_0705,5bedd9b98a4a962a55984c6577bf33a136718fd50ec22f54f6b68ba5ac570e6c,"[4.831280708312988,-1.374765157699585,8.11469841003418]","[4.831280708312988,0.12523484230041504,8.11469841003418]",23.807382419591423,0,0,23.807382419591423,"[0.0,0.20626722420090718,0.0,0.9784956986213341]","[[0.9149076644409053,0.0,0.40366318329430007,4.831280708312988],[0.0,1.0,-0.0,0.12523484230041504],[-0.40366318329430007,0.0,0.9149076644409053,8.11469841003418],[0.0,0.0,0.0,1.0]]",eval,0.4500393391030684,0.4500393391030684,0.4638671875,0.46387044270833333,INDEPENDENT_AND_HABITAT_TRIPLET_QUALIFIED,apartment_0,274677d9b7caa413230363b68f4aa472e5cc1afe87e422a489fa1b7d844c6182,32296d6457d3855ffe172cf1970364559def5dd15892e149b44d0bc7c6b7e938,ddd147f908537165c40a34b412cd21c3cbfb5a0615871375d02adecbbfaec6f7,84edb118f01fe1460ff64be4b6ef838f23ed4520740af9f457041b438a7b9f5a,pre_render_not_published/0006
7,frame_0007,location_002,candidate_0705,5bedd9b98a4a962a55984c6577bf33a136718fd50ec22f54f6b68ba5ac570e6c,"[4.831280708312988,-1.374765157699585,8.11469841003418]","[4.831280708312988,0.12523484230041504,8.11469841003418]",23.807382419591423,1,-60,323.8073824195914,"[0.0,-0.31061519318458103,-0.0,0.9505357446003309]","[[0.8070364035258107,0.0,-0.5905016878757627,4.831280708312988],[-0.0,1.0,-0.0,0.12523484230041504],[0.5905016878757627,0.0,0.8070364035258107,8.11469841003418],[0.0,0.0,0.0,1.0]]",eval,0.15184893784421716,0.15184893784421716,0.14370768229166667,0.14370768229166667,INDEPENDENT_AND_HABITAT_TRIPLET_QUALIFIED,apartment_0,274677d9b7caa413230363b68f4aa472e5cc1afe87e422a489fa1b7d844c6182,32296d6457d3855ffe172cf1970364559def5dd15892e149b44d0bc7c6b7e938,ddd147f908537165c40a34b412cd21c3cbfb5a0615871375d02adecbbfaec6f7,84edb118f01fe1460ff64be4b6ef838f23ed4520740af9f457041b438a7b9f5a,pre_render_not_published/0007
8,frame_0008,location_002,candidate_0705,5bedd9b98a4a962a55984c6577bf33a136718fd50ec22f54f6b68ba5ac570e6c,"[4.831280708312988,-1.374765157699585,8.11469841003418]","[4.831280708312988,0.12523484230041504,8.11469841003418]",23.807382419591423,2,60,83.80738241959142,"[0.0,0.667880505436753,0.0,0.7442685203994237]","[[0.1078712609150946,0.0,0.9941648711700629,4.831280708312988],[0.0,1.0,-0.0,0.12523484230041504],[-0.9941648711700629,0.0,0.1078712609150946,8.11469841003418],[0.0,0.0,0.0,1.0]]",eval,0.1951219512195122,0.1951219512195122,0.19051649305555557,0.190517578125,INDEPENDENT_AND_HABITAT_TRIPLET_QUALIFIED,apartment_0,274677d9b7caa413230363b68f4aa472e5cc1afe87e422a489fa1b7d844c6182,32296d6457d3855ffe172cf1970364559def5dd15892e149b44d0bc7c6b7e938,ddd147f908537165c40a34b412cd21c3cbfb5a0615871375d02adecbbfaec6f7,84edb118f01fe1460ff64be4b6ef838f23ed4520740af9f457041b438a7b9f5a,pre_render_not_published/0008
9,frame_0009,location_003,candidate_0936,7bb6ee812b6eec55dca8be4d0bfed259152636e2a43f507044f225396f7eb2de,"[-0.7150417566299438,1.4252347946166992,0.22988463938236237]","[-0.7150417566299438,2.925234794616699,0.22988463938236237]",199.24707924800262,0,0,199.24707924800262,"[0.0,0.9859274379283902,-0.0,-0.16717382313017878]","[[-0.9441058257200794,0.0,-0.32964251825486207,-0.7150417566299438],[0.0,1.0,-0.0,2.925234794616699],[0.32964251825486207,-0.0,-0.9441058257200794,0.22988463938236237],[0.0,0.0,0.0,1.0]]",train,0.3760818253343824,0.3760818253343824,0.37746202256944444,0.3775325520833333,INDEPENDENT_AND_HABITAT_TRIPLET_QUALIFIED,apartment_0,274677d9b7caa413230363b68f4aa472e5cc1afe87e422a489fa1b7d844c6182,32296d6457d3855ffe172cf1970364559def5dd15892e149b44d0bc7c6b7e938,ddd147f908537165c40a34b412cd21c3cbfb5a0615871375d02adecbbfaec6f7,84edb118f01fe1460ff64be4b6ef838f23ed4520740af9f457041b438a7b9f5a,pre_render_not_published/0009
