map_id,learned,artifact_status,V2_RECONSTRUCTION_AXIS,V2_NAVIGATION_AXIS,SAFETY_QUERY_COMPATIBLE,REFERENCE_AUTHORITY,UNKNOWN_MODEL_STATUS,PHYSICAL_BUDGET_STATUS
REPLICA_GT_FINE,False,AVAILABLE_FOR_READ_ONLY_RETROSPECTIVE_SCOPE,R3_GLOBAL_DENSE_RECONSTRUCTION_QUALIFIED,N3_LIMITED_DOMAIN_NAVIGATION_QUALIFIED,True,A_DENSE_INDEPENDENT_GEOMETRY,NOT_APPLICABLE_GT_DERIVED_FULL_REFERENCE,PHYSICAL_ERROR_BUDGET_RESOLVED
REPLICA_SPLATFACTO,True,AVAILABLE_FOR_READ_ONLY_RETROSPECTIVE_SCOPE,R1_DIAGNOSTIC_RECONSTRUCTION,N1_NAVIGATION_DIAGNOSTIC_ONLY,True,A_DENSE_INDEPENDENT_GEOMETRY,UNKNOWN_MODEL_UNRESOLVED,PHYSICAL_ERROR_BUDGET_UNRESOLVED
TUM_SPLATFACTO_NEGATIVE,True,ARTIFACT_UNAVAILABLE_FOR_RETROSPECTIVE_EVALUATION,R1_DIAGNOSTIC_RECONSTRUCTION,N0_NOT_EVALUABLE,NOT_EVALUABLE,B_OBSERVABLE_RAY_REFERENCE,UNKNOWN_MODEL_UNRESOLVED,PHYSICAL_ERROR_BUDGET_UNRESOLVED
REPLICA_SPLATAM_60,True,AVAILABLE_FOR_READ_ONLY_RETROSPECTIVE_SCOPE,R1_DIAGNOSTIC_RECONSTRUCTION,N1_NAVIGATION_DIAGNOSTIC_ONLY,True,A_DENSE_INDEPENDENT_GEOMETRY,UNKNOWN_MODEL_UNRESOLVED,PHYSICAL_ERROR_BUDGET_UNRESOLVED
ARKITSCENES_M1_SPLATAM,True,AVAILABLE_FOR_READ_ONLY_RETROSPECTIVE_SCOPE,R2_GLOBAL_RECONSTRUCTION_CANDIDATE,N0_NOT_EVALUABLE,True,B_OBSERVABLE_RAY_REFERENCE,UNKNOWN_MODEL_DIAGNOSTIC_ONLY,PHYSICAL_ERROR_BUDGET_UNRESOLVED
TUM_SPLATAM_FORMAL,True,AVAILABLE_FOR_READ_ONLY_RETROSPECTIVE_SCOPE,R1_DIAGNOSTIC_RECONSTRUCTION,N0_NOT_EVALUABLE,True,B_OBSERVABLE_RAY_REFERENCE,UNKNOWN_MODEL_UNRESOLVED,PHYSICAL_ERROR_BUDGET_UNRESOLVED
TUM_GAUSSIAN_SLAM,True,AVAILABLE_FOR_READ_ONLY_RETROSPECTIVE_SCOPE,R1_DIAGNOSTIC_RECONSTRUCTION,N0_NOT_EVALUABLE,True,B_OBSERVABLE_RAY_REFERENCE,UNKNOWN_MODEL_UNRESOLVED,PHYSICAL_ERROR_BUDGET_UNRESOLVED
SAFER_OFFICIAL_FLIGHT,True,ARTIFACT_UNAVAILABLE_FOR_RETROSPECTIVE_EVALUATION,R1_DIAGNOSTIC_RECONSTRUCTION,N0_NOT_EVALUABLE,NOT_EVALUABLE,C_INTERFACE_ONLY,UNKNOWN_MODEL_UNRESOLVED,PHYSICAL_ERROR_BUDGET_UNRESOLVED
SAFER_OFFICIAL_OLD_UNION2,True,ARTIFACT_UNAVAILABLE_FOR_RETROSPECTIVE_EVALUATION,R1_DIAGNOSTIC_RECONSTRUCTION,N0_NOT_EVALUABLE,NOT_EVALUABLE,C_INTERFACE_ONLY,UNKNOWN_MODEL_UNRESOLVED,PHYSICAL_ERROR_BUDGET_UNRESOLVED
SAFER_OFFICIAL_STATUES,True,ARTIFACT_UNAVAILABLE_FOR_RETROSPECTIVE_EVALUATION,R1_DIAGNOSTIC_RECONSTRUCTION,N0_NOT_EVALUABLE,NOT_EVALUABLE,C_INTERFACE_ONLY,UNKNOWN_MODEL_UNRESOLVED,PHYSICAL_ERROR_BUDGET_UNRESOLVED
SAFER_OFFICIAL_STONEHENGE,True,ARTIFACT_UNAVAILABLE_FOR_RETROSPECTIVE_EVALUATION,R1_DIAGNOSTIC_RECONSTRUCTION,N0_NOT_EVALUABLE,NOT_EVALUABLE,C_INTERFACE_ONLY,UNKNOWN_MODEL_UNRESOLVED,PHYSICAL_ERROR_BUDGET_UNRESOLVED
