frame_index,timestamp,transforms_depth_path,processed_depth_path,raw_depth_path,processed_exists,raw_exists,processed_sha256,raw_sha256,byte_identical,direct_reference,file_size_equal,dtype,shape,mapping_source
0,1305031910.765238,depth/0000.png,/disk1/zlab/cross_dataset_assets/processed/tum_rgbd/freiburg1_room/depth/0000.png,/disk1/zlab/cross_dataset_assets/raw/tum_rgbd/rgbd_dataset_freiburg1_room/depth/1305031910.771502.png,True,True,0444d4bf29f6b52c5617d4190f4ff7d3d40a12356f6423212a750205176f3526,0444d4bf29f6b52c5617d4190f4ff7d3d40a12356f6423212a750205176f3526,True,False,True,I;16,"[480, 640]",historical_tum_selected_frames.csv + frozen transforms.json
1,1305031910.935211,depth/0001.png,/disk1/zlab/cross_dataset_assets/processed/tum_rgbd/freiburg1_room/depth/0001.png,/disk1/zlab/cross_dataset_assets/raw/tum_rgbd/rgbd_dataset_freiburg1_room/depth/1305031910.935221.png,True,True,e7e83ad13d23974311815482111923c591fc5ee0f61fd470460ab6d9154a1248,e7e83ad13d23974311815482111923c591fc5ee0f61fd470460ab6d9154a1248,True,False,True,I;16,"[480, 640]",historical_tum_selected_frames.csv + frozen transforms.json
2,1305031911.065269,depth/0002.png,/disk1/zlab/cross_dataset_assets/processed/tum_rgbd/freiburg1_room/depth/0002.png,/disk1/zlab/cross_dataset_assets/raw/tum_rgbd/rgbd_dataset_freiburg1_room/depth/1305031911.074509.png,True,True,4816a02abddee79e3c4e4c67e726a928da27711ad835c642afe36d407f3cca41,4816a02abddee79e3c4e4c67e726a928da27711ad835c642afe36d407f3cca41,True,False,True,I;16,"[480, 640]",historical_tum_selected_frames.csv + frozen transforms.json
3,1305031911.235651,depth/0003.png,/disk1/zlab/cross_dataset_assets/processed/tum_rgbd/freiburg1_room/depth/0003.png,/disk1/zlab/cross_dataset_assets/raw/tum_rgbd/rgbd_dataset_freiburg1_room/depth/1305031911.235660.png,True,True,82aa7c3307b2c94146fb87847ea454e99070ce1e437f5092bf60801af736dcf8,82aa7c3307b2c94146fb87847ea454e99070ce1e437f5092bf60801af736dcf8,True,False,True,I;16,"[480, 640]",historical_tum_selected_frames.csv + frozen transforms.json
4,1305031911.365235,depth/0004.png,/disk1/zlab/cross_dataset_assets/processed/tum_rgbd/freiburg1_room/depth/0004.png,/disk1/zlab/cross_dataset_assets/raw/tum_rgbd/rgbd_dataset_freiburg1_room/depth/1305031911.371631.png,True,True,97b3375bfa46e4305fb6c01e55bb7301b36d0c8d91a8ccf80a54ebc74dd0f917,97b3375bfa46e4305fb6c01e55bb7301b36d0c8d91a8ccf80a54ebc74dd0f917,True,False,True,I;16,"[480, 640]",historical_tum_selected_frames.csv + frozen transforms.json
5,1305031911.533251,depth/0005.png,/disk1/zlab/cross_dataset_assets/processed/tum_rgbd/freiburg1_room/depth/0005.png,/disk1/zlab/cross_dataset_assets/raw/tum_rgbd/rgbd_dataset_freiburg1_room/depth/1305031911.539636.png,True,True,e8fd52c9a7e9d38c1b3868ec4e3fe6260b33a60430b10934d58dfa3fc44a7b7e,e8fd52c9a7e9d38c1b3868ec4e3fe6260b33a60430b10934d58dfa3fc44a7b7e,True,False,True,I;16,"[480, 640]",historical_tum_selected_frames.csv + frozen transforms.json
6,1305031911.665124,depth/0006.png,/disk1/zlab/cross_dataset_assets/processed/tum_rgbd/freiburg1_room/depth/0006.png,/disk1/zlab/cross_dataset_assets/raw/tum_rgbd/rgbd_dataset_freiburg1_room/depth/1305031911.671469.png,True,True,c4c3847b60c79963b336d34d2bb04634bd7b220db60831ed98b8cb8acb19fc8e,c4c3847b60c79963b336d34d2bb04634bd7b220db60831ed98b8cb8acb19fc8e,True,False,True,I;16,"[480, 640]",historical_tum_selected_frames.csv + frozen transforms.json
7,1305031911.833338,depth/0007.png,/disk1/zlab/cross_dataset_assets/processed/tum_rgbd/freiburg1_room/depth/0007.png,/disk1/zlab/cross_dataset_assets/raw/tum_rgbd/rgbd_dataset_freiburg1_room/depth/1305031911.839611.png,True,True,b8008cd62599ffa2e21a775dd017bce769c7d5358251d949f6bb2f9196ddd395,b8008cd62599ffa2e21a775dd017bce769c7d5358251d949f6bb2f9196ddd395,True,False,True,I;16,"[480, 640]",historical_tum_selected_frames.csv + frozen transforms.json
8,1305031911.96514,depth/0008.png,/disk1/zlab/cross_dataset_assets/processed/tum_rgbd/freiburg1_room/depth/0008.png,/disk1/zlab/cross_dataset_assets/raw/tum_rgbd/rgbd_dataset_freiburg1_room/depth/1305031911.972044.png,True,True,5888f06e622bd9a672b386808b1529acc17fb8fa40acf4c38e6b4c96fd95e201,5888f06e622bd9a672b386808b1529acc17fb8fa40acf4c38e6b4c96fd95e201,True,False,True,I;16,"[480, 640]",historical_tum_selected_frames.csv + frozen transforms.json
9,1305031912.133282,depth/0009.png,/disk1/zlab/cross_dataset_assets/processed/tum_rgbd/freiburg1_room/depth/0009.png,/disk1/zlab/cross_dataset_assets/raw/tum_rgbd/rgbd_dataset_freiburg1_room/depth/1305031912.139831.png,True,True,1b0c9effc63adfc22899989bcfa0d538b4866f94c7b650fc3c201d1ddcd63bcc,1b0c9effc63adfc22899989bcfa0d538b4866f94c7b650fc3c201d1ddcd63bcc,True,False,True,I;16,"[480, 640]",historical_tum_selected_frames.csv + frozen transforms.json
