frame_index,shape,finite,rotation_orthogonality_error,rotation_determinant_error,bottom_row_error,inverse_consistency_error,translation_x,translation_y,translation_z
0,4x4,True,4.440892098500626e-16,4.440892098500626e-16,0.0,2.220446049250313e-16,-0.8683,0.6026,1.5627
1,4x4,True,2.220446049250313e-16,2.220446049250313e-16,0.0,4.440892098500626e-16,-0.8643,0.6464,1.5617
2,4x4,True,3.3306690738754696e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,-0.871,0.6837,1.5593
3,4x4,True,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,-0.8858,0.7238,1.5628
4,4x4,True,6.661338147750939e-16,4.440892098500626e-16,0.0,2.220446049250313e-16,-0.8932,0.7531,1.5632
5,4x4,True,7.771561172376096e-16,6.661338147750939e-16,0.0,2.220446049250313e-16,-0.9013,0.7875,1.559
6,4x4,True,4.440892098500626e-16,4.440892098500626e-16,0.0,1.1219246916247072e-16,-0.9089,0.8148,1.5506
7,4x4,True,7.771561172376096e-16,7.771561172376096e-16,0.0,3.3306690738754696e-16,-0.9188,0.8393,1.5344
8,4x4,True,4.440892098500626e-16,2.220446049250313e-16,0.0,1.1102230246251565e-16,-0.9232,0.8528,1.5232
9,4x4,True,1.171005537911194e-16,1.1102230246251565e-16,0.0,2.220446049250313e-16,-0.9185,0.86,1.5161
10,4x4,True,4.440892098500626e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,-0.9109,0.8577,1.5172
11,4x4,True,6.661338147750939e-16,5.551115123125783e-16,0.0,2.220446049250313e-16,-0.9004,0.8539,1.5205
12,4x4,True,8.881784197001252e-16,8.881784197001252e-16,0.0,2.220446049250313e-16,-0.8817,0.8534,1.5201
13,4x4,True,4.440892098500626e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,-0.871,0.8528,1.5202
14,4x4,True,6.661338147750939e-16,6.661338147750939e-16,0.0,1.1102230246251565e-16,-0.8634,0.8531,1.5187
15,4x4,True,5.551115123125783e-16,5.551115123125783e-16,0.0,2.220446049250313e-16,-0.8545,0.8487,1.5206
16,4x4,True,4.440892098500626e-16,4.440892098500626e-16,0.0,2.220446049250313e-16,-0.8371,0.8466,1.5184
17,4x4,True,6.661338147750939e-16,7.771561172376096e-16,0.0,2.220446049250313e-16,-0.8191,0.842,1.5115
18,4x4,True,7.771561172376096e-16,5.551115123125783e-16,0.0,2.220446049250313e-16,-0.8013,0.8234,1.5039
19,4x4,True,6.661338147750939e-16,8.881784197001252e-16,0.0,2.220446049250313e-16,-0.7939,0.7965,1.5025
20,4x4,True,2.220446049250313e-16,1.1102230246251565e-16,0.0,1.2893945232499149e-16,-0.7875,0.7475,1.5059
21,4x4,True,2.220446049250313e-16,2.220446049250313e-16,0.0,4.440892098500626e-16,-0.785,0.6815,1.5122
22,4x4,True,3.3306690738754696e-16,1.1102230246251565e-16,0.0,2.220446049250313e-16,-0.782,0.619,1.5147
23,4x4,True,3.3306690738754696e-16,2.220446049250313e-16,0.0,1.1102230246251565e-16,-0.7714,0.5186,1.5202
24,4x4,True,6.661338147750939e-16,6.661338147750939e-16,0.0,2.220446049250313e-16,-0.7596,0.4311,1.5187
25,4x4,True,1.1102230246251565e-15,1.1102230246251565e-15,0.0,5.551115123125783e-16,-0.7498,0.3091,1.5169
26,4x4,True,2.220446049250313e-16,2.220446049250313e-16,0.0,4.440892098500626e-16,-0.7407,0.2225,1.5144
27,4x4,True,4.440892098500626e-16,4.440892098500626e-16,0.0,2.220446049250313e-16,-0.7198,0.1225,1.5148
28,4x4,True,4.440892098500626e-16,4.440892098500626e-16,0.0,1.116712874933088e-16,-0.6996,0.0503,1.5188
29,4x4,True,3.4489776103318745e-17,0.0,0.0,1.1102230246251565e-16,-0.6669,-0.0462,1.5211
30,4x4,True,3.3306690738754696e-16,3.3306690738754696e-16,0.0,2.220446049250313e-16,-0.6217,-0.1315,1.5259
31,4x4,True,1.1603937015296627e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,-0.5716,-0.1992,1.536
32,4x4,True,2.220446049250313e-16,2.220446049250313e-16,0.0,1.1823700536266514e-16,-0.5107,-0.2701,1.5495
33,4x4,True,3.3306690738754696e-16,3.3306690738754696e-16,0.0,2.220446049250313e-16,-0.4537,-0.3245,1.5563
34,4x4,True,5.551115123125783e-16,4.440892098500626e-16,0.0,2.220446049250313e-16,-0.3855,-0.3754,1.5527
35,4x4,True,4.440892098500626e-16,4.440892098500626e-16,0.0,1.6653345369377348e-16,-0.3207,-0.4186,1.5508
36,4x4,True,7.771561172376096e-16,8.881784197001252e-16,0.0,2.220446049250313e-16,-0.249,-0.4729,1.5604
37,4x4,True,5.551115123125783e-16,4.440892098500626e-16,0.0,2.220446049250313e-16,-0.1874,-0.5127,1.5779
38,4x4,True,6.661338147750939e-16,6.661338147750939e-16,0.0,2.220446049250313e-16,-0.127,-0.543,1.6087
39,4x4,True,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,-0.0619,-0.551,1.6235
40,4x4,True,4.440892098500626e-16,2.220446049250313e-16,0.0,4.440892098500626e-16,-0.0025,-0.5406,1.6287
41,4x4,True,2.220446049250313e-16,0.0,0.0,1.1102230246251565e-16,0.0687,-0.5213,1.6435
42,4x4,True,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,0.1137,-0.5123,1.6647
43,4x4,True,1.1102230246251565e-16,0.0,0.0,2.220446049250313e-16,0.1666,-0.5035,1.6902
44,4x4,True,1.1102230246251565e-16,0.0,0.0,2.220446049250313e-16,0.2103,-0.493,1.6934
45,4x4,True,2.220446049250313e-16,2.220446049250313e-16,0.0,5.551115123125783e-17,0.2783,-0.4783,1.6612
46,4x4,True,6.661338147750939e-16,4.440892098500626e-16,0.0,2.220446049250313e-16,0.3382,-0.4746,1.6293
47,4x4,True,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,0.4149,-0.4768,1.5921
