frame_index,file_path,exists,regular_file,decodable,width,height,channels,dtype,finite,min,max,mean,std,zero_pixel_ratio,all_zero,sha256,duplicate_content,near_black_descriptive
0,images/0000.png,True,True,True,640,480,3,uint8,True,1.0,254.0,117.007314453125,95.57395395493678,0.0,False,94afe78f6c0efac7e2f268392a8014c7f5da3b763524eb098cd44265dded94c2,False,not_thresholded
1,images/0001.png,True,True,True,640,480,3,uint8,True,1.0,254.0,116.68960503472222,92.27519624958568,0.0,False,8767a18e08120b9e6cb1c75244354b1d5c91efe0d8e7d2d04fd350f28df4120d,False,not_thresholded
2,images/0002.png,True,True,True,640,480,3,uint8,True,1.0,254.0,121.48015516493055,88.1498315651666,0.0,False,67f6cce0ae65e75d2eb6016c1a83b559116f955d83d047b7abf41ab1886ebed1,False,not_thresholded
3,images/0003.png,True,True,True,640,480,3,uint8,True,1.0,254.0,132.37215711805555,88.21772901286405,0.0,False,3600b6d2a7ec46ebeecfdd100c24fd01c51b7c66ed59b41aee1f6e6ab0425edb,False,not_thresholded
4,images/0004.png,True,True,True,640,480,3,uint8,True,1.0,254.0,135.16375651041668,89.41323323995924,0.0,False,113d89c13a1bd3afd3c2fa70438cfff1c2d4f982e0ac3d2224e30933182a71e9,False,not_thresholded
5,images/0005.png,True,True,True,640,480,3,uint8,True,1.0,254.0,140.96667209201388,86.40512014112927,0.0,False,fe1af1e3946b2a38e9c26f3da866658e4075613df72c24e89d2cbafd31c71ef7,False,not_thresholded
6,images/0006.png,True,True,True,640,480,3,uint8,True,1.0,254.0,145.95883897569445,83.26032160034156,0.0,False,3c9b8ae15ef77c1ce3578c3dd5c320251ebf97e271b23505fb0586dcbcb765bc,False,not_thresholded
7,images/0007.png,True,True,True,640,480,3,uint8,True,1.0,254.0,140.40340386284723,83.34339797764783,0.0,False,dfb60c1a56ba5bac6a657e089928a03bd1cd66ed65f3eeaa343f96f479f1fdba,False,not_thresholded
8,images/0008.png,True,True,True,640,480,3,uint8,True,1.0,254.0,128.2441286892361,84.80755340223955,0.0,False,df06c6a9c69ddd81e3c78af54eeb537feb63abc59085cfeca4e79a6faaff4517,False,not_thresholded
9,images/0009.png,True,True,True,640,480,3,uint8,True,1.0,254.0,107.92974609375,87.54593998214544,0.0,False,2323346af9ede78204d13216e1159a12f677fb002fe32ef550498f8b154bedf6,False,not_thresholded
10,images/0010.png,True,True,True,640,480,3,uint8,True,1.0,254.0,112.39178385416666,85.83982965775289,0.0,False,1643f4faf5f9df1eb92ce3f846cf1ab197114333745aca5179aebee264d569d5,False,not_thresholded
11,images/0011.png,True,True,True,640,480,3,uint8,True,1.0,254.0,111.59013780381945,83.96726033084555,0.0,False,7defac4b29282fdf09320065023573771dccd3b62306e3e25b66badb1903b172,False,not_thresholded
12,images/0012.png,True,True,True,640,480,3,uint8,True,1.0,254.0,104.23274956597223,83.56577813908176,0.0,False,06c0b7d5913e3ec18d2b59153dbb995ecba5709c1cfe1084bcf51e8ed0adb443,False,not_thresholded
13,images/0013.png,True,True,True,640,480,3,uint8,True,1.0,254.0,102.08425347222222,82.77261215660296,0.0,False,8719a624099ed66f9cc6dedfd39dba37c602d0f0ed7c7ae2fe6c6fc8683680a4,False,not_thresholded
14,images/0014.png,True,True,True,640,480,3,uint8,True,1.0,254.0,102.25607204861112,83.93756460981433,0.0,False,075e524b276baa6bc7d61a99696f7076580292525ad7acf2e90d20481408feaa,False,not_thresholded
15,images/0015.png,True,True,True,640,480,3,uint8,True,1.0,254.0,104.80536675347223,84.14347747960711,0.0,False,41e084c1c3064f80617dddb745517304d921fd32fdacd86807a4f2ed81e34fee,False,not_thresholded
16,images/0016.png,True,True,True,640,480,3,uint8,True,1.0,254.0,116.41428602430555,84.58711621204041,0.0,False,e18ac953a8d9fcf625c22cd472accfb1b0c9ea6be0126991b51de23093ddc13c,False,not_thresholded
17,images/0017.png,True,True,True,640,480,3,uint8,True,1.0,254.0,133.51078450520833,82.71499073760585,0.0,False,9ea70e233f5eb4255df4bee9c231fe371a705bbc02529fd9cd0f96d0592a7092,False,not_thresholded
18,images/0018.png,True,True,True,640,480,3,uint8,True,1.0,254.0,146.96518012152777,80.85405447894188,0.0,False,8c560c768a55ced46b4b610fc364462b966b3fb9901dd64da7dee55c2ac37350,False,not_thresholded
19,images/0019.png,True,True,True,640,480,3,uint8,True,1.0,254.0,147.38958658854168,81.14240089995566,0.0,False,c56b4291a7eaeeb81e160947d7a6d0697833e35f8533fa392cc0d7718155a222,False,not_thresholded
20,images/0020.png,True,True,True,640,480,3,uint8,True,1.0,254.0,126.45809353298611,80.42857474393709,0.0,False,b25900422fc165b673a416aad1abc3c4ab6d4c3b0beba70973ac822edf60a712,False,not_thresholded
21,images/0021.png,True,True,True,640,480,3,uint8,True,1.0,254.0,111.57248155381944,86.86678847023579,0.0,False,465e47d50dc578f9f9ef32dbad1ef5ac4e87aeeed57ac2ae5f8e8eb0c5299eb0,False,not_thresholded
22,images/0022.png,True,True,True,640,480,3,uint8,True,1.0,254.0,110.01268771701389,88.78577236958158,0.0,False,cb857de47fdb23fe5fae8622354186826b16ae00f653d739000f3ff6e17cc1d1,False,not_thresholded
23,images/0023.png,True,True,True,640,480,3,uint8,True,1.0,254.0,117.36143120659722,87.65052542502666,0.0,False,626b0f470084e3c56346745fd3a1261c271a434bd2d4ea81d895eff39d675d52,False,not_thresholded
24,images/0024.png,True,True,True,640,480,3,uint8,True,1.0,254.0,137.15439236111112,97.42677995326197,0.0,False,b327d88016ff61da77502395f96b863d0334068358baafcb007b7f9cbafc0522,False,not_thresholded
25,images/0025.png,True,True,True,640,480,3,uint8,True,1.0,254.0,138.8448361545139,95.77469249079893,0.0,False,67354b91cb1e79ba812f0dfbf214770437a4f2ef46de5d04e16c6e12cc5204d0,False,not_thresholded
26,images/0026.png,True,True,True,640,480,3,uint8,True,1.0,254.0,132.83088541666666,85.98411137746488,0.0,False,d56d65f093edaf8c19b7be640921953834d6ce223347234d9cba60d2ea0dedeb,False,not_thresholded
27,images/0027.png,True,True,True,640,480,3,uint8,True,1.0,254.0,138.1424338107639,85.39559458155716,0.0,False,104db354d915fbfd0bf8e68ca51a3551a395c9cdc9cea72db84690b8423159b4,False,not_thresholded
28,images/0028.png,True,True,True,640,480,3,uint8,True,1.0,254.0,134.7361480034722,84.868344566556,0.0,False,332cd9afc9cef9760dae3ca95e0a587f3759eca8bf841a26de83d0c3cdd69aec,False,not_thresholded
29,images/0029.png,True,True,True,640,480,3,uint8,True,1.0,254.0,129.11431315104167,84.23339063113295,0.0,False,cc0321aa543ff7eb833b03eedc9de59ffbba2e5b4b633fd8443366335b6d2df2,False,not_thresholded
30,images/0030.png,True,True,True,640,480,3,uint8,True,1.0,254.0,132.72697157118054,87.28961692581301,0.0,False,8c33f89ff2684ca5f22dea31b32e1c78811df2c609490fc20ff6b04be654a968,False,not_thresholded
31,images/0031.png,True,True,True,640,480,3,uint8,True,1.0,254.0,134.18423394097223,85.44531355826527,0.0,False,bd00557a9d1d4c3e002a45709454965baff689841971d5340b21340c7c29c656,False,not_thresholded
32,images/0032.png,True,True,True,640,480,3,uint8,True,1.0,254.0,133.9044314236111,85.08232943966593,0.0,False,fa13e4a08bb025a2d47b5c970f29bc4261b239353a15d15f41aebc6c10303dae,False,not_thresholded
33,images/0033.png,True,True,True,640,480,3,uint8,True,1.0,254.0,135.77953125,83.32704360558846,0.0,False,2ddcda262615514b200a69ac4296e946ec234ea51ddd9aaf1985a7a7e95745ca,False,not_thresholded
34,images/0034.png,True,True,True,640,480,3,uint8,True,1.0,254.0,136.59934244791665,84.32447029144156,0.0,False,81ab07249b9eb4cc9c46f3692a1ba3603f2ba20b0c3101311466a97d0576d64b,False,not_thresholded
35,images/0035.png,True,True,True,640,480,3,uint8,True,1.0,254.0,137.60517035590277,81.53537196765936,0.0,False,256f8af909631a9a17a52dcdd36281df7adc169fc08886e5b7fba9b8f67e55f4,False,not_thresholded
36,images/0036.png,True,True,True,640,480,3,uint8,True,1.0,254.0,128.85935438368057,76.24001622833231,0.0,False,d76530008a8393938510857dcdf9c679bdf8229c841967653443d52f349f21b9,False,not_thresholded
37,images/0037.png,True,True,True,640,480,3,uint8,True,1.0,254.0,146.1864887152778,81.90392053470701,0.0,False,f47b752fec7b8c5b2540e7649ed144e194e1af2ad14d0beef9820c0be8b81956,False,not_thresholded
38,images/0038.png,True,True,True,640,480,3,uint8,True,1.0,254.0,149.80478407118056,83.49874147569004,0.0,False,8501042e3da1652e1480896c17b2abe896d71c29f0da74b5ee3590a23413cf50,False,not_thresholded
39,images/0039.png,True,True,True,640,480,3,uint8,True,1.0,254.0,136.56750434027776,81.42667438399384,0.0,False,38633b1d8d8ae9d356a08cd30944bed5f38d167cbf0bb86836af75233125d51f,False,not_thresholded
40,images/0040.png,True,True,True,640,480,3,uint8,True,1.0,254.0,122.5925390625,75.96637763888701,0.0,False,dc8bf051731430c50d431b1d6f70a45ad297ab09b1b94b6beaff76d387591d0e,False,not_thresholded
