trial_id,cohort,reference_step0_action_xyz,replay_primary_candidate_xyz,source_type,provenance_lawful,C0_status,C0_reason,frozen_bounds,lower_excess_xyz,upper_excess_xyz,max_bound_excess,offending_component_count,terminal_selected,reference_progress,active_progress
5,FAILING,"[-0.10000000149011612,-0.10000000149011612,0.0031727957539260387]","[-0.10000000149011612,-0.10000000149011612,0.0031727957539260387]",PRIMARY_NATIVE_CBF_QP,true,FAIL,F_ACTUATOR_ADMISSIBILITY_LOCAL,"[-0.1,0.1]","[1.4901161138336505e-09,1.4901161138336505e-09,0.0]","[0.0,0.0,0.0]",1.4901161138336505e-09,2,true,0.29229643555702833,0.0
15,PASSING_CONTROL,"[-0.09999999403953552,-0.09999999403953552,0.009505603462457657]","[-0.09999999403953552,-0.09999999403953552,0.009505603462457657]",PRIMARY_NATIVE_CBF_QP,true,PASS,C0_PASS,"[-0.1,0.1]","[0.0,0.0,0.0]","[0.0,0.0,0.0]",0.0,0,false,0.2501585455242427,0.2501585455242427
25,FAILING,"[0.0621945783495903,-0.10000000149011612,0.015800148248672485]","[0.0621945783495903,-0.10000000149011612,0.015800148248672485]",PRIMARY_NATIVE_CBF_QP,true,FAIL,F_ACTUATOR_ADMISSIBILITY_LOCAL,"[-0.1,0.1]","[0.0,1.4901161138336505e-09,0.0]","[0.0,0.0,0.0]",1.4901161138336505e-09,1,true,0.8531383172495484,0.0
35,PASSING_CONTROL,"[0.09999999403953552,-0.09999999403953552,0.02203105203807354]","[0.09999999403953552,-0.09999999403953552,0.02203105203807354]",PRIMARY_NATIVE_CBF_QP,true,PASS,C0_PASS,"[-0.1,0.1]","[0.0,0.0,0.0]","[0.0,0.0,0.0]",0.0,0,false,0.06222099875154078,0.06222099875154078
45,FAILING,"[0.09999999403953552,-0.10000000149011612,0.028173254802823067]","[0.09999999403953552,-0.10000000149011612,0.028173254802823067]",PRIMARY_NATIVE_CBF_QP,true,FAIL,F_ACTUATOR_ADMISSIBILITY_LOCAL,"[-0.1,0.1]","[0.0,1.4901161138336505e-09,0.0]","[0.0,0.0,0.0]",1.4901161138336505e-09,1,true,0.06684994582707256,0.0
55,PASSING_CONTROL,"[0.09999997913837433,0.09999999403953552,0.03420202061533928]","[0.09999997913837433,0.09999999403953552,0.03420202061533928]",PRIMARY_NATIVE_CBF_QP,true,PASS,C0_PASS,"[-0.1,0.1]","[0.0,0.0,0.0]","[0.0,0.0,0.0]",0.0,0,false,0.052407540263956456,0.052407540263956456
65,PASSING_CONTROL,"[0.09999998658895493,0.09999997168779373,0.04009309038519859]","[0.09999998658895493,0.09999997168779373,0.04009309038519859]",PRIMARY_NATIVE_CBF_QP,true,PASS,C0_PASS,"[-0.1,0.1]","[0.0,0.0,0.0]","[0.0,0.0,0.0]",0.0,0,false,0.991212014659192,0.991212014659192
75,FAILING,"[-0.10000000149011612,0.09999999403953552,0.04582265391945839]","[-0.10000000149011612,0.09999999403953552,0.04582265391945839]",PRIMARY_NATIVE_CBF_QP,true,FAIL,F_ACTUATOR_ADMISSIBILITY_LOCAL,"[-0.1,0.1]","[1.4901161138336505e-09,0.0,0.0]","[0.0,0.0,0.0]",1.4901161138336505e-09,1,true,0.6139029556217381,0.0
85,FAILING,"[-0.10000000149011612,0.10000000149011612,0.051367729902267456]","[-0.10000000149011612,0.10000000149011612,0.051367729902267456]",PRIMARY_NATIVE_CBF_QP,true,FAIL,F_ACTUATOR_ADMISSIBILITY_LOCAL,"[-0.1,0.1]","[1.4901161138336505e-09,0.0,0.0]","[0.0,1.4901161138336505e-09,0.0]",1.4901161138336505e-09,2,true,0.21577868953147084,0.0
95,PASSING_CONTROL,"[-0.05750326067209244,0.0598207525908947,0.04720056802034378]","[-0.05750326067209244,0.0598207525908947,0.04720056802034378]",PRIMARY_NATIVE_CBF_QP,true,PASS,C0_PASS,"[-0.1,0.1]","[0.0,0.0,0.0]","[0.0,0.0,0.0]",0.0,0,false,0.002329376392926384,0.002329376392926384
