trial_id,delta_new,reference_progress,active_progress_new,terminal_rate,primary_rate,backup_rate,L3_fail_rate,longest_terminal_run,first_terminal_cycle,first_primary_cycle,L1_PASS,L1_FAIL,L1_UNKNOWN,C0_PASS,C0_FAIL,C0_UNKNOWN,L2_PASS,L2_FAIL,L2_UNKNOWN,L3_PASS,L3_FAIL,L3_UNKNOWN,top_L3_fail_reasons,arbitration_destination_counts,terminal_route_reasons,retained_backup_unavailable_reasons,backup_selected_reasons,boundary_count,boundary_reasons,deadline_warning_context_count,deadline_expired_context_count,EVIDENCE_SUPPORTED_MECHANISM_CLASS
12,-0.8343091919299211,0.8343091919299211,0.0,1.0,0.0,0.0,1.0,500,0,NOT_AVAILABLE,500,0,0,500,0,0,500,0,0,0,500,0,NOT_AVAILABLE,"[[""ELIGIBLE_CURRENT_CERTIFIED_TERMINAL_ACTION"",500]]","[[""ELIGIBLE_CURRENT_CERTIFIED_TERMINAL_ACTION"",500]]",NOT_AVAILABLE,[],0,NOT_AVAILABLE,0,0,EARLY_TERMINAL_LOCK_IN
97,-0.8294558439223783,0.8298380600431007,0.0003822161207223713,0.992,0.004,0.004,0.996,496,4,0,500,0,0,500,0,0,500,0,0,2,498,0,NOT_AVAILABLE,"[[""ELIGIBLE_CURRENT_CERTIFIED_TERMINAL_ACTION"",496],[""TIMELY_CERTIFIED_NAVIGATION_WITH_PREPARED_TOKEN"",2],[""STILL_VALID_RETAINED_BACKUP"",2]]","[[""ELIGIBLE_CURRENT_CERTIFIED_TERMINAL_ACTION"",496]]",NOT_AVAILABLE,"[[""STILL_VALID_RETAINED_BACKUP"",2]]",0,NOT_AVAILABLE,0,0,EARLY_TERMINAL_LOCK_IN
87,-0.637242873421451,0.637242873421451,0.0,1.0,0.0,0.0,1.0,500,0,NOT_AVAILABLE,500,0,0,500,0,0,500,0,0,0,500,0,NOT_AVAILABLE,"[[""ELIGIBLE_CURRENT_CERTIFIED_TERMINAL_ACTION"",500]]","[[""ELIGIBLE_CURRENT_CERTIFIED_TERMINAL_ACTION"",500]]",NOT_AVAILABLE,[],0,NOT_AVAILABLE,0,0,EARLY_TERMINAL_LOCK_IN
76,-0.6212661642660059,0.6212661642660059,0.0,1.0,0.0,0.0,1.0,500,0,NOT_AVAILABLE,500,0,0,500,0,0,500,0,0,0,500,0,NOT_AVAILABLE,"[[""ELIGIBLE_CURRENT_CERTIFIED_TERMINAL_ACTION"",500]]","[[""ELIGIBLE_CURRENT_CERTIFIED_TERMINAL_ACTION"",500]]",NOT_AVAILABLE,[],0,NOT_AVAILABLE,0,0,EARLY_TERMINAL_LOCK_IN
17,-0.32277050574166705,0.32277050574166705,0.0,1.0,0.0,0.0,1.0,500,0,NOT_AVAILABLE,500,0,0,500,0,0,500,0,0,0,500,0,NOT_AVAILABLE,"[[""ELIGIBLE_CURRENT_CERTIFIED_TERMINAL_ACTION"",500]]","[[""ELIGIBLE_CURRENT_CERTIFIED_TERMINAL_ACTION"",500]]",NOT_AVAILABLE,[],0,NOT_AVAILABLE,0,0,EARLY_TERMINAL_LOCK_IN
71,-0.2569286549156534,0.25731215375740696,0.00038349884175353473,0.996,0.002,0.002,0.998,498,2,0,500,0,0,500,0,0,500,0,0,1,499,0,NOT_AVAILABLE,"[[""ELIGIBLE_CURRENT_CERTIFIED_TERMINAL_ACTION"",498],[""TIMELY_CERTIFIED_NAVIGATION_WITH_PREPARED_TOKEN"",1],[""STILL_VALID_RETAINED_BACKUP"",1]]","[[""ELIGIBLE_CURRENT_CERTIFIED_TERMINAL_ACTION"",498]]",NOT_AVAILABLE,"[[""STILL_VALID_RETAINED_BACKUP"",1]]",0,NOT_AVAILABLE,0,0,EARLY_TERMINAL_LOCK_IN
77,-0.24269776744363417,0.2430217316728886,0.00032396422925441937,0.996,0.002,0.002,0.998,498,2,0,500,0,0,500,0,0,500,0,0,1,499,0,NOT_AVAILABLE,"[[""ELIGIBLE_CURRENT_CERTIFIED_TERMINAL_ACTION"",498],[""TIMELY_CERTIFIED_NAVIGATION_WITH_PREPARED_TOKEN"",1],[""STILL_VALID_RETAINED_BACKUP"",1]]","[[""ELIGIBLE_CURRENT_CERTIFIED_TERMINAL_ACTION"",498]]",NOT_AVAILABLE,"[[""STILL_VALID_RETAINED_BACKUP"",1]]",0,NOT_AVAILABLE,0,0,EARLY_TERMINAL_LOCK_IN
84,-0.21395248551740947,0.21395248551740947,0.0,1.0,0.0,0.0,1.0,500,0,NOT_AVAILABLE,500,0,0,500,0,0,500,0,0,0,500,0,NOT_AVAILABLE,"[[""ELIGIBLE_CURRENT_CERTIFIED_TERMINAL_ACTION"",500]]","[[""ELIGIBLE_CURRENT_CERTIFIED_TERMINAL_ACTION"",500]]",NOT_AVAILABLE,[],0,NOT_AVAILABLE,0,0,EARLY_TERMINAL_LOCK_IN
52,-0.08313199857229012,0.08313199857229012,0.0,1.0,0.0,0.0,1.0,500,0,NOT_AVAILABLE,500,0,0,500,0,0,500,0,0,0,500,0,NOT_AVAILABLE,"[[""ELIGIBLE_CURRENT_CERTIFIED_TERMINAL_ACTION"",500]]","[[""ELIGIBLE_CURRENT_CERTIFIED_TERMINAL_ACTION"",500]]",NOT_AVAILABLE,[],0,NOT_AVAILABLE,0,0,EARLY_TERMINAL_LOCK_IN
33,-0.06860032214891107,0.0690417805265892,0.00044145837767812563,0.996,0.002,0.002,0.998,498,2,0,500,0,0,500,0,0,500,0,0,1,499,0,NOT_AVAILABLE,"[[""ELIGIBLE_CURRENT_CERTIFIED_TERMINAL_ACTION"",498],[""TIMELY_CERTIFIED_NAVIGATION_WITH_PREPARED_TOKEN"",1],[""STILL_VALID_RETAINED_BACKUP"",1]]","[[""ELIGIBLE_CURRENT_CERTIFIED_TERMINAL_ACTION"",498]]",NOT_AVAILABLE,"[[""STILL_VALID_RETAINED_BACKUP"",1]]",0,NOT_AVAILABLE,0,0,EARLY_TERMINAL_LOCK_IN
