trial_id,delta_old,delta_new,delta_change,hard_old,hard_new,completed_cycles_old,completed_cycles_new,primary_count_old,primary_count_new,backup_count_old,backup_count_new,terminal_count_old,terminal_count_new,L3_fail_count_old,L3_fail_count_new,terminal_rate_change,primary_rate_change,L3_fail_rate_change
66,0.008354283463963275,-0.0025926858126030794,-0.010946969276566354,False,False,500,500,500,365,0,6,0,129,0,135,0.258,-0.27,0.27
74,0.028282013819140944,-0.02738283049280576,-0.0556648443119467,False,False,500,500,500,0,0,0,0,500,0,500,1.0,-1.0,1.0
9,0.04046570125207882,0.03006880397887346,-0.010396897273205363,False,False,500,500,494,361,6,14,0,125,0,139,0.25,-0.266,0.278
12,0.03037578232900029,-0.8343091919299211,-0.8646849742589214,False,False,500,500,500,0,0,0,0,500,0,500,1.0,-1.0,1.0
73,0.01804789910656842,0.008377234413753092,-0.009670664692815328,False,False,434,500,349,66,84,2,0,432,0,434,0.864,-0.672147465437788,0.868
26,0.5971614959787981,0.5901458804359108,-0.007015615542887321,False,False,500,500,500,411,0,14,0,75,0,88,0.15,-0.17800000000000005,0.176
79,0.06039546130610768,0.051611019257152904,-0.008784442048954774,False,False,500,500,471,146,29,25,0,329,0,354,0.658,-0.6499999999999999,0.708
31,0.05370110767897067,0.023466641890480408,-0.03023446578849026,False,False,500,500,435,85,65,11,0,404,0,415,0.808,-0.7,0.83
54,0.02903770275721665,0.007368337640302744,-0.021669365116913905,False,False,500,500,500,86,0,7,0,407,0,414,0.814,-0.8280000000000001,0.828
18,0.008172681920642244,0.008354598878956399,0.00018191695831415444,False,False,500,500,500,483,0,17,0,0,0,17,0.0,-0.03400000000000003,0.034
19,0.008291075966436856,0.006382576152529018,-0.001908499813907838,False,False,500,500,500,451,0,25,0,24,0,48,0.048,-0.09799999999999998,0.096
88,0.21051422498822447,0.1946949645998498,-0.015819260388374667,False,False,500,500,500,392,0,17,0,91,0,108,0.182,-0.21599999999999997,0.216
38,0.030626210493421777,0.023297265373874734,-0.007328945119547042,False,False,500,500,442,93,58,16,0,391,0,407,0.782,-0.698,0.814
8,0.03187482763332816,0.019527287802153293,-0.01234753983117487,False,False,500,500,500,353,0,5,0,142,0,146,0.284,-0.29400000000000004,0.292
28,0.0433778010729442,0.025587029736237166,-0.017790771336707034,True,False,500,500,499,171,1,3,0,326,0,329,0.652,-0.6559999999999999,0.658
29,0.027838463151737602,0.015181815078350869,-0.012656648073386734,False,False,500,500,500,174,0,3,0,323,0,326,0.646,-0.652,0.652
0,0.030334181236417623,0.02329191474111514,-0.007042266495302485,False,False,500,500,500,357,0,4,0,139,0,142,0.278,-0.28600000000000003,0.284
24,0.030193506577817664,0.017902974243859227,-0.012290532333958437,False,False,500,500,437,172,63,3,0,325,0,328,0.65,-0.53,0.656
37,0.03871601759390733,0.014565982308657077,-0.024150035285250254,False,False,500,500,500,58,0,3,0,439,0,442,0.878,-0.884,0.884
98,0.033259645716328556,0.025625148243509477,-0.0076344974728190795,False,False,500,500,500,354,0,11,0,135,0,146,0.27,-0.29200000000000004,0.292
27,0.0318537802102043,0.019350166240347688,-0.012503613969856608,False,False,500,500,500,144,0,3,0,353,0,356,0.706,-0.712,0.712
