trial_id,frozen_order_rank,historical_witness,active_progress_new,reference_progress,delta_new,hard_violation_new,min_hard_h_new,completed_cycles_new,primary_count_new,primary_rate_new,retained_backup_count_new,retained_backup_rate_new,terminal_count_new,terminal_rate_new,alternative_count_new,L3_pass_count_new,L3_fail_count_new,L3_fail_rate_new,deadline_open_new,deadline_warning_new,deadline_expired_new,first_primary_cycle,first_terminal_cycle,longest_primary_run,longest_terminal_run,number_primary_runs,number_terminal_runs,last_cycle_leaving_terminal,number_primary_to_terminal_transitions,number_terminal_to_primary_transitions,final_action_role,fraction_last_100_cycles_terminal,fraction_last_100_cycles_primary,terminal_fraction_first100,terminal_fraction_middle100,primary_fraction_first100,active_progress_old,delta_old,hard_violation_old,min_hard_h_old,completed_cycles_old,primary_count_old,retained_backup_count_old,terminal_count_old,L3_fail_count_old,primary_rate_old,backup_rate_old,terminal_rate_old,L3_fail_rate_old,active_progress_change_new_minus_old,delta_change_new_minus_old,primary_rate_change,backup_rate_change,terminal_rate_change,L3_fail_rate_change,hard_outcome_change,trace_complete,EVIDENCE_SUPPORTED_MECHANISM_CLASS
66,0,False,0.9890443752241739,0.991637061036777,-0.0025926858126030794,False,0.016743970105578886,500,365,0.73,6,0.012,129,0.258,0,365,135,0.27,2136,0,0,0,371,360,129,6,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,0.0,0.0,0.98,0.9999913445007402,0.008354283463963275,False,0.016732775116782637,500,500,0,0,0,1.0,0.0,0.0,0.0,-0.010946969276566354,-0.010946969276566354,-0.27,0.012,0.258,0.27,False->False,True,NO_CLEAR_ROUTING_MECHANISM
74,1,False,0.0,0.02738283049280576,-0.02738283049280576,False,0.04405208861709367,500,0,0.0,0,0.0,500,1.0,0,0,500,1.0,2501,0,0,NOT_AVAILABLE,0,0,500,0,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,1.0,1.0,0.0,0.0556648443119467,0.028282013819140944,False,2.3150924607050205e-07,500,500,0,0,0,1.0,0.0,0.0,0.0,-0.0556648443119467,-0.0556648443119467,-1.0,0.0,1.0,1.0,False->False,True,EARLY_TERMINAL_LOCK_IN
9,2,False,0.8308592221442056,0.8007904181653321,0.03006880397887346,False,0.003295308799321988,500,361,0.722,14,0.028,125,0.25,0,361,139,0.278,2140,0,0,0,375,328,125,14,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,0.0,0.0,1.0,0.841256119417411,0.04046570125207882,False,1.2041301133838502e-07,500,494,6,0,0,0.988,0.012,0.0,0.0,-0.010396897273205363,-0.010396897273205363,-0.266,0.016,0.25,0.278,False->False,True,NO_CLEAR_ROUTING_MECHANISM
12,3,False,0.0,0.8343091919299211,-0.8343091919299211,False,0.052005586746625906,500,0,0.0,0,0.0,500,1.0,0,0,500,1.0,2501,0,0,NOT_AVAILABLE,0,0,500,0,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,1.0,1.0,0.0,0.8646849742589214,0.03037578232900029,False,4.083865730817052e-05,500,500,0,0,0,1.0,0.0,0.0,0.0,-0.8646849742589214,-0.8646849742589214,-1.0,0.0,1.0,1.0,False->False,True,EARLY_TERMINAL_LOCK_IN
73,4,False,0.03954360774246239,0.0311663733287093,0.008377234413753092,False,0.008129018687114338,500,66,0.132,2,0.004,432,0.864,0,66,434,0.868,2435,0,0,0,68,65,432,2,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,0.32,1.0,0.66,0.04921427243527772,0.01804789910656842,False,8.503224714328771e-10,434,349,84,0,0,0.804147465437788,0.1935483870967742,0.0,0.0,-0.009670664692815328,-0.009670664692815328,-0.672147465437788,-0.18954838709677418,0.864,0.868,False->False,True,EARLY_TERMINAL_LOCK_IN
26,5,False,0.8801674223640462,0.2900215419281355,0.5901458804359108,False,0.0052181093516550136,500,411,0.822,14,0.028,75,0.15,0,412,88,0.176,2088,1,0,0,425,205,75,14,1,NOT_AVAILABLE,0,0,TERMINAL,0.75,0.18,0.0,0.0,0.97,0.8871830379069335,0.5971614959787981,False,2.2771585807269585e-05,500,500,0,0,0,1.0,0.0,0.0,0.0,-0.007015615542887321,-0.007015615542887321,-0.17800000000000005,0.028,0.15,0.176,False->False,True,NO_CLEAR_ROUTING_MECHANISM
79,6,False,0.06742509845109164,0.015814079193938735,0.051611019257152904,False,0.0007126015459250418,500,146,0.292,25,0.05,329,0.658,0,146,354,0.708,2355,0,0,0,171,65,329,22,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,0.0,1.0,0.91,0.07620954050004641,0.06039546130610768,False,6.2186588665895065e-12,500,471,29,0,0,0.942,0.058,0.0,0.0,-0.008784442048954774,-0.008784442048954774,-0.6499999999999999,-0.008,0.658,0.708,False->False,True,L3_FAIL_TERMINAL_DOMINANT
31,7,False,0.09727906244886869,0.07381242055838828,0.023466641890480408,False,0.006100616905709628,500,85,0.17,11,0.022,404,0.808,0,85,415,0.83,2416,0,0,0,96,65,404,9,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,0.04,1.0,0.85,0.12751352823735895,0.05370110767897067,False,1.4198821264418864e-10,500,435,65,0,0,0.87,0.13,0.0,0.0,-0.03023446578849026,-0.03023446578849026,-0.7,-0.10800000000000001,0.808,0.83,False->False,True,EARLY_TERMINAL_LOCK_IN
54,8,False,0.08126877555048541,0.07390043791018266,0.007368337640302744,False,0.007442958632062334,500,86,0.172,7,0.014,407,0.814,0,86,414,0.828,2415,0,0,0,93,81,407,6,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,0.07,1.0,0.86,0.10293814066739931,0.02903770275721665,False,4.5615732286563194e-08,500,500,0,0,0,1.0,0.0,0.0,0.0,-0.021669365116913905,-0.021669365116913905,-0.8280000000000001,0.014,0.814,0.828,False->False,True,EARLY_TERMINAL_LOCK_IN
18,9,False,0.9999910037618182,0.9916364048828618,0.008354598878956399,False,0.010126658943480159,500,483,0.966,17,0.034,0,0.0,0,483,17,0.034,2018,0,0,0,NOT_AVAILABLE,407,0,17,0,NOT_AVAILABLE,0,0,PRIMARY,0.0,0.83,0.0,0.0,1.0,0.999809086803504,0.008172681920642244,False,0.010126658943480159,500,500,0,0,0,1.0,0.0,0.0,0.0,0.00018191695831415444,0.00018191695831415444,-0.03400000000000003,0.034,0.0,0.034,False->False,True,NO_CLEAR_ROUTING_MECHANISM
19,10,False,0.99800810914064,0.991625532988111,0.006382576152529018,False,0.012836479130704745,500,451,0.902,25,0.05,24,0.048,0,452,48,0.096,2048,1,0,0,476,204,24,25,1,NOT_AVAILABLE,0,0,TERMINAL,0.24,0.54,0.0,0.0,1.0,0.9999166089545478,0.008291075966436856,False,0.012836479130704745,500,500,0,0,0,1.0,0.0,0.0,0.0,-0.001908499813907838,-0.001908499813907838,-0.09799999999999998,0.05,0.048,0.096,False->False,True,NO_CLEAR_ROUTING_MECHANISM
88,11,False,0.8271846424096364,0.6324896778097866,0.1946949645998498,False,0.003117952665637781,500,392,0.784,17,0.034,91,0.182,0,392,108,0.216,2109,0,0,0,409,363,91,17,1,NOT_AVAILABLE,0,0,TERMINAL,0.91,0.06,0.0,0.0,1.0,0.8430039027980111,0.21051422498822447,False,8.531121727834034e-05,500,500,0,0,0,1.0,0.0,0.0,0.0,-0.015819260388374667,-0.015819260388374667,-0.21599999999999997,0.034,0.182,0.216,False->False,True,NO_CLEAR_ROUTING_MECHANISM
38,12,False,0.08551071651257511,0.062213451138700374,0.023297265373874734,False,0.005696398834658525,500,93,0.186,16,0.032,391,0.782,0,93,407,0.814,2408,0,0,0,109,54,391,15,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,0.0,1.0,0.86,0.09283966163212215,0.030626210493421777,False,2.1212751084981852e-10,500,442,58,0,0,0.884,0.116,0.0,0.0,-0.007328945119547042,-0.007328945119547042,-0.698,-0.084,0.782,0.814,False->False,True,L3_FAIL_TERMINAL_DOMINANT
8,13,False,0.8417766742800713,0.822249386477918,0.019527287802153293,False,0.00547684251362948,500,353,0.706,5,0.01,142,0.284,0,354,146,0.292,2146,1,0,0,358,227,142,5,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,0.0,0.0,1.0,0.8541242141112462,0.03187482763332816,False,3.4881619132664996e-06,500,500,0,0,0,1.0,0.0,0.0,0.0,-0.01234753983117487,-0.01234753983117487,-0.29400000000000004,0.01,0.284,0.292,False->False,True,NO_CLEAR_ROUTING_MECHANISM
28,14,True,0.31281571308407624,0.2872286833478391,0.025587029736237166,False,0.004600098199430576,500,171,0.342,3,0.006,326,0.652,0,171,329,0.658,2330,0,0,0,174,153,326,2,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,0.0,1.0,1.0,0.3306064844207833,0.0433778010729442,True,-4.850638484626968e-10,500,499,1,0,0,0.998,0.002,0.0,0.0,-0.017790771336707034,-0.017790771336707034,-0.6559999999999999,0.004,0.652,0.658,True->False,True,L3_FAIL_TERMINAL_DOMINANT
29,15,False,0.32204016168629485,0.306858346607944,0.015181815078350869,False,0.009724769552786307,500,174,0.348,3,0.006,323,0.646,0,174,326,0.652,2327,0,0,0,177,173,323,2,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,0.0,1.0,1.0,0.3346968097596816,0.027838463151737602,False,5.448225767756831e-08,500,500,0,0,0,1.0,0.0,0.0,0.0,-0.012656648073386734,-0.012656648073386734,-0.652,0.006,0.646,0.652,False->False,True,L3_FAIL_TERMINAL_DOMINANT
0,16,False,0.8414098670037659,0.8181179522626507,0.02329191474111514,False,0.005382438650262552,500,357,0.714,4,0.008,139,0.278,0,358,142,0.284,2142,1,0,0,361,174,139,4,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,0.0,0.0,1.0,0.8484521334990683,0.030334181236417623,False,3.7291027961634655e-06,500,500,0,0,0,1.0,0.0,0.0,0.0,-0.007042266495302485,-0.007042266495302485,-0.28600000000000003,0.008,0.278,0.284,False->False,True,NO_CLEAR_ROUTING_MECHANISM
24,17,False,0.2783629273414494,0.2604599530975902,0.017902974243859227,False,0.008154410445120884,500,172,0.344,3,0.006,325,0.65,0,172,328,0.656,2329,0,0,0,175,167,325,3,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,0.0,1.0,1.0,0.29065345967540784,0.030193506577817664,False,9.298877450197495e-09,500,437,63,0,0,0.874,0.126,0.0,0.0,-0.012290532333958437,-0.012290532333958437,-0.53,-0.12,0.65,0.656,False->False,True,L3_FAIL_TERMINAL_DOMINANT
37,18,False,0.08184253035139355,0.06727654804273647,0.014565982308657077,False,0.012235716764559599,500,58,0.116,3,0.006,439,0.878,0,58,442,0.884,2443,0,0,0,61,55,439,2,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,0.39,1.0,0.58,0.1059925656366438,0.03871601759390733,False,6.499841386127525e-08,500,500,0,0,0,1.0,0.0,0.0,0.0,-0.024150035285250254,-0.024150035285250254,-0.884,0.006,0.878,0.884,False->False,True,EARLY_TERMINAL_LOCK_IN
98,19,False,0.8423238228280238,0.8166986745845143,0.025625148243509477,False,0.004288523996268931,500,354,0.708,11,0.022,135,0.27,0,354,146,0.292,2147,0,0,0,365,325,135,9,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,0.0,0.0,1.0,0.8499583203008428,0.033259645716328556,False,1.6031664670279294e-06,500,500,0,0,0,1.0,0.0,0.0,0.0,-0.0076344974728190795,-0.0076344974728190795,-0.29200000000000004,0.022,0.27,0.292,False->False,True,NO_CLEAR_ROUTING_MECHANISM
