rank,trial_id,delta_new,mean_without_trial_i_minus_full_mean
1,12,-0.8343091919299211,0.010144810621948785
2,97,-0.8294558439223783,0.010087032669478035
3,87,-0.637242873421451,0.007798783020657476
4,76,-0.6212661642660059,0.00760858410214027
5,17,-0.32277050574166705,0.0040550643578029025
6,71,-0.2569286549156534,0.003271232800350358
7,77,-0.24269776744363417,0.0031018174733025115
8,84,-0.21395248551740947,0.0027596117360855522
9,52,-0.08313199857229012,0.0012022249867388903
10,33,-0.06860032214891107,0.001029228838841524
11,56,-0.06124237657477836,0.0009416342486732732
12,57,-0.04511304319909211,0.0007496183751532007
13,60,-0.038190074971385525,0.0006672020867281234
14,74,-0.02738283049280576,0.0005385444143640762
15,81,-0.02465888301024314,0.0005061164681430946
16,66,-0.0025926858126030794,0.00024342364436166428
17,83,2.488825495391804e-06,0.00021252870819382652
18,92,0.005470568392280883,0.0001474325228749511
19,19,0.006382576152529018,0.0001365752876339027
20,72,0.007246012074822568,0.00012629628855898023
21,69,0.007328733998486714,0.0001253115037534551
22,54,0.007368337640302744,0.0001248400318270733
23,18,0.008354598878956399,0.00011309882660500564
24,73,0.008377234413753092,0.0001128293559526615
25,64,0.008679433016686056,0.00010923175353679329
26,16,0.008891492514247125,0.00010670723570868623
27,42,0.009284743805132847,0.0001020256727219497
28,23,0.009316208629953485,0.00010165109147408646
29,7,0.010775364682132915,8.428018609099933e-05
30,61,0.012333690417086644,6.572868924631381e-05
31,62,0.012450800448800377,6.433452220210023e-05
32,47,0.013763788340621044,4.8703713966140316e-05
33,48,0.013926835979758856,4.676267064307113e-05
34,37,0.014565982308657077,3.915378577523665e-05
35,29,0.015181815078350869,3.1822443278879675e-05
36,86,0.015337915082808434,2.996410989248091e-05
37,39,0.01586488777380192,2.3690625475893123e-05
38,2,0.016596776394647877,1.4977665703914955e-05
39,21,0.017594812988679764,3.096277679727477e-06
40,24,0.017902974243859227,-5.723086914585784e-07
41,82,0.018543877903029263,-8.202114157768864e-06
42,78,0.01906061592190953,-1.4353757239675413e-05
43,94,0.019066336635295944,-1.4421860970465633e-05
44,11,0.01920466763304718,-1.606865856274009e-05
45,27,0.019350166240347688,-1.7800784840128758e-05
46,80,0.019372768467353453,-1.8069858971150182e-05
47,8,0.019527287802153293,-1.990937486162636e-05
48,22,0.019755675259133743,-2.2628273159009532e-05
49,43,0.019780154234223815,-2.2919689529131426e-05
50,14,0.020647688116792184,-3.324747384542137e-05
51,44,0.021227514548124785,-4.0150169456524415e-05
52,0,0.02329191474111514,-6.472636223021563e-05
53,99,0.02329191474111514,-6.472636223021563e-05
54,38,0.023297265373874734,-6.47900602392601e-05
55,31,0.023466641890480408,-6.680644734170793e-05
56,36,0.023537404647465267,-6.764886111533877e-05
57,96,0.025107147370896477,-8.633627448951728e-05
58,34,0.02529950328649698,-8.862622586571639e-05
59,28,0.025587029736237166,-9.204915979119446e-05
60,98,0.025625148243509477,-9.250295154443824e-05
61,51,0.026920740587698708,-0.00010792666992764238
62,4,0.027654168781648614,-0.00011665795795085324
63,58,0.02781987769494379,-0.00011863068310913327
64,68,0.028246180660455367,-0.00012370571841284136
65,1,0.029109626359968777,-0.00013398483388323695
66,40,0.029676648655028948,-0.00014073509930061928
67,9,0.03006880397887346,-0.0001454036150606748
68,49,0.031153278092589318,-0.0001583140211763416
69,13,0.03204279714422417,-0.00016890353369580086
70,59,0.03274680499016753,-0.00017728457948084156
71,41,0.033693534914435844,-0.0001885551738173702
72,32,0.03522637503344546,-0.00020680327047224376
73,46,0.03752260443794132,-0.00023413933481148189
74,79,0.051611019257152904,-0.0004018585588497145
75,53,0.06181950334135437,-0.0005233881312806873
76,67,0.15867424170624655,-0.0016764207308627363
77,89,0.1875677748377197,-0.00202039136338027
78,88,0.1946949645998498,-0.0021052388605484855
79,93,0.2058043504253555,-0.00223749345370927
80,26,0.5901458804359108,-0.006812987858596832
81,91,0.5973469626762267,-0.0068987150281244036
82,6,0.6108787216297815,-0.007059807396619103
83,3,0.629899806708428,-0.0072862488856506105
84,20,0.6776097020426337,-0.00785422383010544
85,63,0.762229064744641,-0.008861597195605527
