pair,trial_id,exact_match,pairing_identity_match,left_step_count,right_step_count,first_divergence_field
SELF_A,0,True,True,318,318,
SELF_B,0,True,True,318,318,
SELF_A_VS_B,0,True,True,318,318,
SELF_C,0,True,True,318,318,
SELF_B_VS_C,0,True,True,318,318,
SELF_A_VS_C,0,True,True,318,318,
A_VS_B_TRIAL_000,0,True,True,318,318,
B_VS_C_TRIAL_000,0,True,True,318,318,
A_VS_C_TRIAL_000,0,True,True,318,318,
A_VS_B_TRIAL_024,24,True,True,148,148,
B_VS_C_TRIAL_024,24,True,True,148,148,
A_VS_C_TRIAL_024,24,True,True,148,148,
A_VS_B_TRIAL_049,49,True,True,43,43,
B_VS_C_TRIAL_049,49,True,True,43,43,
A_VS_C_TRIAL_049,49,True,True,43,43,
A_VS_B_TRIAL_074,74,True,True,27,27,
B_VS_C_TRIAL_074,74,True,True,27,27,
A_VS_C_TRIAL_074,74,True,True,27,27,
A_VS_B_TRIAL_099,99,True,True,318,318,
B_VS_C_TRIAL_099,99,True,True,318,318,
A_VS_C_TRIAL_099,99,True,True,318,318,
