trial,cohort,order,start_goal_source,seed,result_family
0,official100,0,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
1,official100,1,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
2,official100,2,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
3,official100,3,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
4,official100,4,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
5,official100,5,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
6,official100,6,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
7,official100,7,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
8,official100,8,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
9,official100,9,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
10,official100,10,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
11,official100,11,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
12,official100,12,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
13,official100,13,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
14,official100,14,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
15,official100,15,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
16,official100,16,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
17,official100,17,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
18,official100,18,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
19,official100,19,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
20,official100,20,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
21,official100,21,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
22,official100,22,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
23,official100,23,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
24,official100,24,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
25,official100,25,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
26,official100,26,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
27,official100,27,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
28,official100,28,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
29,official100,29,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
30,official100,30,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
31,official100,31,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
32,official100,32,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
33,official100,33,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
34,official100,34,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
35,official100,35,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
36,official100,36,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
37,official100,37,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
38,official100,38,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
39,official100,39,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
40,official100,40,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
41,official100,41,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
42,official100,42,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
43,official100,43,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
44,official100,44,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
45,official100,45,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
46,official100,46,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
47,official100,47,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
48,official100,48,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
49,official100,49,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
50,official100,50,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
51,official100,51,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
52,official100,52,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
53,official100,53,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
54,official100,54,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
55,official100,55,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
56,official100,56,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
57,official100,57,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
58,official100,58,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
59,official100,59,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
60,official100,60,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
61,official100,61,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
62,official100,62,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
63,official100,63,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
64,official100,64,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
65,official100,65,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
66,official100,66,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
