trial,cohort,source,trial_order,seed,original_or_post_repair,development_excluded
20,heldout_activated,work/risk_aware_cbf/results/v4c_hierarchical_heldout_activated_cohort/heldout_cohort_preregistration.csv,1,unresolved,post_repair_wrapper_context,true
27,heldout_activated,work/risk_aware_cbf/results/v4c_hierarchical_heldout_activated_cohort/heldout_cohort_preregistration.csv,2,unresolved,post_repair_wrapper_context,true
31,heldout_activated,work/risk_aware_cbf/results/v4c_hierarchical_heldout_activated_cohort/heldout_cohort_preregistration.csv,3,unresolved,post_repair_wrapper_context,true
32,heldout_activated,work/risk_aware_cbf/results/v4c_hierarchical_heldout_activated_cohort/heldout_cohort_preregistration.csv,4,unresolved,post_repair_wrapper_context,true
34,heldout_activated,work/risk_aware_cbf/results/v4c_hierarchical_heldout_activated_cohort/heldout_cohort_preregistration.csv,5,unresolved,post_repair_wrapper_context,true
35,heldout_activated,work/risk_aware_cbf/results/v4c_hierarchical_heldout_activated_cohort/heldout_cohort_preregistration.csv,6,unresolved,post_repair_wrapper_context,true
36,heldout_activated,work/risk_aware_cbf/results/v4c_hierarchical_heldout_activated_cohort/heldout_cohort_preregistration.csv,7,unresolved,post_repair_wrapper_context,true
37,heldout_activated,work/risk_aware_cbf/results/v4c_hierarchical_heldout_activated_cohort/heldout_cohort_preregistration.csv,8,unresolved,post_repair_wrapper_context,true
38,heldout_activated,work/risk_aware_cbf/results/v4c_hierarchical_heldout_activated_cohort/heldout_cohort_preregistration.csv,9,unresolved,post_repair_wrapper_context,true
59,heldout_activated,work/risk_aware_cbf/results/v4c_hierarchical_heldout_activated_cohort/heldout_cohort_preregistration.csv,10,unresolved,post_repair_wrapper_context,true
61,heldout_activated,work/risk_aware_cbf/results/v4c_hierarchical_heldout_activated_cohort/heldout_cohort_preregistration.csv,11,unresolved,post_repair_wrapper_context,true
71,heldout_activated,work/risk_aware_cbf/results/v4c_hierarchical_heldout_activated_cohort/heldout_cohort_preregistration.csv,12,unresolved,post_repair_wrapper_context,true
85,heldout_activated,work/risk_aware_cbf/results/v4c_hierarchical_heldout_activated_cohort/heldout_cohort_preregistration.csv,13,unresolved,post_repair_wrapper_context,true
86,heldout_activated,work/risk_aware_cbf/results/v4c_hierarchical_heldout_activated_cohort/heldout_cohort_preregistration.csv,14,unresolved,post_repair_wrapper_context,true
93,heldout_activated,work/risk_aware_cbf/results/v4c_hierarchical_heldout_activated_cohort/heldout_cohort_preregistration.csv,15,unresolved,post_repair_wrapper_context,true
94,heldout_activated,work/risk_aware_cbf/results/v4c_hierarchical_heldout_activated_cohort/heldout_cohort_preregistration.csv,16,unresolved,post_repair_wrapper_context,true
