execution_rank,trial_id,analysis_cohort,arm_1,arm_2,development_exposure,included_in_primary_85,included_in_all100_secondary
1,66,PRIMARY_FORMAL,REFERENCE_CBF_QP,ACTIVE_RUNTIME_V2,,True,True
2,74,PRIMARY_FORMAL,REFERENCE_CBF_QP,ACTIVE_RUNTIME_V2,,True,True
3,9,PRIMARY_FORMAL,ACTIVE_RUNTIME_V2,REFERENCE_CBF_QP,,True,True
4,12,PRIMARY_FORMAL,REFERENCE_CBF_QP,ACTIVE_RUNTIME_V2,,True,True
5,73,PRIMARY_FORMAL,ACTIVE_RUNTIME_V2,REFERENCE_CBF_QP,,True,True
6,26,PRIMARY_FORMAL,REFERENCE_CBF_QP,ACTIVE_RUNTIME_V2,,True,True
7,79,PRIMARY_FORMAL,ACTIVE_RUNTIME_V2,REFERENCE_CBF_QP,,True,True
8,31,PRIMARY_FORMAL,ACTIVE_RUNTIME_V2,REFERENCE_CBF_QP,,True,True
9,54,PRIMARY_FORMAL,REFERENCE_CBF_QP,ACTIVE_RUNTIME_V2,,True,True
10,18,PRIMARY_FORMAL,REFERENCE_CBF_QP,ACTIVE_RUNTIME_V2,,True,True
11,19,PRIMARY_FORMAL,ACTIVE_RUNTIME_V2,REFERENCE_CBF_QP,,True,True
12,88,PRIMARY_FORMAL,REFERENCE_CBF_QP,ACTIVE_RUNTIME_V2,,True,True
13,38,PRIMARY_FORMAL,REFERENCE_CBF_QP,ACTIVE_RUNTIME_V2,,True,True
14,8,PRIMARY_FORMAL,REFERENCE_CBF_QP,ACTIVE_RUNTIME_V2,,True,True
15,90,DEVELOPMENT_EXPOSED_SECONDARY,REFERENCE_CBF_QP,ACTIVE_RUNTIME_V2,PR99_LOGGING_PILOT,False,True
16,28,PRIMARY_FORMAL,REFERENCE_CBF_QP,ACTIVE_RUNTIME_V2,,True,True
17,29,PRIMARY_FORMAL,ACTIVE_RUNTIME_V2,REFERENCE_CBF_QP,,True,True
18,0,PRIMARY_FORMAL,REFERENCE_CBF_QP,ACTIVE_RUNTIME_V2,,True,True
19,24,PRIMARY_FORMAL,REFERENCE_CBF_QP,ACTIVE_RUNTIME_V2,,True,True
20,5,DEVELOPMENT_EXPOSED_SECONDARY,ACTIVE_RUNTIME_V2,REFERENCE_CBF_QP,ACTIVE_RUNTIME_PILOT_OR_DIAGNOSIS,False,True
21,37,PRIMARY_FORMAL,ACTIVE_RUNTIME_V2,REFERENCE_CBF_QP,,True,True
22,98,PRIMARY_FORMAL,REFERENCE_CBF_QP,ACTIVE_RUNTIME_V2,,True,True
23,27,PRIMARY_FORMAL,ACTIVE_RUNTIME_V2,REFERENCE_CBF_QP,,True,True
24,25,DEVELOPMENT_EXPOSED_SECONDARY,ACTIVE_RUNTIME_V2,REFERENCE_CBF_QP,ACTIVE_RUNTIME_PILOT_OR_DIAGNOSIS,False,True
25,91,PRIMARY_FORMAL,ACTIVE_RUNTIME_V2,REFERENCE_CBF_QP,,True,True
26,2,PRIMARY_FORMAL,REFERENCE_CBF_QP,ACTIVE_RUNTIME_V2,,True,True
27,78,PRIMARY_FORMAL,REFERENCE_CBF_QP,ACTIVE_RUNTIME_V2,,True,True
28,76,PRIMARY_FORMAL,REFERENCE_CBF_QP,ACTIVE_RUNTIME_V2,,True,True
29,80,PRIMARY_FORMAL,REFERENCE_CBF_QP,ACTIVE_RUNTIME_V2,,True,True
30,82,PRIMARY_FORMAL,REFERENCE_CBF_QP,ACTIVE_RUNTIME_V2,,True,True
31,99,PRIMARY_FORMAL,ACTIVE_RUNTIME_V2,REFERENCE_CBF_QP,,True,True
32,56,PRIMARY_FORMAL,REFERENCE_CBF_QP,ACTIVE_RUNTIME_V2,,True,True
33,21,PRIMARY_FORMAL,ACTIVE_RUNTIME_V2,REFERENCE_CBF_QP,,True,True
34,33,PRIMARY_FORMAL,ACTIVE_RUNTIME_V2,REFERENCE_CBF_QP,,True,True
35,44,PRIMARY_FORMAL,REFERENCE_CBF_QP,ACTIVE_RUNTIME_V2,,True,True
36,10,DEVELOPMENT_EXPOSED_SECONDARY,REFERENCE_CBF_QP,ACTIVE_RUNTIME_V2,PR99_LOGGING_PILOT,False,True
37,14,PRIMARY_FORMAL,REFERENCE_CBF_QP,ACTIVE_RUNTIME_V2,,True,True
38,16,PRIMARY_FORMAL,REFERENCE_CBF_QP,ACTIVE_RUNTIME_V2,,True,True
39,61,PRIMARY_FORMAL,ACTIVE_RUNTIME_V2,REFERENCE_CBF_QP,,True,True
40,23,PRIMARY_FORMAL,ACTIVE_RUNTIME_V2,REFERENCE_CBF_QP,,True,True
41,6,PRIMARY_FORMAL,REFERENCE_CBF_QP,ACTIVE_RUNTIME_V2,,True,True
42,96,PRIMARY_FORMAL,REFERENCE_CBF_QP,ACTIVE_RUNTIME_V2,,True,True
43,45,DEVELOPMENT_EXPOSED_SECONDARY,ACTIVE_RUNTIME_V2,REFERENCE_CBF_QP,ACTIVE_RUNTIME_PILOT_OR_DIAGNOSIS,False,True
44,50,DEVELOPMENT_EXPOSED_SECONDARY,REFERENCE_CBF_QP,ACTIVE_RUNTIME_V2,PR99_LOGGING_PILOT,False,True
