trial_id,process_exit_code,completed_cycles,plant_commits,primary_count,alternative_count,backup_count,terminal_count,boundary_count,qp_failures,finalization_status,termination_reason,first_cycle_action_role,FORBIDDEN_DIAGNOSTIC_AUTHORITY_EVENT_COUNT,hard_blocker
5,0,500,500,500,0,0,0,0,0,FINALIZED,MAX_COMPLETED_CYCLES,PRIMARY_NAVIGATION,0,
15,0,500,500,500,0,0,0,0,0,FINALIZED,MAX_COMPLETED_CYCLES,PRIMARY_NAVIGATION,0,
25,0,500,500,500,0,0,0,0,0,FINALIZED,MAX_COMPLETED_CYCLES,PRIMARY_NAVIGATION,0,
35,0,359,358,357,0,1,0,1,2,FINALIZED,ASSURANCE_BOUNDARY,PRIMARY_NAVIGATION,0,
45,0,500,500,500,0,0,0,0,0,FINALIZED,MAX_COMPLETED_CYCLES,PRIMARY_NAVIGATION,0,
55,0,500,500,500,0,0,0,0,0,FINALIZED,MAX_COMPLETED_CYCLES,PRIMARY_NAVIGATION,0,
65,0,500,500,500,0,0,0,0,0,FINALIZED,MAX_COMPLETED_CYCLES,PRIMARY_NAVIGATION,0,
75,0,500,500,492,0,8,0,0,0,FINALIZED,MAX_COMPLETED_CYCLES,PRIMARY_NAVIGATION,0,
85,0,500,500,500,0,0,0,0,0,FINALIZED,MAX_COMPLETED_CYCLES,PRIMARY_NAVIGATION,0,
95,0,500,500,500,0,0,0,0,0,FINALIZED,MAX_COMPLETED_CYCLES,PRIMARY_NAVIGATION,0,
