relative_path,size,sha256,retention
compact_blocked_task_aggregator_join_key_assumption_original/join_integrity.json,189,bbbde178c7d120576b1314c9801c06dbd8bc02731f20dde6e70b642e0f8f4127,SERVER_TASK_RECORD
compact_blocked_task_aggregator_join_key_assumption_original/pilot_anomalies.csv,70624,f05baff8a3128dc6e0e6c84555a43e783cb8e52e6768c9b51982ba4269b03045,SERVER_TASK_RECORD
compact_blocked_task_aggregator_join_key_assumption_original/pilot_overall_summary.json,1743,3e0896a616a0ea4521b73d129e3c81ff0cd7c3c795f1756a8c83a8b2db031292,SERVER_TASK_RECORD
compact_blocked_task_aggregator_join_key_assumption_original/pilot_per_trial_summary.csv,1886,67de6137c6b0ed20e13afded8d72af0247ed6a4904932befd51161d07ea353a5,SERVER_TASK_RECORD
compact_blocked_task_aggregator_join_key_assumption_original/raw_artifact_manifest.csv,8060,666d0970b31d1ed295d87f4c80e6e7e0987dfb08ce87655bed998db3f8822b46,SERVER_TASK_RECORD
compact_blocked_task_aggregator_join_key_assumption_original/sequence_integrity.json,289,40e2aee2710bb0f69dfad570c2f9ebd250604b350e798ff10afafff5eac9590a,SERVER_TASK_RECORD
pilot_c_trial010.stderr.log,20807,8c8eb76e0460c091893bd2e5010139eb5dcd9b9753dc06df9a1abc9444163eac,SERVER_ONLY_RAW
pilot_c_trial010.stdout.log,1465,4335e289ce7512fbf51a814a675cf16cb65249944b4829b1c71f1187ffaaf196,SERVER_ONLY_RAW
pilot_c_trial030.stderr.log,3547,5e77ded55cc8120e1ff89eb953757571eca0eb07ba49e48551d66240e42261a0,SERVER_ONLY_RAW
pilot_c_trial030.stdout.log,1464,421a1e3f61ee50664a0c9d4b3a41c1523db8c5dc997343e3ef6ce5927c437924,SERVER_ONLY_RAW
pilot_c_trial050.stderr.log,3319,82a69854af0efea07ec749dae35be2919612e94659d94283965b2d338ad5a5c6,SERVER_ONLY_RAW
pilot_c_trial050.stdout.log,1464,b424f897427d82e8ae3daf8417b3ebc36c2141f36596f95c33f0bf08daa36417,SERVER_ONLY_RAW
pilot_c_trial070.stderr.log,12168,4579001c4ebf62cfc65f1e537b8330cfea1b653226d1e63f6d2d9c2f871b449a,SERVER_ONLY_RAW
pilot_c_trial070.stdout.log,1465,7008f2bf13a1cdee1dd0e3430534132e39e78fda3f34b9d1eceb1f0b88925e83,SERVER_ONLY_RAW
pilot_c_trial090.stderr.log,19702,cea493a5704c142ec82ca0b177bfe30af23dae0e57243a35d7b5ec4a18b65606,SERVER_ONLY_RAW
pilot_c_trial090.stdout.log,1465,b4902a4a54a33fefd7afc951c8e771c960f7540c17566fbcc77e08cf8a718774,SERVER_ONLY_RAW
pilot_run_manifest.json,28346,401c570599f1abf93001ae87f9bb282cab17b21ef3c5c37132ad2aca9cd644f6,SERVER_TASK_RECORD
pipeline_result.json,181,918de4ccc59cc1f2e3cc635dc8a5a7ee94c4b7d0c706ae428a4c530cf370b38c,SERVER_TASK_RECORD
raw_runs/pilot_c_trial010/arm_activation.json,927,c3e268e324b08239eea3ac88c22555100f47471286b15974ed1dc1b74e5502f2,SERVER_ONLY_RAW
raw_runs/pilot_c_trial010/environment_identity.json,1128,28b46114267061b777b68469fa57918b9cf4c64ab8c438361e8e249d1792d1a2,SERVER_ONLY_RAW
raw_runs/pilot_c_trial010/instrumentation/instrumentation_health_log.jsonl,116060,8cff8a8f01622d890b2908f7b689911b291b66ec41c6b1b37f694210a4863d91,SERVER_ONLY_RAW
raw_runs/pilot_c_trial010/instrumentation/map_authority_manifest.json,983,7c19db927e0a59f20cbd1edb905076e75f12562e341d6ec56d291423a356f586,SERVER_ONLY_RAW
raw_runs/pilot_c_trial010/instrumentation/shadow_certificate_result_log.jsonl,325925,4c978322c0c94d393e7eb3ea532e7d8dff6276631fbcd11497ab704ca52881fa,SERVER_ONLY_RAW
raw_runs/pilot_c_trial010/instrumentation/step_capture_log.jsonl,605783,8e5ccbf8c2cc8a1f2239f4aaaee2d7009c4023091fb8912de183b89faedc9056,SERVER_ONLY_RAW
raw_runs/pilot_c_trial010/primary_trace.json,529178,8304945cd18315c83390cedae88c2cf9d19d3f741111c06ab1418f32737fe424,SERVER_ONLY_RAW
raw_runs/pilot_c_trial010/run_metadata.json,812,ba372e9345a4f1b91dd5b8f4fa4c45eaf6bef69f9d62aafda22f5fbdf9b00f6c,SERVER_ONLY_RAW
raw_runs/pilot_c_trial010/trajs/stonehenge_ball-to-ellipsoid.json,212546,16c0c0df3a2e01a7d6a0cd10cd941163ff4396f8455ac604f7421d0b88e702cc,SERVER_ONLY_RAW
raw_runs/pilot_c_trial030/arm_activation.json,922,0ad8722d902d92684880fa21eaf3b1ee3c873fb8efd4994fd512d93691d23188,SERVER_ONLY_RAW
raw_runs/pilot_c_trial030/environment_identity.json,1128,105f40005bc2b25b0e14dcb38756471041f79da8199537663010acb518ae83de,SERVER_ONLY_RAW
raw_runs/pilot_c_trial030/instrumentation/instrumentation_health_log.jsonl,19502,e5c2fb8d4e99a29bd8293cc383e686221a968dd8a3a0ca3e7c75d05018284797,SERVER_ONLY_RAW
raw_runs/pilot_c_trial030/instrumentation/map_authority_manifest.json,983,7c19db927e0a59f20cbd1edb905076e75f12562e341d6ec56d291423a356f586,SERVER_ONLY_RAW
raw_runs/pilot_c_trial030/instrumentation/shadow_certificate_result_log.jsonl,54891,b56c5bf699a42cd1d1462d8cf403e33988a0c92a2c12055ee67735c497b482cf,SERVER_ONLY_RAW
raw_runs/pilot_c_trial030/instrumentation/step_capture_log.jsonl,101844,ce7edb6e080ddbe85ec78ee55484c5b9f9bd990eeec86f36c0e79a5c96704e6c,SERVER_ONLY_RAW
raw_runs/pilot_c_trial030/primary_trace.json,89332,846d568b2350ee709827464843a5b402f45d6fb7642548b355bf135e3db23d12,SERVER_ONLY_RAW
raw_runs/pilot_c_trial030/run_metadata.json,811,873d1bfcb1b8b9828177f1b89e5efd3c7ce967a661f8cf218205f766b99c1faa,SERVER_ONLY_RAW
raw_runs/pilot_c_trial030/trajs/stonehenge_ball-to-ellipsoid.json,36510,210f980a2d9922ec23c603fdad14d9197ea732cd87efad499320ffabfeef9011,SERVER_ONLY_RAW
raw_runs/pilot_c_trial050/arm_activation.json,922,29291eb20e5e72e27a393ab8ea01195137671f3d055af97ce7a8afbf20b8eea4,SERVER_ONLY_RAW
raw_runs/pilot_c_trial050/environment_identity.json,1128,f0a0cd1431912269204e12e1cba7579999215c7206c322387f05ac11b615ad9b,SERVER_ONLY_RAW
raw_runs/pilot_c_trial050/instrumentation/instrumentation_health_log.jsonl,18140,dfce6b141334c949bde9722e745204d404f15a4494706786d6131d351856e8f8,SERVER_ONLY_RAW
raw_runs/pilot_c_trial050/instrumentation/map_authority_manifest.json,983,7c19db927e0a59f20cbd1edb905076e75f12562e341d6ec56d291423a356f586,SERVER_ONLY_RAW
raw_runs/pilot_c_trial050/instrumentation/shadow_certificate_result_log.jsonl,51060,29713b51236e3f12ea750c422d4ba2f3504d6c2c59a365c5a788d0f7db5aeec0,SERVER_ONLY_RAW
