trial_scope,source_run_id,trial_id,N_all,N_formal_replayable,N_diagnostic_reconstructable,N_not_replayable,N_L2_reached,N_L2_reachability_unknown,N_L2_candidate_evaluated,N_L2_PASS,N_L2_FAIL,N_L2_UNKNOWN,formal_replay_coverage
PR87_ACTIVATED_ONE_STEP|E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:00619bcd6efa2989828365795b5767914d3ce6dc3b13640afe0a650bb54be649,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:00619bcd6efa2989828365795b5767914d3ce6dc3b13640afe0a650bb54be649,1,1,0,0,0,1,0,0,0,0,1.0
PR87_ACTIVATED_ONE_STEP|E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:030d8f7ba9a25b1ee01f298345bcb252bc73e0f3d7a5be6a52276b0865322bf8,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:030d8f7ba9a25b1ee01f298345bcb252bc73e0f3d7a5be6a52276b0865322bf8,1,1,0,0,0,1,0,0,0,0,1.0
PR87_ACTIVATED_ONE_STEP|E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:038d30b3a02aa3ca571ab7e50dd7ace1b5f20da684cd1efa6d5a6fa33563b7e2,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:038d30b3a02aa3ca571ab7e50dd7ace1b5f20da684cd1efa6d5a6fa33563b7e2,1,0,0,1,0,1,0,0,0,0,0.0
PR87_ACTIVATED_ONE_STEP|E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:0475207cefabeedca698a4886b16c301551633249cdcbac6e743e7526a24206c,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:0475207cefabeedca698a4886b16c301551633249cdcbac6e743e7526a24206c,1,1,0,0,0,1,0,0,0,0,1.0
PR87_ACTIVATED_ONE_STEP|E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:049671f71eb8a96a1cf02247e3b5dd6c630c22568877111aa416af8b9274c2b9,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:049671f71eb8a96a1cf02247e3b5dd6c630c22568877111aa416af8b9274c2b9,1,1,0,0,0,1,0,0,0,0,1.0
PR87_ACTIVATED_ONE_STEP|E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:0531022292ad1eb4b8a1cf53466125c2f1e3433546e2c0f69bd3929c1229d155,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:0531022292ad1eb4b8a1cf53466125c2f1e3433546e2c0f69bd3929c1229d155,1,1,0,0,0,1,0,0,0,0,1.0
PR87_ACTIVATED_ONE_STEP|E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:05e57219769a6f097a56347ddcd2704a1c1ec1ce9bbae97c82588def134d7d84,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:05e57219769a6f097a56347ddcd2704a1c1ec1ce9bbae97c82588def134d7d84,1,1,0,0,0,1,0,0,0,0,1.0
PR87_ACTIVATED_ONE_STEP|E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:090f20070806b0ee4830ba74eae43aa72994d11814860d4bb1c009a7719046c5,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:090f20070806b0ee4830ba74eae43aa72994d11814860d4bb1c009a7719046c5,1,1,0,0,0,1,0,0,0,0,1.0
PR87_ACTIVATED_ONE_STEP|E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:0a95865821007d907aebd78fe5551942e16a57e4df1247db4cbea50934e02ed0,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:0a95865821007d907aebd78fe5551942e16a57e4df1247db4cbea50934e02ed0,1,1,0,0,0,1,0,0,0,0,1.0
PR87_ACTIVATED_ONE_STEP|E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:0b0544aba83188b6a3bd3f9781d4b361b24e0bc717f0404ecabbe5721459a4fa,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:0b0544aba83188b6a3bd3f9781d4b361b24e0bc717f0404ecabbe5721459a4fa,1,1,0,0,0,1,0,0,0,0,1.0
