path,role,sha256,size,row_count,source_universe_disposition,contributes_candidate_rows_to_N_all
reproduction/cross_dataset/resume_replica_gt_executable_safety_activated_benchmark_v1/benchmark/one_step_records.csv,PR87 activated and representative formal one-step records,c0aaa0ea77229b5b39418f3058f7719c6138fb282c230498c6074bd032210a88,2006535,1040,ACTIVATED_ROWS_INCLUDED; REPRESENTATIVE_ROWS_SUPERSEDED_BY_PR89,True
reproduction/cross_dataset/resume_replica_gt_executable_safety_activated_benchmark_v1/benchmark/rollout_records.csv,PR87 frozen rollout steps,6adfe9efa6f6d47e5fc926cb04c3f64b8a2789672bce9e8d01ec78c2c58d010f,1903410,3603,INCLUDED_AS_REAL_HISTORICAL_ROWS_WITH_MISSING_NUMERIC_CANDIDATE,True
reproduction/cross_dataset/core_v1_cross_environment_activation_portability_audit_v1/benchmark/one_step_records.csv,PR89 normalized formal one-step records,f5cf3ee84b16cba608476fcb236d6bf41b60674bde8c4ada99fac4b6176e8407,1887166,1440,ALL_ROWS_INCLUDED,True
reproduction/cross_dataset/core_v1_cross_environment_activation_portability_audit_v1/benchmark/natural_event_rollout_records.csv,PR89 natural-event output,7e67966c7e301e3a6ce4638f065ad9c7c6bce866a3169d28006d7a6a648ee4d4,147,0,EMPTY_SOURCE,False
reproduction/causal_audit/core_v1_representative_shortfall_causal_decomposition_v1/diagnostic_design/bounded_state_selection.csv,PR90 derived bounded diagnostic selection,6dc0ca3afdd2f70ea76987cc3a0118d605e659afd231255958440885ece706f5,25697,80,DERIVED_DUPLICATE_NO_NEW_TUPLE,False
reproduction/causal_audit/core_v1_representative_shortfall_causal_decomposition_v1/factor_f04_b1_timing/shadow_segment_records.csv,PR90 derived H1 formula endpoints,bc678c342f030ce6618066ab92552a5fba900bfd9ef8a3710e082a674f59ab55,46255,96,DIAGNOSTIC_DERIVED_DUPLICATE_NO_CANDIDATE_VECTOR,False
reproduction/causal_audit/core_v1_representative_shortfall_causal_decomposition_v1/factor_f06_b3_coverage/control_search_records.csv,PR90 bounded candidate-search aggregate,f271f232167457c898a70324ca9547e514b60c0be0f7f76b17f811c122de5717,24625,80,AGGREGATE_ONLY_NO_CANDIDATE_VECTORS,False
reproduction/shadow/l2_h1_shadow_certifier_v1/l2_h1_shadow_certifier.py,Frozen PR94 shadow implementation,5a613e1ea3887f387b7bcd23b72eee834803c41edb9c70361ec4bc64500c47d1,9358,,IMPLEMENTATION_AUTHORITY_NOT_SOURCE_ROW,False
reproduction/cross_dataset/core_v1_cross_environment_activation_portability_audit_v1/registry/E1_REPLICA_GT_FINE/representative_registry.json,E1_REPLICA_GT_FINE frozen state registry,d926cdc188f1d4e655f21a69202c15ca84d38651874d3758de82f014c0dafa50,266702,,JOIN_AUTHORITY_NOT_ADDITIONAL_ROWS,False
reproduction/cross_dataset/core_v1_cross_environment_activation_portability_audit_v1/registry/E5_STONEHENGE_SAFER/representative_registry.json,E5_STONEHENGE_SAFER frozen state registry,852b1d62d8aad882a886a74d962a09c11fd474add411de1f3ba563886577d5a6,144777,,JOIN_AUTHORITY_NOT_ADDITIONAL_ROWS,False
reproduction/cross_dataset/core_v1_cross_environment_activation_portability_audit_v1/registry/E6_FLIGHT_SAFER/representative_registry.json,E6_FLIGHT_SAFER frozen state registry,3c40db3213d372541173cdfd3d1bdd5e32daf189de7bc7a79a18030de59820ba,144509,,JOIN_AUTHORITY_NOT_ADDITIONAL_ROWS,False
