l1_source,stored_L1_status,replayed_L2_status,count
STORED_HISTORICAL,PASS,PASS,770
STORED_HISTORICAL,PASS,FAIL,18
STORED_HISTORICAL,PASS,UNKNOWN,0
STORED_HISTORICAL,PASS,NOT_ARCHITECTURE_REACHED,0
STORED_HISTORICAL,FAIL,PASS,0
STORED_HISTORICAL,FAIL,FAIL,0
STORED_HISTORICAL,FAIL,UNKNOWN,0
STORED_HISTORICAL,FAIL,NOT_ARCHITECTURE_REACHED,89
STORED_HISTORICAL,UNKNOWN,PASS,0
STORED_HISTORICAL,UNKNOWN,FAIL,0
STORED_HISTORICAL,UNKNOWN,UNKNOWN,0
STORED_HISTORICAL,UNKNOWN,NOT_ARCHITECTURE_REACHED,0
STORED_HISTORICAL,NOT_AVAILABLE,PASS,0
STORED_HISTORICAL,NOT_AVAILABLE,FAIL,0
STORED_HISTORICAL,NOT_AVAILABLE,UNKNOWN,0
STORED_HISTORICAL,NOT_AVAILABLE,NOT_ARCHITECTURE_REACHED,5795
STORED_HISTORICAL,NOT_REACHED,PASS,0
STORED_HISTORICAL,NOT_REACHED,FAIL,0
STORED_HISTORICAL,NOT_REACHED,UNKNOWN,0
STORED_HISTORICAL,NOT_REACHED,NOT_ARCHITECTURE_REACHED,181
