rule_id,source_phase,observation/result,deadline_requirement,candidate_requirement,retained_backup_requirement,runtime_event,runtime_route_lookup_path,destination,commit_flag,test_id,implemented
SA_SAFE,START_ADMISSION,INITIAL_SAFE,OPEN,NONE,NONE,INITIAL_SAFE,Supervisor.route_transition->TransitionTable.resolve,RUNTIME_CURRENT_ROLE,false,PC-RULE-SA_SAFE,yes
SA_REPAIR,START_ADMISSION,INITIAL_REPAIR_REQUIRED,OPEN,NONE,NONE,INITIAL_REPAIR_REQUIRED,Supervisor.route_transition->TransitionTable.resolve,REPAIR,false,PC-RULE-SA_REPAIR,yes
REPAIR_PASS,REPAIR,REPAIR_PASS,OPEN,NONE,NONE,REPAIR_PASS,Supervisor.route_transition->TransitionTable.resolve,RUNTIME_CURRENT_ROLE,false,PC-RULE-REPAIR_PASS,yes
REPAIR_FAIL,REPAIR,REPAIR_FAIL,ANY,NONE,NONE,REPAIR_FAIL,Supervisor.route_transition->TransitionTable.resolve,ASSURANCE_BOUNDARY,false,PC-RULE-REPAIR_FAIL,yes
REPAIR_UNKNOWN,REPAIR,REPAIR_UNKNOWN,ANY,NONE,NONE,REPAIR_UNKNOWN,Supervisor.route_transition->TransitionTable.resolve,ASSURANCE_BOUNDARY,false,PC-RULE-REPAIR_UNKNOWN,yes
R0_DIAGNOSTIC,RUNTIME_CURRENT_ROLE,R0_DIAGNOSTIC_COMPLETE,ANY,NONE,ANY,R0_DIAGNOSTIC_COMPLETE,Supervisor.route_transition->TransitionTable.resolve,L1,false,PC-RULE-R0_DIAGNOSTIC,yes
L1_PASS,L1,L1_PASS,OPEN,NONE,ANY,L1_PASS,Supervisor.route_transition->TransitionTable.resolve,PRIMARY_PROPOSAL,false,PC-RULE-L1_PASS,yes
L1_FAIL,L1,L1_FAIL,ANY,NONE,ANY,L1_FAIL,Supervisor.route_transition->TransitionTable.resolve,ARBITRATION,false,PC-RULE-L1_FAIL,yes
L1_UNKNOWN_GLOBAL,L1,L1_UNKNOWN_GLOBAL,ANY,NONE,ANY,L1_UNKNOWN_GLOBAL,Supervisor.route_transition->TransitionTable.resolve,ARBITRATION,false,PC-RULE-L1_UNKNOWN_GLOBAL,yes
L1_UNKNOWN_HEALTH,L1,L1_UNKNOWN_HEALTH,ANY,NONE,ANY,L1_UNKNOWN_HEALTH,Supervisor.route_transition->TransitionTable.resolve,ARBITRATION,false,PC-RULE-L1_UNKNOWN_HEALTH,yes
