check,passed,detail
protocol_file_exists,True,/disk1/zlab/cross_dataset_assets/manifests/replica_protocol_v1/REPLICA_FORMAL_RENDER_PROTOCOL_V1.md
scene_fixed,True,apartment_0
all_seeds_fixed,True,20260715
spatial_locations_fixed,True,100
yaw_order_fixed,True,0;-60;60
sensor_complete,True,protocol literals
height_fixed,True,1.50
navmesh_fixed,True,official_habitat_mesh_semantic.navmesh
pose_conversion_complete,True,matrix pair
formal_output_empty,True,/disk1/zlab/cross_dataset_assets/processed/replica/apartment_0.rendering
no_performance_parameters,True,protocol review
