candidate_id,variant_id,variant_name,steps_observed,natural_warning_steps,first_natural_warning_step,h1_warning_steps,h2_warning_steps,h3_warning_steps,slowdown_active_steps,first_slowdown_step,min_scale_applied,max_scale_applied,max_control_delta_from_slowdown,command_modified_only_when_warning,collision_observed,qp_infeasible_observed,completed,stop_reason,progress_proxy,u_nom_modified,u_safe_internal_modified,wrapper_exec_command_scaled,control_scope_passed,run_completed,notes
C003,A,current_policy,69,10,60,8,9,10,10,60,0.25,0.75,0.018518980592489243,True,False,False,False,stalled_before_goal,0.051808953285217285,False,False,True,True,True,Compact diagnostic run; progress_proxy is goal_distance_reduction only.
C003,B,milder_slowdown,70,11,60,9,10,11,11,60,0.5,0.75,0.010927820578217506,True,False,False,False,stalled_before_goal,0.052411824464797974,False,False,True,True,True,Compact diagnostic run; progress_proxy is goal_distance_reduction only.
C003,C,critical_only_slowdown,70,11,60,9,10,11,11,60,0.5,0.75,0.010927820578217506,True,False,False,False,stalled_before_goal,0.052411824464797974,False,False,True,True,True,Compact diagnostic run; progress_proxy is goal_distance_reduction only.
C004,A,current_policy,160,68,71,61,65,68,68,71,0.25,0.75,0.042157478630542755,True,False,False,False,max_steps,0.15519338846206665,False,False,True,True,True,Compact diagnostic run; progress_proxy is goal_distance_reduction only.
C004,B,milder_slowdown,160,64,71,58,61,64,64,71,0.5,0.75,0.022394590079784393,True,False,False,False,max_steps,0.15848422050476074,False,False,True,True,True,Compact diagnostic run; progress_proxy is goal_distance_reduction only.
C004,C,critical_only_slowdown,160,64,71,58,61,64,64,71,0.5,0.75,0.022394590079784393,True,False,False,False,max_steps,0.15848422050476074,False,False,True,True,True,Compact diagnostic run; progress_proxy is goal_distance_reduction only.
C002,A,current_policy,160,24,102,20,22,24,24,102,0.25,0.75,0.02343866601586342,True,False,False,False,max_steps,0.1938244104385376,False,False,True,True,True,Compact diagnostic run; progress_proxy is goal_distance_reduction only.
C002,B,milder_slowdown,160,34,102,30,32,34,34,102,0.5,0.75,0.011196774430572987,True,False,False,False,max_steps,0.19403699040412903,False,False,True,True,True,Compact diagnostic run; progress_proxy is goal_distance_reduction only.
C002,C,critical_only_slowdown,160,34,102,30,32,34,34,102,0.5,0.75,0.011196774430572987,True,False,False,False,max_steps,0.19403699040412903,False,False,True,True,True,Compact diagnostic run; progress_proxy is goal_distance_reduction only.
C001,A,current_policy,160,21,114,19,20,21,21,114,0.25,0.75,0.026452668011188507,True,False,False,False,max_steps,0.1819528341293335,False,False,True,True,True,Compact diagnostic run; progress_proxy is goal_distance_reduction only.
C001,B,milder_slowdown,160,32,114,30,31,32,32,114,0.5,0.75,0.011397704482078552,True,False,False,False,max_steps,0.1822555661201477,False,False,True,True,True,Compact diagnostic run; progress_proxy is goal_distance_reduction only.
C001,C,critical_only_slowdown,160,32,114,30,31,32,32,114,0.5,0.75,0.011397704482078552,True,False,False,False,max_steps,0.1822555661201477,False,False,True,True,True,Compact diagnostic run; progress_proxy is goal_distance_reduction only.
C006,A,current_policy,160,41,120,39,40,41,41,120,0.25,0.75,0.035835616290569305,True,False,False,False,max_steps,0.217196524143219,False,False,True,True,True,Compact diagnostic run; progress_proxy is goal_distance_reduction only.
C006,B,milder_slowdown,160,41,120,39,40,41,41,120,0.5,0.75,0.017710944637656212,True,False,False,False,max_steps,0.21617314219474792,False,False,True,True,True,Compact diagnostic run; progress_proxy is goal_distance_reduction only.
C006,C,critical_only_slowdown,160,41,120,39,40,41,41,120,0.5,0.75,0.017710944637656212,True,False,False,False,max_steps,0.21617314219474792,False,False,True,True,True,Compact diagnostic run; progress_proxy is goal_distance_reduction only.
