candidate_id,source_root,scene_root,checkpoint_path,checkpoint_format,camera_metadata_path,image_source_path,mesh_or_geometry_path,number_of_gaussians,file_size_bytes,coordinate_metadata,scale_metadata,license_or_source_metadata,reconstruction_pipeline,local_available,source_verified
local-projects-flight-8df17b26ea44,/disk1/zlab/projects,/disk1/zlab/projects/splatnav/data/flight,/disk1/zlab/projects/splatnav/data/flight/sparse_pc.ply,ply,/disk1/zlab/projects/splatnav/data/flight/transforms.json,/disk1/zlab/projects/splatnav/data/flight/images,,76069,2493417,true,false,false,unknown,true,false
local-projects-nerfstudio_models-9b3f91991ce7,/disk1/zlab/projects,/disk1/zlab/projects/splatnav/outputs/flight/splatfacto/2024-09-12_172434/nerfstudio_models,/disk1/zlab/projects/splatnav/outputs/flight/splatfacto/2024-09-12_172434/nerfstudio_models/step-000029999.ckpt,ckpt,,,,,209384530,false,false,false,unknown,true,false
local-projects-reproduction-64f30f9cd90e,/disk1/zlab/projects,/disk1/zlab/projects/splatnav/reproduction,/disk1/zlab/projects/splatnav/reproduction/flight_gsplat_tensors.pt,pt,,,,,21415488,false,false,false,unknown,true,false
local-datasets-flight-47bdd1f3cfb7,/disk1/zlab/datasets,/disk1/zlab/datasets/safer_splat_gdrive/data/flight,/disk1/zlab/datasets/safer_splat_gdrive/data/flight/sparse_pc.ply,ply,/disk1/zlab/datasets/safer_splat_gdrive/data/flight/transforms.json,/disk1/zlab/datasets/safer_splat_gdrive/data/flight/images,,76069,2493417,true,false,false,unknown,true,false
local-datasets-old_union2-4a63ecc11c94,/disk1/zlab/datasets,/disk1/zlab/datasets/safer_splat_gdrive/data/old_union2,/disk1/zlab/datasets/safer_splat_gdrive/data/old_union2/sparse_pc.ply,ply,/disk1/zlab/datasets/safer_splat_gdrive/data/old_union2/transforms.json,/disk1/zlab/datasets/safer_splat_gdrive/data/old_union2/images,,150434,6044314,true,false,false,unknown,true,false
local-datasets-statues-a600623f53f8,/disk1/zlab/datasets,/disk1/zlab/datasets/safer_splat_gdrive/data/statues,/disk1/zlab/datasets/safer_splat_gdrive/data/statues/sparse_pc.ply,ply,/disk1/zlab/datasets/safer_splat_gdrive/data/statues/transforms.json,/disk1/zlab/datasets/safer_splat_gdrive/data/statues/images,,74139,3200191,true,false,false,unknown,true,false
local-datasets-stonehenge-b3abcd126c83,/disk1/zlab/datasets,/disk1/zlab/datasets/safer_splat_gdrive/data/stonehenge,,,/disk1/zlab/datasets/safer_splat_gdrive/data/stonehenge/transforms.json,,,,164945,true,false,false,unknown,true,false
local-datasets-nerfstudio_models-24d8f718ea22,/disk1/zlab/datasets,/disk1/zlab/datasets/safer_splat_gdrive/outputs/flight/splatfacto/2024-09-12_172434/nerfstudio_models,/disk1/zlab/datasets/safer_splat_gdrive/outputs/flight/splatfacto/2024-09-12_172434/nerfstudio_models/step-000029999.ckpt,ckpt,,,,,209384530,false,false,false,unknown,true,false
local-datasets-nerfstudio_models-aa9211091955,/disk1/zlab/datasets,/disk1/zlab/datasets/safer_splat_gdrive/outputs/NeRFs/flight/nerfacto/2024-09-14_083406/nerfstudio_models,/disk1/zlab/datasets/safer_splat_gdrive/outputs/NeRFs/flight/nerfacto/2024-09-14_083406/nerfstudio_models/step-000029999.ckpt,ckpt,,,,,176151030,false,false,false,unknown,true,false
local-datasets-nerfstudio_models-14c01550d934,/disk1/zlab/datasets,/disk1/zlab/datasets/safer_splat_gdrive/outputs/NeRFs/old_union2/nerfacto/2024-09-12_203602/nerfstudio_models,/disk1/zlab/datasets/safer_splat_gdrive/outputs/NeRFs/old_union2/nerfacto/2024-09-12_203602/nerfstudio_models/step-000029999.ckpt,ckpt,,,,,176056182,false,false,false,unknown,true,false
local-datasets-nerfstudio_models-b68cce825153,/disk1/zlab/datasets,/disk1/zlab/datasets/safer_splat_gdrive/outputs/NeRFs/statues/nerfacto/2024-09-12_204832/nerfstudio_models,/disk1/zlab/datasets/safer_splat_gdrive/outputs/NeRFs/statues/nerfacto/2024-09-12_204832/nerfstudio_models/step-000029999.ckpt,ckpt,,,,,176080758,false,false,false,unknown,true,false
local-datasets-nerfstudio_models-aa4d3ea9943c,/disk1/zlab/datasets,/disk1/zlab/datasets/safer_splat_gdrive/outputs/NeRFs/stonehenge/nerfacto/2024-09-12_211002/nerfstudio_models,/disk1/zlab/datasets/safer_splat_gdrive/outputs/NeRFs/stonehenge/nerfacto/2024-09-12_211002/nerfstudio_models/step-000029999.ckpt,ckpt,,,,,176029302,false,false,false,unknown,true,false
local-datasets-nerfstudio_models-6a80d62112cc,/disk1/zlab/datasets,/disk1/zlab/datasets/safer_splat_gdrive/outputs/old_union2/splatfacto/2024-09-02_151414/nerfstudio_models,/disk1/zlab/datasets/safer_splat_gdrive/outputs/old_union2/splatfacto/2024-09-02_151414/nerfstudio_models/step-000029999.ckpt,ckpt,,,,,382120978,false,false,false,unknown,true,false
local-datasets-nerfstudio_models-0edc97290adb,/disk1/zlab/datasets,/disk1/zlab/datasets/safer_splat_gdrive/outputs/statues/splatfacto/2024-09-11_095852/nerfstudio_models,/disk1/zlab/datasets/safer_splat_gdrive/outputs/statues/splatfacto/2024-09-11_095852/nerfstudio_models/step-000029999.ckpt,ckpt,,,,,152623186,false,false,false,unknown,true,false
local-datasets-nerfstudio_models-062eb55fe2df,/disk1/zlab/datasets,/disk1/zlab/datasets/safer_splat_gdrive/outputs/stonehenge/splatfacto/2024-09-11_100724/nerfstudio_models,/disk1/zlab/datasets/safer_splat_gdrive/outputs/stonehenge/splatfacto/2024-09-11_100724/nerfstudio_models/step-000029999.ckpt,ckpt,,,,,92344786,false,false,false,unknown,true,false
