candidate_id,dataset_family,scene_name,source_provenance_confirmed,license_source_metadata_available,gsplat_checkpoint_locally_available,checkpoint_format_directly_parseable,camera_coordinate_metadata_available,metric_scale_available,navigable_free_space_volume_exists,static_scene,independent_geometry_available,different_dataset_family,different_reconstruction_pipeline,bounded_storage_compute_cost,selection_score,selection_rank,notes
reference-stonehenge,SAFER_reference,stonehenge,2,1,0,2,0,0,0,0,0,0,0,1,6,1,Score uses pre-execution metadata only.
local-desktop-点云图-6f48ecf071f2,unknown,点云图,0,0,2,0,0,0,0,0,2,0,0,1,5,2,Score uses pre-execution metadata only.
local-desktop-点云文件-f9778bd34b33,unknown,点云文件,0,0,2,0,0,0,0,0,2,0,0,1,5,3,Score uses pre-execution metadata only.
local-desktop-项目-b99e3bfdab2e,unknown,项目,0,0,2,0,0,0,0,0,2,0,0,1,5,4,Score uses pre-execution metadata only.
local-documents-flight-2fca8d681764,unknown,flight,0,0,2,0,1,0,0,0,0,0,0,1,4,5,Score uses pre-execution metadata only.
local-documents-1-0d9d23849f87,unknown,1,0,0,2,0,0,0,0,0,0,0,0,1,3,6,Score uses pre-execution metadata only.
local-documents-1-2d627a3931ed,unknown,1,0,0,2,0,0,0,0,0,0,0,0,1,3,7,Score uses pre-execution metadata only.
local-documents-1-2f96a95807fe,unknown,1,0,0,2,0,0,0,0,0,0,0,0,1,3,8,Score uses pre-execution metadata only.
local-documents-1-6bb54ddad3ba,unknown,1,0,0,2,0,0,0,0,0,0,0,0,1,3,9,Score uses pre-execution metadata only.
local-documents-10-55df4df3d030,unknown,10,0,0,2,0,0,0,0,0,0,0,0,1,3,10,Score uses pre-execution metadata only.
local-documents-10-c8ca8d765160,unknown,10,0,0,2,0,0,0,0,0,0,0,0,1,3,11,Score uses pre-execution metadata only.
local-documents-10-ec81c510ad2d,unknown,10,0,0,2,0,0,0,0,0,0,0,0,1,3,12,Score uses pre-execution metadata only.
local-documents-11-02b8b947e46a,unknown,11,0,0,2,0,0,0,0,0,0,0,0,1,3,13,Score uses pre-execution metadata only.
local-documents-11-974f56e099d4,unknown,11,0,0,2,0,0,0,0,0,0,0,0,1,3,14,Score uses pre-execution metadata only.
local-documents-11-ce47a5429d49,unknown,11,0,0,2,0,0,0,0,0,0,0,0,1,3,15,Score uses pre-execution metadata only.
local-documents-12-610018fa4ed4,unknown,12,0,0,2,0,0,0,0,0,0,0,0,1,3,16,Score uses pre-execution metadata only.
local-documents-12-827076148e25,unknown,12,0,0,2,0,0,0,0,0,0,0,0,1,3,17,Score uses pre-execution metadata only.
local-documents-12-fcf1720dd561,unknown,12,0,0,2,0,0,0,0,0,0,0,0,1,3,18,Score uses pre-execution metadata only.
local-desktop-12.16-598654db9d38,unknown,12.16,0,0,2,0,0,0,0,0,0,0,0,1,3,19,Score uses pre-execution metadata only.
local-documents-13-5ad27b7e9e15,unknown,13,0,0,2,0,0,0,0,0,0,0,0,1,3,20,Score uses pre-execution metadata only.
local-documents-13-d27f27ea8efe,unknown,13,0,0,2,0,0,0,0,0,0,0,0,1,3,21,Score uses pre-execution metadata only.
local-documents-13-d679f6dd23cb,unknown,13,0,0,2,0,0,0,0,0,0,0,0,1,3,22,Score uses pre-execution metadata only.
local-documents-14-5f69396d4f69,unknown,14,0,0,2,0,0,0,0,0,0,0,0,1,3,23,Score uses pre-execution metadata only.
local-documents-14-8d783d0a62a3,unknown,14,0,0,2,0,0,0,0,0,0,0,0,1,3,24,Score uses pre-execution metadata only.
local-documents-14-dbaeee7a01fc,unknown,14,0,0,2,0,0,0,0,0,0,0,0,1,3,25,Score uses pre-execution metadata only.
local-documents-15-4f5f41306b76,unknown,15,0,0,2,0,0,0,0,0,0,0,0,1,3,26,Score uses pre-execution metadata only.
local-documents-15-c34ee4aa647d,unknown,15,0,0,2,0,0,0,0,0,0,0,0,1,3,27,Score uses pre-execution metadata only.
local-documents-15-de7d7a076519,unknown,15,0,0,2,0,0,0,0,0,0,0,0,1,3,28,Score uses pre-execution metadata only.
local-documents-16-2389f2936147,unknown,16,0,0,2,0,0,0,0,0,0,0,0,1,3,29,Score uses pre-execution metadata only.
local-documents-16-e62765e288c3,unknown,16,0,0,2,0,0,0,0,0,0,0,0,1,3,30,Score uses pre-execution metadata only.
local-documents-16-e9e0c80e18bb,unknown,16,0,0,2,0,0,0,0,0,0,0,0,1,3,31,Score uses pre-execution metadata only.
local-documents-17-801d82993211,unknown,17,0,0,2,0,0,0,0,0,0,0,0,1,3,32,Score uses pre-execution metadata only.
local-documents-17-a8c760437ad2,unknown,17,0,0,2,0,0,0,0,0,0,0,0,1,3,33,Score uses pre-execution metadata only.
local-documents-17-d472f382959f,unknown,17,0,0,2,0,0,0,0,0,0,0,0,1,3,34,Score uses pre-execution metadata only.
local-documents-18-4a23d4bdc7b6,unknown,18,0,0,2,0,0,0,0,0,0,0,0,1,3,35,Score uses pre-execution metadata only.
local-documents-18-8d1087e66a6c,unknown,18,0,0,2,0,0,0,0,0,0,0,0,1,3,36,Score uses pre-execution metadata only.
local-documents-18-e477f6c85754,unknown,18,0,0,2,0,0,0,0,0,0,0,0,1,3,37,Score uses pre-execution metadata only.
local-documents-19-1b19c6678242,unknown,19,0,0,2,0,0,0,0,0,0,0,0,1,3,38,Score uses pre-execution metadata only.
local-documents-19-4e0a6c478a61,unknown,19,0,0,2,0,0,0,0,0,0,0,0,1,3,39,Score uses pre-execution metadata only.
local-documents-19-e056e6cc6d7a,unknown,19,0,0,2,0,0,0,0,0,0,0,0,1,3,40,Score uses pre-execution metadata only.
local-documents-2-3865c095c4d2,unknown,2,0,0,2,0,0,0,0,0,0,0,0,1,3,41,Score uses pre-execution metadata only.
local-documents-2-bed3fde002ad,unknown,2,0,0,2,0,0,0,0,0,0,0,0,1,3,42,Score uses pre-execution metadata only.
local-documents-2-c6f4e490653d,unknown,2,0,0,2,0,0,0,0,0,0,0,0,1,3,43,Score uses pre-execution metadata only.
local-documents-20-91814614b7b3,unknown,20,0,0,2,0,0,0,0,0,0,0,0,1,3,44,Score uses pre-execution metadata only.
local-documents-20-b8f87e1f81bb,unknown,20,0,0,2,0,0,0,0,0,0,0,0,1,3,45,Score uses pre-execution metadata only.
local-documents-20-f336c951faf1,unknown,20,0,0,2,0,0,0,0,0,0,0,0,1,3,46,Score uses pre-execution metadata only.
local-documents-2025-11-fa5405ea850c,unknown,2025-11,0,0,0,0,0,0,0,0,2,0,0,1,3,47,Score uses pre-execution metadata only.
local-documents-2026-01-7482a46378fb,unknown,2026-01,0,0,0,0,0,0,0,0,2,0,0,1,3,48,Score uses pre-execution metadata only.
local-documents-2026-03-544d3538c939,unknown,2026-03,0,0,2,0,0,0,0,0,0,0,0,1,3,49,Score uses pre-execution metadata only.
local-documents-2026-04-bae34836e412,unknown,2026-04,0,0,2,0,0,0,0,0,0,0,0,1,3,50,Score uses pre-execution metadata only.
local-documents-21-2c63a6b9e367,unknown,21,0,0,2,0,0,0,0,0,0,0,0,1,3,51,Score uses pre-execution metadata only.
local-documents-21-95ccfcfe0df9,unknown,21,0,0,2,0,0,0,0,0,0,0,0,1,3,52,Score uses pre-execution metadata only.
local-documents-21-ce1b7f7efe23,unknown,21,0,0,2,0,0,0,0,0,0,0,0,1,3,53,Score uses pre-execution metadata only.
local-documents-22-31b5fa45e7d5,unknown,22,0,0,2,0,0,0,0,0,0,0,0,1,3,54,Score uses pre-execution metadata only.
local-documents-22-80df6c3243b6,unknown,22,0,0,2,0,0,0,0,0,0,0,0,1,3,55,Score uses pre-execution metadata only.
local-documents-22-df1dd1c3a575,unknown,22,0,0,2,0,0,0,0,0,0,0,0,1,3,56,Score uses pre-execution metadata only.
local-documents-23-7581f63568fe,unknown,23,0,0,2,0,0,0,0,0,0,0,0,1,3,57,Score uses pre-execution metadata only.
local-documents-23-79ff7d8da097,unknown,23,0,0,2,0,0,0,0,0,0,0,0,1,3,58,Score uses pre-execution metadata only.
local-documents-23-b753399c2c76,unknown,23,0,0,2,0,0,0,0,0,0,0,0,1,3,59,Score uses pre-execution metadata only.
local-documents-24-c97f5d464abe,unknown,24,0,0,2,0,0,0,0,0,0,0,0,1,3,60,Score uses pre-execution metadata only.
local-documents-24-d74b8bc637fb,unknown,24,0,0,2,0,0,0,0,0,0,0,0,1,3,61,Score uses pre-execution metadata only.
local-documents-24-e60e9fe1f4b0,unknown,24,0,0,2,0,0,0,0,0,0,0,0,1,3,62,Score uses pre-execution metadata only.
local-documents-25-7d3e0afe9006,unknown,25,0,0,2,0,0,0,0,0,0,0,0,1,3,63,Score uses pre-execution metadata only.
local-documents-25-849a259a4209,unknown,25,0,0,2,0,0,0,0,0,0,0,0,1,3,64,Score uses pre-execution metadata only.
local-documents-25-dc5af4ca1185,unknown,25,0,0,2,0,0,0,0,0,0,0,0,1,3,65,Score uses pre-execution metadata only.
local-documents-26-0cbc491e7be0,unknown,26,0,0,2,0,0,0,0,0,0,0,0,1,3,66,Score uses pre-execution metadata only.
local-documents-26-1bd35664e36f,unknown,26,0,0,2,0,0,0,0,0,0,0,0,1,3,67,Score uses pre-execution metadata only.
local-documents-26-2d93ca93ed7c,unknown,26,0,0,2,0,0,0,0,0,0,0,0,1,3,68,Score uses pre-execution metadata only.
