candidate_id,dataset_family,scene_name,source_type,source_location,source_reference,source_verified,license_status,raw_images_available,camera_metadata_available,gsplat_checkpoint_available,mesh_or_geometry_available,metric_scale_available,reconstruction_pipeline_known,cross_scene,true_cross_dataset,cross_reconstruction,eligible_for_compatibility_audit,exclusion_reason,notes
local-projects-flight-8df17b26ea44,unknown,flight,unknown,/disk1/zlab/projects/splatnav/data/flight,,false,unknown,true,true,true,false,false,false,false,false,false,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-projects-nerfstudio_models-9b3f91991ce7,unknown,nerfstudio_models,unknown,/disk1/zlab/projects/splatnav/outputs/flight/splatfacto/2024-09-12_172434/nerfstudio_models,,false,unknown,false,false,true,false,false,false,false,false,false,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-projects-reproduction-64f30f9cd90e,unknown,reproduction,unknown,/disk1/zlab/projects/splatnav/reproduction,,false,unknown,false,false,true,false,false,false,false,false,false,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-datasets-flight-47bdd1f3cfb7,unknown,flight,unknown,/disk1/zlab/datasets/safer_splat_gdrive/data/flight,,false,unknown,true,true,true,false,false,false,false,false,false,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-datasets-old_union2-4a63ecc11c94,unknown,old_union2,unknown,/disk1/zlab/datasets/safer_splat_gdrive/data/old_union2,,false,unknown,true,true,true,false,false,false,false,false,false,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-datasets-statues-a600623f53f8,unknown,statues,unknown,/disk1/zlab/datasets/safer_splat_gdrive/data/statues,,false,unknown,true,true,true,false,false,false,false,false,false,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-datasets-stonehenge-b3abcd126c83,unknown,stonehenge,unknown,/disk1/zlab/datasets/safer_splat_gdrive/data/stonehenge,,false,unknown,false,true,false,false,false,false,false,false,false,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-datasets-nerfstudio_models-24d8f718ea22,unknown,nerfstudio_models,unknown,/disk1/zlab/datasets/safer_splat_gdrive/outputs/flight/splatfacto/2024-09-12_172434/nerfstudio_models,,false,unknown,false,false,true,false,false,false,false,false,false,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-datasets-nerfstudio_models-aa9211091955,unknown,nerfstudio_models,unknown,/disk1/zlab/datasets/safer_splat_gdrive/outputs/NeRFs/flight/nerfacto/2024-09-14_083406/nerfstudio_models,,false,unknown,false,false,true,false,false,false,false,false,false,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-datasets-nerfstudio_models-14c01550d934,unknown,nerfstudio_models,unknown,/disk1/zlab/datasets/safer_splat_gdrive/outputs/NeRFs/old_union2/nerfacto/2024-09-12_203602/nerfstudio_models,,false,unknown,false,false,true,false,false,false,false,false,false,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-datasets-nerfstudio_models-b68cce825153,unknown,nerfstudio_models,unknown,/disk1/zlab/datasets/safer_splat_gdrive/outputs/NeRFs/statues/nerfacto/2024-09-12_204832/nerfstudio_models,,false,unknown,false,false,true,false,false,false,false,false,false,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-datasets-nerfstudio_models-aa4d3ea9943c,unknown,nerfstudio_models,unknown,/disk1/zlab/datasets/safer_splat_gdrive/outputs/NeRFs/stonehenge/nerfacto/2024-09-12_211002/nerfstudio_models,,false,unknown,false,false,true,false,false,false,false,false,false,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-datasets-nerfstudio_models-6a80d62112cc,unknown,nerfstudio_models,unknown,/disk1/zlab/datasets/safer_splat_gdrive/outputs/old_union2/splatfacto/2024-09-02_151414/nerfstudio_models,,false,unknown,false,false,true,false,false,false,false,false,false,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-datasets-nerfstudio_models-0edc97290adb,unknown,nerfstudio_models,unknown,/disk1/zlab/datasets/safer_splat_gdrive/outputs/statues/splatfacto/2024-09-11_095852/nerfstudio_models,,false,unknown,false,false,true,false,false,false,false,false,false,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-datasets-nerfstudio_models-062eb55fe2df,unknown,nerfstudio_models,unknown,/disk1/zlab/datasets/safer_splat_gdrive/outputs/stonehenge/splatfacto/2024-09-11_100724/nerfstudio_models,,false,unknown,false,false,true,false,false,false,false,false,false,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
reference-stonehenge,SAFER_reference,stonehenge,original_safer_reference,/disk1/zlab/projects/safer-splat-cross-dataset-g0-g1/outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,reproduction/scripts/run_official_runpy_smoke.py::SCENES['stonehenge'],true,repository_reference,false,false,false,false,false,true,false,false,false,false,reference_checkpoint_not_locally_available,Tier-R parity reference only; it is excluded from cross-dataset counting.
