candidate_id,tier,dataset_family,scene_name,checkpoint_path,geometry_path,scale_source,coordinate_source,reconstruction_pipeline,selection_score,selection_rank,selected_for_g1,selection_reason,notes
local-documents-flight-2fca8d681764,Unclassified,unknown,flight,C:\Users\zlab\Documents\Codex\2026-06-09\files-mentioned-by-the-user-project\work\splatnav_flight_data\flight\sparse_pc.ply,,,local metadata,unknown,4,5,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-documents-nerfstudio_models-04f2eff5f427,Unclassified,unknown,nerfstudio_models,C:\Users\zlab\Documents\Codex\2026-06-09\files-mentioned-by-the-user-project\work\splatnav_flight_model\2024-09-12_172434\nerfstudio_models\step-000029999.ckpt,,,,unknown,3,136,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-documents-2025-11-fa5405ea850c,Unclassified,unknown,2025-11,,,,,unknown,3,47,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-documents-2026-01-7482a46378fb,Unclassified,unknown,2026-01,,,,,unknown,3,48,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-documents-2026-03-544d3538c939,Unclassified,unknown,2026-03,C:\Users\zlab\Documents\xwechat_files\wxid_gtwp5krch35n22_1c17\msg\file\2026-03\1111.ply,,,,unknown,3,49,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-documents-1-0d9d23849f87,Unclassified,unknown,1,C:\Users\zlab\Documents\xwechat_files\wxid_gtwp5krch35n22_1c17\msg\file\2026-03\1\PointCloud.ply,,,,unknown,3,6,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-documents-1-2d627a3931ed,Unclassified,unknown,1,C:\Users\zlab\Documents\xwechat_files\wxid_gtwp5krch35n22_1c17\msg\file\2026-03\1\1\PointCloud.ply,,,,unknown,3,7,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-documents-10-c8ca8d765160,Unclassified,unknown,10,C:\Users\zlab\Documents\xwechat_files\wxid_gtwp5krch35n22_1c17\msg\file\2026-03\1\10\PointCloud.ply,,,,unknown,3,11,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-documents-11-974f56e099d4,Unclassified,unknown,11,C:\Users\zlab\Documents\xwechat_files\wxid_gtwp5krch35n22_1c17\msg\file\2026-03\1\11\PointCloud.ply,,,,unknown,3,14,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-documents-12-827076148e25,Unclassified,unknown,12,C:\Users\zlab\Documents\xwechat_files\wxid_gtwp5krch35n22_1c17\msg\file\2026-03\1\12\PointCloud.ply,,,,unknown,3,17,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-documents-13-5ad27b7e9e15,Unclassified,unknown,13,C:\Users\zlab\Documents\xwechat_files\wxid_gtwp5krch35n22_1c17\msg\file\2026-03\1\13\PointCloud.ply,,,,unknown,3,20,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-documents-14-5f69396d4f69,Unclassified,unknown,14,C:\Users\zlab\Documents\xwechat_files\wxid_gtwp5krch35n22_1c17\msg\file\2026-03\1\14\PointCloud.ply,,,,unknown,3,23,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-documents-15-4f5f41306b76,Unclassified,unknown,15,C:\Users\zlab\Documents\xwechat_files\wxid_gtwp5krch35n22_1c17\msg\file\2026-03\1\15\PointCloud.ply,,,,unknown,3,26,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-documents-16-e9e0c80e18bb,Unclassified,unknown,16,C:\Users\zlab\Documents\xwechat_files\wxid_gtwp5krch35n22_1c17\msg\file\2026-03\1\16\PointCloud.ply,,,,unknown,3,31,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-documents-17-801d82993211,Unclassified,unknown,17,C:\Users\zlab\Documents\xwechat_files\wxid_gtwp5krch35n22_1c17\msg\file\2026-03\1\17\PointCloud.ply,,,,unknown,3,32,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-documents-18-e477f6c85754,Unclassified,unknown,18,C:\Users\zlab\Documents\xwechat_files\wxid_gtwp5krch35n22_1c17\msg\file\2026-03\1\18\PointCloud.ply,,,,unknown,3,37,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-documents-19-4e0a6c478a61,Unclassified,unknown,19,C:\Users\zlab\Documents\xwechat_files\wxid_gtwp5krch35n22_1c17\msg\file\2026-03\1\19\PointCloud.ply,,,,unknown,3,39,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-documents-2-3865c095c4d2,Unclassified,unknown,2,C:\Users\zlab\Documents\xwechat_files\wxid_gtwp5krch35n22_1c17\msg\file\2026-03\1\2\PointCloud.ply,,,,unknown,3,41,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-documents-20-91814614b7b3,Unclassified,unknown,20,C:\Users\zlab\Documents\xwechat_files\wxid_gtwp5krch35n22_1c17\msg\file\2026-03\1\20\PointCloud.ply,,,,unknown,3,44,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-documents-21-ce1b7f7efe23,Unclassified,unknown,21,C:\Users\zlab\Documents\xwechat_files\wxid_gtwp5krch35n22_1c17\msg\file\2026-03\1\21\PointCloud.ply,,,,unknown,3,53,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-documents-22-df1dd1c3a575,Unclassified,unknown,22,C:\Users\zlab\Documents\xwechat_files\wxid_gtwp5krch35n22_1c17\msg\file\2026-03\1\22\PointCloud.ply,,,,unknown,3,56,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-documents-23-b753399c2c76,Unclassified,unknown,23,C:\Users\zlab\Documents\xwechat_files\wxid_gtwp5krch35n22_1c17\msg\file\2026-03\1\23\PointCloud.ply,,,,unknown,3,59,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-documents-24-c97f5d464abe,Unclassified,unknown,24,C:\Users\zlab\Documents\xwechat_files\wxid_gtwp5krch35n22_1c17\msg\file\2026-03\1\24\PointCloud.ply,,,,unknown,3,60,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-documents-25-7d3e0afe9006,Unclassified,unknown,25,C:\Users\zlab\Documents\xwechat_files\wxid_gtwp5krch35n22_1c17\msg\file\2026-03\1\25\PointCloud.ply,,,,unknown,3,63,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-documents-26-1bd35664e36f,Unclassified,unknown,26,C:\Users\zlab\Documents\xwechat_files\wxid_gtwp5krch35n22_1c17\msg\file\2026-03\1\26\PointCloud.ply,,,,unknown,3,67,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-documents-27-672b47aefdac,Unclassified,unknown,27,C:\Users\zlab\Documents\xwechat_files\wxid_gtwp5krch35n22_1c17\msg\file\2026-03\1\27\PointCloud.ply,,,,unknown,3,70,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-documents-28-8c0ad59f4500,Unclassified,unknown,28,C:\Users\zlab\Documents\xwechat_files\wxid_gtwp5krch35n22_1c17\msg\file\2026-03\1\28\PointCloud.ply,,,,unknown,3,73,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-documents-29-40f513f4e77d,Unclassified,unknown,29,C:\Users\zlab\Documents\xwechat_files\wxid_gtwp5krch35n22_1c17\msg\file\2026-03\1\29\PointCloud.ply,,,,unknown,3,77,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-documents-3-2f5b7219eaba,Unclassified,unknown,3,C:\Users\zlab\Documents\xwechat_files\wxid_gtwp5krch35n22_1c17\msg\file\2026-03\1\3\PointCloud.ply,,,,unknown,3,79,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-documents-30-259e3a74ea60,Unclassified,unknown,30,C:\Users\zlab\Documents\xwechat_files\wxid_gtwp5krch35n22_1c17\msg\file\2026-03\1\30\PointCloud.ply,,,,unknown,3,81,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-documents-31-54e62481addc,Unclassified,unknown,31,C:\Users\zlab\Documents\xwechat_files\wxid_gtwp5krch35n22_1c17\msg\file\2026-03\1\31\PointCloud.ply,,,,unknown,3,84,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-documents-32-a7dc82fd5cc7,Unclassified,unknown,32,C:\Users\zlab\Documents\xwechat_files\wxid_gtwp5krch35n22_1c17\msg\file\2026-03\1\32\PointCloud.ply,,,,unknown,3,89,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-documents-33-9fe30f74bf8d,Unclassified,unknown,33,C:\Users\zlab\Documents\xwechat_files\wxid_gtwp5krch35n22_1c17\msg\file\2026-03\1\33\PointCloud.ply,,,,unknown,3,92,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-documents-34-6bd9fe4a8b4a,Unclassified,unknown,34,C:\Users\zlab\Documents\xwechat_files\wxid_gtwp5krch35n22_1c17\msg\file\2026-03\1\34\PointCloud.ply,,,,unknown,3,94,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-documents-35-39f058762f27,Unclassified,unknown,35,C:\Users\zlab\Documents\xwechat_files\wxid_gtwp5krch35n22_1c17\msg\file\2026-03\1\35\PointCloud.ply,,,,unknown,3,97,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-documents-36-a669b942f925,Unclassified,unknown,36,C:\Users\zlab\Documents\xwechat_files\wxid_gtwp5krch35n22_1c17\msg\file\2026-03\1\36\PointCloud.ply,,,,unknown,3,101,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-documents-37-39be977889ae,Unclassified,unknown,37,C:\Users\zlab\Documents\xwechat_files\wxid_gtwp5krch35n22_1c17\msg\file\2026-03\1\37\PointCloud.ply,,,,unknown,3,102,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-documents-38-4cd12b8ae88f,Unclassified,unknown,38,C:\Users\zlab\Documents\xwechat_files\wxid_gtwp5krch35n22_1c17\msg\file\2026-03\1\38\PointCloud.ply,,,,unknown,3,106,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-documents-39-cf4fccd5f972,Unclassified,unknown,39,C:\Users\zlab\Documents\xwechat_files\wxid_gtwp5krch35n22_1c17\msg\file\2026-03\1\39\PointCloud.ply,,,,unknown,3,110,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-documents-4-1854cb8f11ce,Unclassified,unknown,4,C:\Users\zlab\Documents\xwechat_files\wxid_gtwp5krch35n22_1c17\msg\file\2026-03\1\4\PointCloud.ply,,,,unknown,3,111,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-documents-40-2fe42a19a7a9,Unclassified,unknown,40,C:\Users\zlab\Documents\xwechat_files\wxid_gtwp5krch35n22_1c17\msg\file\2026-03\1\40\PointCloud.ply,,,,unknown,3,114,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-documents-5-8c44ea435878,Unclassified,unknown,5,C:\Users\zlab\Documents\xwechat_files\wxid_gtwp5krch35n22_1c17\msg\file\2026-03\1\5\PointCloud.ply,,,,unknown,3,117,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-documents-6-ab77086eea32,Unclassified,unknown,6,C:\Users\zlab\Documents\xwechat_files\wxid_gtwp5krch35n22_1c17\msg\file\2026-03\1\6\PointCloud.ply,,,,unknown,3,121,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-documents-7-3e925dba2bde,Unclassified,unknown,7,C:\Users\zlab\Documents\xwechat_files\wxid_gtwp5krch35n22_1c17\msg\file\2026-03\1\7\PointCloud.ply,,,,unknown,3,123,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-documents-8-ac2aa700be74,Unclassified,unknown,8,C:\Users\zlab\Documents\xwechat_files\wxid_gtwp5krch35n22_1c17\msg\file\2026-03\1\8\PointCloud.ply,,,,unknown,3,128,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-documents-9-7ee40cf180c8,Unclassified,unknown,9,C:\Users\zlab\Documents\xwechat_files\wxid_gtwp5krch35n22_1c17\msg\file\2026-03\1\9\PointCloud.ply,,,,unknown,3,129,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-documents-new folder-a54af00d93a4,Unclassified,unknown,New Folder,C:\Users\zlab\Documents\xwechat_files\wxid_gtwp5krch35n22_1c17\msg\file\2026-03\2\New Folder\PointCloud.ply,,,,unknown,3,138,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-documents-new folder10-6019ab86099d,Unclassified,unknown,New Folder10,C:\Users\zlab\Documents\xwechat_files\wxid_gtwp5krch35n22_1c17\msg\file\2026-03\2\New Folder10\PointCloud.ply,,,,unknown,3,140,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
local-documents-new folder100-fb1272a4756a,Unclassified,unknown,New Folder100,C:\Users\zlab\Documents\xwechat_files\wxid_gtwp5krch35n22_1c17\msg\file\2026-03\2\New Folder100\PointCloud.ply,,,,unknown,3,142,false,source_or_checkpoint_provenance_unverified,Discovered by local filename inventory only; directory naming is not provenance evidence.
