activation_index,trajectory_step,original_h3_feasible_count,gtep_candidate_count,gtep_feasible_count,best_min_h,selected_min_h,h_improvement_vs_original_best,primitive_family,unique_tangential_feasible_context,goal_progress_proxy,normal_control_component,tangential_control_component,velocity_toward_component,critical_gaussian_hash,predicted_collision,state_isolation_passed
1,1,0,22,0,0.00036034989170730114,0.00036034989170730114,0.0,gtep_p3_side_plus_n0.025_t0.1,False,-0.013188488781452179,0.02500000223517418,0.10000000894069672,0.0,bc4bf6ec57ece38e,False,True
2,2,0,22,0,0.0003609384875744581,0.0003609384875744581,0.0,gtep_p3_side_plus_n0.025_t0.05,False,-0.013188490644097328,0.02500000037252903,0.05000000447034836,0.0,bc4bf6ec57ece38e,False,True
3,3,0,22,0,0.0003620629431679845,0.0003620629431679845,0.0,gtep_p3_side_plus_n0.025_t0.05,False,-0.013188296929001808,0.02500000223517418,0.05000000074505806,0.0,bc4bf6ec57ece38e,False,True
4,4,0,22,0,0.00036371638998389244,0.00036371638998389244,0.0,gtep_p3_side_plus_n0.025_t0.05,False,-0.01318906620144844,0.02500000037252903,0.05000000074505806,0.0,bc4bf6ec57ece38e,False,True
5,5,0,22,0,0.0003657367778941989,0.0003657367778941989,0.0,gtep_p3_side_plus_n0.025_t0.05,False,-0.013190753757953644,0.02500000223517418,0.04999999701976776,0.0,bc4bf6ec57ece38e,False,True
6,6,0,22,0,0.00036800175439566374,0.00036800175439566374,0.0,gtep_p3_side_plus_n0.025_t0.05,False,-0.013192982412874699,0.02500000223517418,0.05000000074505806,0.0,bc4bf6ec57ece38e,False,True
7,7,0,22,0,0.0003687500720843673,0.0003687500720843673,0.0,gtep_p3_side_plus_n0.025_t0.05,False,-0.013195112347602844,0.02499999850988388,0.05000000074505806,0.0,bc4bf6ec57ece38e,False,True
8,8,0,22,0,0.0003705050330609083,0.0003705050330609083,0.0,gtep_p3_side_plus_n0.025_t0.05,False,-0.0131933419033885,0.02500000037252903,0.05000000819563866,0.0,bc4bf6ec57ece38e,False,True
9,9,0,22,0,0.0003733419580385089,0.0003733419580385089,0.0,gtep_p3_side_plus_n0.025_t0.05,False,-0.013189896941184998,0.02500000037252903,0.05000000819563866,0.0,bc4bf6ec57ece38e,False,True
10,10,0,22,0,0.00037559191696345806,0.00037559191696345806,0.0,gtep_p3_side_plus_n0.025_t0.05,False,-0.013183197937905788,0.02500000223517418,0.05000000074505806,0.0,bc4bf6ec57ece38e,False,True
11,11,0,24,0,0.0003758565289899707,0.0003758565289899707,0.0,gtep_p3_side_plus_n0.025_t0.05,False,-0.013439860194921494,0.025098349899053574,0.05000000074505806,0.00019670836627483368,8a99fe9529aeed2c,False,True
12,12,0,22,0,0.0003777093952521682,0.0003777093952521682,0.0,gtep_p3_side_plus_n0.025_t0.05,False,-0.013381227850914001,0.02500000223517418,0.05000000074505806,0.0,8a99fe9529aeed2c,False,True
13,13,0,22,0,0.00037897820584475994,0.00037897820584475994,0.0,gtep_p0_normal_0.025,False,-0.01336737908422947,0.02499999850988388,2.133928145298114e-09,0.0,8a99fe9529aeed2c,False,True
14,14,0,24,0,0.0003800945123657584,0.0003800945123657584,0.0,gtep_p0_normal_0.025,False,-0.013342654332518578,0.02500000223517418,2.133928145298114e-09,7.44108110666275e-05,8a99fe9529aeed2c,False,True
15,15,0,24,0,0.0003815267700701952,0.0003815267700701952,0.0,gtep_p0_normal_0.025,False,-0.013305112719535828,0.02500000409781933,2.2812651767623038e-09,3.1546689569950104e-05,8a99fe9529aeed2c,False,True
16,16,0,24,0,0.0003822006983682513,0.0003822006983682513,0.0,gtep_p0_normal_0.025,False,-0.013252660632133484,0.02499999664723873,4.267856290596228e-09,0.0002874156925827265,8a99fe9529aeed2c,False,True
17,17,0,24,0,0.0003826146712526679,0.0003826146712526679,0.0,gtep_p3_side_plus_n0.025_t0.05,False,-0.013291018083691597,0.025204284116625786,0.05000000447034836,0.00040856562554836273,8a99fe9529aeed2c,False,True
18,18,0,24,0,0.0003829323686659336,0.0003829323686659336,0.0,gtep_p0_normal_0.025,False,-0.013094767928123474,0.02500000037252903,0.0,0.00046804454177618027,8a99fe9529aeed2c,False,True
19,19,0,24,0,0.0003835003590211272,0.0003835003590211272,0.0,gtep_p0_normal_0.025,False,-0.012986800633370876,0.02500000037252903,0.0,0.00043418374843895435,8a99fe9529aeed2c,False,True
20,20,0,24,0,0.00038355751894414425,0.00038355751894414425,0.0,gtep_p0_normal_0.025,False,-0.012857707217335701,0.02500000409781933,3.8680729730344865e-09,0.0006307878065854311,8a99fe9529aeed2c,False,True
21,21,0,24,0,0.0003840833669528365,0.0003840833669528365,0.0,gtep_p6_tangent_then_goal_n0.025_t0.05,False,-0.0031795185059309006,0.025280628353357315,0.05000000819563866,0.0005612592212855816,8a99fe9529aeed2c,False,True
22,22,0,24,0,0.00038573553320020437,0.00038573553320020437,0.0,gtep_p6_tangent_then_goal_n0.025_t0.05,False,-0.0020852484740316868,0.025156648829579353,0.05000000447034836,0.0003132852725684643,8a99fe9529aeed2c,False,True
23,23,0,22,0,0.0003889215877279639,0.0003889215877279639,0.0,gtep_p6_tangent_then_goal_n0.025_t0.05,False,-0.0008918256498873234,0.024999994784593582,0.05000000074505806,0.0,8a99fe9529aeed2c,False,True
24,24,0,22,0,0.000393932918086648,0.000393932918086648,0.0,gtep_p6_tangent_then_goal_n0.025_t0.05,False,0.0003041401505470276,0.02499999850988388,0.05000000819563866,0.0,8a99fe9529aeed2c,False,True
25,25,0,22,0,0.0004009370459243655,0.0004009370459243655,0.0,gtep_p6_tangent_then_goal_n0.025_t0.05,False,0.0015765493735671043,0.02500000223517418,0.05000000074505806,0.0,8a99fe9529aeed2c,False,True
26,26,0,22,0,0.0004100444493815303,0.0004100444493815303,0.0,gtep_p6_tangent_then_goal_n0.025_t0.05,False,0.0029195984825491905,0.02500000409781933,0.05000000074505806,0.0,8a99fe9529aeed2c,False,True
27,27,0,22,0,0.0004213274223729968,0.0004213274223729968,0.0,gtep_p6_tangent_then_goal_n0.025_t0.05,False,0.004326928406953812,0.025000009685754776,0.05000000074505806,0.0,8a99fe9529aeed2c,False,True
28,28,0,22,0,0.0004335487028583884,0.0004335487028583884,0.0,gtep_p6_tangent_then_goal_n0.025_t0.05,False,0.005791083909571171,0.025000007823109627,0.05000000447034836,0.0,8a99fe9529aeed2c,False,True
29,29,0,24,0,0.000437149778008461,0.000437149778008461,0.0,gtep_p6_tangent_then_goal_n0.025_t0.05,False,0.001691092737019062,0.025143515318632126,0.05000000074505806,0.00028700754046440125,4167224da8fdf4de,False,True
30,30,0,24,0,0.0004403754137456417,0.0004403754137456417,0.0,gtep_p6_tangent_then_goal_n0.025_t0.05,False,0.003272934351116419,0.025249231606721878,0.05000000074505806,0.0004984661936759949,4167224da8fdf4de,False,True
31,31,0,24,0,0.0004452053690329194,0.0004452053690329194,0.0,gtep_p6_tangent_then_goal_n0.025_t0.05,False,0.0050337472930550575,0.025086157023906708,0.05000000447034836,0.00017230026423931122,4167224da8fdf4de,False,True
32,32,0,22,0,0.00045307015534490347,0.00045307015534490347,0.0,gtep_p6_tangent_then_goal_n0.025_t0.05,False,0.006803592201322317,0.025000005960464478,0.05000000074505806,0.0,4167224da8fdf4de,False,True
33,33,0,22,0,0.0004666093736886978,0.0004666093736886978,0.0,gtep_p6_tangent_then_goal_n0.025_t0.05,False,0.008570383302867413,0.02500000223517418,0.05000000447034836,0.0,4167224da8fdf4de,False,True
34,34,0,22,0,0.00048790278378874063,0.00048790278378874063,0.0,gtep_p6_tangent_then_goal_n0.025_t0.05,False,0.010341761633753777,0.025000009685754776,0.05000000074505806,0.0,4167224da8fdf4de,False,True
