source_module,imported_module,import_type,resolved_repo_path,stdlib,third_party,local_module,exists_in_target_branch,exists_in_priority1_source,required_for_import,notes
run_v4c_hstep_predictive_recovery,__future__,from_import,__future__.py,true,false,false,false,false,true,import line 2; top-level calls: line 24: matplotlib.use
run_v4c_hstep_predictive_recovery,argparse,import,argparse.py,true,false,false,false,false,true,import line 4; top-level calls: line 24: matplotlib.use
run_v4c_hstep_predictive_recovery,csv,import,csv.py,true,false,false,false,false,true,import line 5; top-level calls: line 24: matplotlib.use
run_v4c_hstep_predictive_recovery,json,import,json.py,true,false,false,false,false,true,import line 6; top-level calls: line 24: matplotlib.use
run_v4c_hstep_predictive_recovery,math,import,math.py,true,false,false,false,false,true,import line 7; top-level calls: line 24: matplotlib.use
run_v4c_hstep_predictive_recovery,sys,import,sys.py,true,false,false,false,false,true,import line 8; top-level calls: line 24: matplotlib.use
run_v4c_hstep_predictive_recovery,time,import,time.py,true,false,false,false,false,true,import line 9; top-level calls: line 24: matplotlib.use
run_v4c_hstep_predictive_recovery,traceback,import,traceback.py,true,false,false,false,false,true,import line 10; top-level calls: line 24: matplotlib.use
run_v4c_hstep_predictive_recovery,dataclasses,from_import,dataclasses.py,true,false,false,false,false,true,import line 11; top-level calls: line 24: matplotlib.use
run_v4c_hstep_predictive_recovery,datetime,from_import,datetime.py,true,false,false,false,false,true,import line 12; top-level calls: line 24: matplotlib.use
run_v4c_hstep_predictive_recovery,pathlib,from_import,pathlib.py,true,false,false,false,false,true,import line 13; top-level calls: line 24: matplotlib.use
run_v4c_hstep_predictive_recovery,typing,from_import,typing.py,true,false,false,false,false,true,import line 14; top-level calls: line 24: matplotlib.use
run_v4c_hstep_predictive_recovery,matplotlib,import,matplotlib.py,false,true,false,false,false,true,import line 22; top-level calls: line 24: matplotlib.use
run_v4c_hstep_predictive_recovery,matplotlib.pyplot,import,matplotlib/pyplot.py,false,true,false,false,false,true,import line 25; top-level calls: line 24: matplotlib.use
run_v4c_hstep_predictive_recovery,numpy,import,numpy.py,false,true,false,false,false,true,import line 26; top-level calls: line 24: matplotlib.use
run_v4c_hstep_predictive_recovery,torch,import,torch.py,false,true,false,false,false,true,import line 27; top-level calls: line 24: matplotlib.use
run_v4c_hstep_predictive_recovery,dynamics.systems,from_import,dynamics/systems.py,false,false,true,true,true,true,import line 29; top-level calls: line 24: matplotlib.use
run_v4c_hstep_predictive_recovery,splat.gsplat_utils,from_import,splat/gsplat_utils.py,false,false,true,true,true,true,import line 30; top-level calls: line 24: matplotlib.use
run_v4c_hstep_predictive_recovery,run_risk_aware_v1_pre_cbf_comparison,import,work/risk_aware_cbf/scripts/run_risk_aware_v1_pre_cbf_comparison.py,false,false,true,true,true,true,import line 32; top-level calls: line 24: matplotlib.use
