method_variant,family,generated_count,feasible_count,selected_count,unique_feasible_step_count,selected_recovery_success_count,mean_selected_min_h,mean_selected_progress_delta,generation_runtime_sec,evaluation_runtime_sec,runtime_share,notes
original_v4c,baseline,360,134,14,0,14,0.0005013325800453978,0.0032784571218614383,0.3051898031723949,17.620588324612598,0.037735849056603765,Runtime is apportioned by generated-candidate count; no raw candidate controls retained.
original_v4c,braking,480,368,14,0,14,0.0005008938273281924,0.0029441067026159872,0.40691973756319316,23.494117766150136,0.050314465408805034,Runtime is apportioned by generated-candidate count; no raw candidate controls retained.
original_v4c,repulsive,540,515,10,0,10,0.0005034561734646558,0.002727689957526125,0.45778470475859234,26.430882486918907,0.05660377358490567,Runtime is apportioned by generated-candidate count; no raw candidate controls retained.
original_v4c,goal_directed,360,283,0,0,0,,,0.3051898031723949,17.620588324612598,0.037735849056603765,Runtime is apportioned by generated-candidate count; no raw candidate controls retained.
original_v4c,continuity,120,51,22,0,22,0.0005008811554448171,0.003342202781897626,0.10172993439079829,5.873529441537534,0.012578616352201259,Runtime is apportioned by generated-candidate count; no raw candidate controls retained.
original_v4c,random,7680,3216,0,0,0,,,6.510715801011091,375.9058842584022,0.8050314465408805,Runtime is apportioned by generated-candidate count; no raw candidate controls retained.
hierarchical_v0,baseline,360,134,14,0,14,0.0005013325800453978,0.0032784571218614383,1.222968745616174,17.915819217601126,0.1935483870967742,Runtime is apportioned by generated-candidate count; no raw candidate controls retained.
hierarchical_v0,braking,480,368,14,0,14,0.0005008938273281924,0.0029441067026159872,1.6306249941548991,23.887758956801502,0.25806451612903225,Runtime is apportioned by generated-candidate count; no raw candidate controls retained.
hierarchical_v0,repulsive,540,515,10,0,10,0.0005034561734646558,0.002727689957526125,1.834453118424262,26.873728826401702,0.2903225806451614,Runtime is apportioned by generated-candidate count; no raw candidate controls retained.
hierarchical_v0,goal_directed,360,283,0,0,0,,,1.222968745616174,17.915819217601126,0.1935483870967742,Runtime is apportioned by generated-candidate count; no raw candidate controls retained.
hierarchical_v0,continuity,120,51,22,0,22,0.0005008811554448171,0.003342202781897626,0.4076562485387248,5.9719397392003755,0.06451612903225806,Runtime is apportioned by generated-candidate count; no raw candidate controls retained.
