run_index,cohort,trial_id,method_variant,navigation_executed,num_steps,stop_reason,collision,qp_infeasible_count,min_safety_h,base_horizon_margin_violation_count,exec_horizon_margin_violation_count,recovery_used_count,recovery_success_count,recovery_failed_count,stage_a_success_count,stage_b_entry_count,stage_b_success_count,stage_b_failure_count,goal_distance_reduction_ratio,runtime_mean,runtime_recovery_mean_sec,runtime_recovery_median_sec,runtime_recovery_p95_sec,seconds_total,formal_recovery_success_count,notes
1,heldout_activated,20,original_v4c,True,200,stopped_before_goal,False,0,0.00036034989170730114,34,34,34,0,34,0,0,0,0,0.6990176360633326,1.3977951094508172,7.906291129286675,7.890308924950659,8.143999834917485,295.8562499526888,0,Compact formal summary only; no controls or per-step trace retained.
2,heldout_activated,20,hierarchical_v0,True,200,stopped_before_goal,False,0,0.00036034989170730114,34,34,34,0,34,0,34,0,34,0.6990176360633326,1.6664598360937088,9.488557810292525,9.509429584257305,9.736596043035387,349.4297492094338,0,Compact formal summary only; no controls or per-step trace retained.
3,heldout_activated,27,hierarchical_v0,True,103,stopped_before_goal,False,0,0.0005058423848822713,4,0,4,4,0,4,0,0,0,0.18993511651809286,0.11726469562832013,1.6004480039700866,1.6007600873708725,1.602419492881745,20.307969914749265,4,Compact formal summary only; no controls or per-step trace retained.
4,heldout_activated,27,original_v4c,True,103,stopped_before_goal,False,0,0.0005058423848822713,4,0,4,4,0,0,0,0,0,0.18993511651809286,0.3626604256699386,7.901149282697588,7.883258617483079,8.089204111415892,45.65037389844656,4,Compact formal summary only; no controls or per-step trace retained.
5,heldout_activated,31,original_v4c,True,145,stopped_before_goal,False,0,0.0005005013663321733,26,0,26,26,0,0,0,0,0,0.3711175775199071,1.4766946605053441,7.908873680979013,7.96701261587441,8.071808685548604,226.02135757915676,26,Compact formal summary only; no controls or per-step trace retained.
6,heldout_activated,31,hierarchical_v0,True,145,stopped_before_goal,False,0,0.0005005013663321733,26,0,26,26,0,26,0,0,0,0.3711175775199071,0.3434763045788839,1.593703876177852,1.5949705867096782,1.6174817928113043,61.42372698709369,26,Compact formal summary only; no controls or per-step trace retained.
7,heldout_activated,32,hierarchical_v0,True,164,stopped_before_goal,False,0,0.0005013941554352641,4,0,4,4,0,4,0,0,0,0.44303461769580715,0.09682718211239795,1.657210364472121,1.6564987059682608,1.6708178181201219,29.393585180863738,4,Compact formal summary only; no controls or per-step trace retained.
8,heldout_activated,32,original_v4c,True,164,stopped_before_goal,False,0,0.0005013941554352641,4,0,4,4,0,0,0,0,0,0.44303461769580715,0.25181023901464733,8.025973618030548,8.01192341838032,8.069132796023041,54.77559293806553,4,Compact formal summary only; no controls or per-step trace retained.
9,heldout_activated,34,original_v4c,True,339,stopped_before_goal,False,0,0.0005010736640542746,3,0,3,3,0,0,0,0,0,0.9874405570448611,0.12571347980130915,8.058834653968612,8.052700208500028,8.087456827796995,70.49216509237885,3,Compact formal summary only; no controls or per-step trace retained.
10,heldout_activated,34,hierarchical_v0,True,339,stopped_before_goal,False,0,0.0005010736640542746,3,0,3,3,0,3,0,0,0,0.9874405570448611,0.06812419930258684,1.6081604895492394,1.6106867138296366,1.6116448005661368,50.32718215510249,3,Compact formal summary only; no controls or per-step trace retained.
