method_variant,family,generated_count,feasible_count,selected_count,unique_feasible_step_count,selected_recovery_success_count,mean_selected_min_h,mean_selected_progress_delta,generation_runtime_sec,evaluation_runtime_sec,runtime_share,notes
original_v4c,baseline,1204,336,43,0,43,0.0005012066211811331,0.002980982377799229,1.030320790360758,59.44368158914048,0.03768991174641826,Runtime is apportioned by generated-candidate count; no raw candidate controls retained.
original_v4c,braking,1601,926,29,0,29,0.0005014303686289951,0.0024529062571526403,1.3698684329951278,79.00744868589518,0.05009448472773359,Runtime is apportioned by generated-candidate count; no raw candidate controls retained.
original_v4c,repulsive,1809,1418,53,0,53,0.0005023311296442769,0.00253533088801992,1.5480830999554487,89.31317916548058,0.0566285150842482,Runtime is apportioned by generated-candidate count; no raw candidate controls retained.
original_v4c,goal_directed,1206,668,1,0,1,0.000501390197314322,0.0030843721228336063,1.0320553999702984,59.542119443653725,0.0377523433894988,Runtime is apportioned by generated-candidate count; no raw candidate controls retained.
original_v4c,continuity,398,135,41,0,41,0.0005012607236006638,0.003513141590740706,0.34049854065456847,19.637981962617083,0.012451419409459909,Runtime is apportioned by generated-candidate count; no raw candidate controls retained.
original_v4c,random,25728,9209,0,0,0,,,22.01718186603303,1270.231881464613,0.8053833256426414,Runtime is apportioned by generated-candidate count; no raw candidate controls retained.
hierarchical_v0,baseline,1408,336,43,0,43,0.0005012066211811331,0.002980982377799229,4.275096878507385,69.428138339575,0.12362623748215593,Runtime is apportioned by generated-candidate count; no raw candidate controls retained.
hierarchical_v0,braking,1866,926,29,0,29,0.0005014303686289951,0.0024529062571526403,5.670186050497842,92.02113077697531,0.16386268388792116,Runtime is apportioned by generated-candidate count; no raw candidate controls retained.
hierarchical_v0,repulsive,2115,1418,53,0,53,0.0005023311296442769,0.00253533088801992,6.42298369739003,104.28757416521144,0.18570052830931938,Runtime is apportioned by generated-candidate count; no raw candidate controls retained.
hierarchical_v0,goal_directed,1410,668,1,0,1,0.000501390197314322,0.0030843721228336063,4.281989131593355,69.52504944347427,0.1238003522062129,Runtime is apportioned by generated-candidate count; no raw candidate controls retained.
hierarchical_v0,continuity,464,135,41,0,41,0.0005012607236006638,0.003513141590740706,1.4090547133791123,22.88378504518338,0.04074763296647244,Runtime is apportioned by generated-candidate count; no raw candidate controls retained.
hierarchical_v0,random,4352,0,0,0,0,,,3.704106023806447,212.26884270931942,0.36226256514791816,Runtime is apportioned by generated-candidate count; no raw candidate controls retained.
