trial_id,original_activation_count,original_recovery_success_count,original_recovery_failed_count,original_exec_horizon_violation_count,original_runtime_mean,original_runtime_p95,original_progress_ratio,activated,development_trial,heldout_included,exclusion_reason,source_artifact
0,0,0,0,0,0.060249808214364514,0.06479112058877945,0.2570814917473162,False,False,False,not_activated_in_original_comparator,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
1,0,0,0,0,0.05440916749922668,0.06024091094732285,0.2736222168102501,False,False,False,not_activated_in_original_comparator,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
2,0,0,0,0,0.056972098137651174,0.06123356083407998,0.2917420716459864,False,False,False,not_activated_in_original_comparator,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
3,0,0,0,0,0.057943158144696374,0.06091718748211861,0.26621215714197694,False,False,False,not_activated_in_original_comparator,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
4,0,0,0,0,0.058636948339302435,0.06182468561455607,0.25914959829963,False,False,False,not_activated_in_original_comparator,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
5,0,0,0,0,0.05836559302712742,0.06718197874724864,0.26980093634636354,False,False,False,not_activated_in_original_comparator,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
6,0,0,0,0,0.058370490219782696,0.06215106686577201,0.28894295337300163,False,False,False,not_activated_in_original_comparator,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
7,0,0,0,0,0.05831930996807477,0.061784086748957634,0.3150604575636073,False,False,False,not_activated_in_original_comparator,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
8,0,0,0,0,0.05775897505403567,0.06046984419226646,0.31240682831469363,False,False,False,not_activated_in_original_comparator,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
9,0,0,0,0,0.05865825217915699,0.06227227235212922,0.3063056676330686,False,False,False,not_activated_in_original_comparator,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
10,0,0,0,0,0.06196088788200574,0.06692392993718385,0.2071973172090993,False,False,False,not_activated_in_original_comparator,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
11,0,0,0,0,0.06166779982683423,0.064717554487288,0.21599414058456223,False,False,False,not_activated_in_original_comparator,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
12,24,24,0,0,1.2588621240958004,8.051676007173956,0.3443199135961186,True,True,False,development_trial,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
13,28,28,0,0,1.3584710202344201,8.001517250481992,0.34120810183123723,True,True,False,development_trial,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
14,8,8,0,0,0.9986031609795877,7.927193702384829,0.09019411836568202,True,True,False,development_trial,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
15,0,0,0,0,0.059223935215009585,0.06033107917755842,0.040767438993842366,False,False,False,not_activated_in_original_comparator,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
16,0,0,0,0,0.05789549376916241,0.05896169207990169,0.04407868329781686,False,False,False,not_activated_in_original_comparator,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
17,0,0,0,0,0.057812941119526375,0.059490076079964635,0.03890690334676211,False,False,False,not_activated_in_original_comparator,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
18,0,0,0,0,0.056108608598942344,0.0574179032817483,0.02866305285060484,False,False,False,not_activated_in_original_comparator,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
19,0,0,0,0,0.05511647214492162,0.05591952502727508,0.004623051128181675,False,False,False,not_activated_in_original_comparator,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
20,9,9,0,0,0.41619008515573025,0.07334026787430048,0.7019161014370533,True,False,True,,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
21,0,0,0,0,0.05774052846658079,0.06561092827469112,0.5818531375718131,False,False,False,not_activated_in_original_comparator,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
22,0,0,0,0,0.05694314209410013,0.06775589985772967,0.5960436441577595,False,False,False,not_activated_in_original_comparator,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
23,0,0,0,0,0.05830667173104912,0.06618720404803753,0.6300270815099747,False,False,False,not_activated_in_original_comparator,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
24,0,0,0,0,0.056890605497488214,0.0637304075062275,0.9875516636756437,False,False,False,not_activated_in_original_comparator,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
25,0,0,0,0,0.057361172715900466,0.059330166503787043,0.15912682604323325,False,False,False,not_activated_in_original_comparator,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
26,0,0,0,0,0.05816436405958874,0.060748967621475455,0.14785185832917125,False,False,False,not_activated_in_original_comparator,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
27,4,4,0,0,0.3714179206205514,0.06122036166489123,0.18993511651809286,True,False,True,,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
28,0,0,0,0,0.05887542675834063,0.06097509479150176,0.18737759328578152,False,False,False,not_activated_in_original_comparator,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
29,0,0,0,0,0.05941770720528439,0.06068418463692069,0.16707722732493624,False,False,False,not_activated_in_original_comparator,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
30,0,0,0,0,0.058549923105881765,0.061555230617523195,0.17190704881204755,False,False,False,not_activated_in_original_comparator,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
31,26,26,0,0,1.5037311097028954,8.140128469467163,0.3711175775199071,True,False,True,,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
32,4,4,0,0,0.24827520721932736,0.06176387518644333,0.44303461769580715,True,False,True,,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
33,0,0,0,0,0.05753528951934659,0.06111055798828602,0.3779079101066579,False,False,False,not_activated_in_original_comparator,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
34,3,3,0,0,0.12419318550631711,0.06298960223793983,0.9874405570448611,True,False,True,,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
35,4,4,0,0,0.14783473643377557,0.07295386418700217,0.9879206510259109,True,False,True,,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
36,3,3,0,0,0.13108476547829784,0.07307657692581415,0.9881889406340176,True,False,True,,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
37,32,32,0,0,0.8956455204890683,8.14636474493891,0.9881707124818707,True,False,True,,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
38,10,10,0,0,0.44542040406238465,0.0691202688030898,0.719661925045416,True,False,True,,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
39,0,0,0,0,0.05568535173865589,0.06285457052290438,0.6852368511654922,False,False,False,not_activated_in_original_comparator,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
40,0,0,0,0,0.057074899177351396,0.07604468874633312,0.6598527910289681,False,False,False,not_activated_in_original_comparator,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
