cohort_index,trial_id,cohort,selection_rule,source_artifact
1,20,heldout_activated,original_comparator_activated_minus_development,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
2,27,heldout_activated,original_comparator_activated_minus_development,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
3,31,heldout_activated,original_comparator_activated_minus_development,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
4,32,heldout_activated,original_comparator_activated_minus_development,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
5,34,heldout_activated,original_comparator_activated_minus_development,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
6,35,heldout_activated,original_comparator_activated_minus_development,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
7,36,heldout_activated,original_comparator_activated_minus_development,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
8,37,heldout_activated,original_comparator_activated_minus_development,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
9,38,heldout_activated,original_comparator_activated_minus_development,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
10,59,heldout_activated,original_comparator_activated_minus_development,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
11,61,heldout_activated,original_comparator_activated_minus_development,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
12,71,heldout_activated,original_comparator_activated_minus_development,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
13,85,heldout_activated,original_comparator_activated_minus_development,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
14,86,heldout_activated,original_comparator_activated_minus_development,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
15,93,heldout_activated,original_comparator_activated_minus_development,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
16,94,heldout_activated,original_comparator_activated_minus_development,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/v4c_hstep3_flight100_v1_bestD/trials.csv
