trial_id,activation_count,original_feasible_count,hierarchical_feasible_count,stage_a_feasible_count,stage_a_selected_count,stage_b_entry_count,stage_b_success_count,stage_b_failure_count,paired_feasibility_regression_count,selected_source_match_count,selected_source_divergence_count,selected_control_delta_mean,selected_min_h_delta_mean,original_cost_mean,hierarchical_selected_cost_mean,cost_regret_mean,selected_progress_proxy_delta_mean,original_recovery_runtime_median_sec,hierarchical_recovery_runtime_median_sec,activated_runtime_reduction_fraction,state_isolation_passed,formal_control_unchanged,instrumentation_error,notes
20,34,0,0,0,0,34,0,34,0,34,0,0.0,0.0,0.058822230745129996,0.058822230745129996,0.0,0.0016027198019206255,8.162342162802815,9.81576754245907,-0.2025675163669561,True,True,False,Formal trajectory executed original V4-C only; hierarchical evaluation is same-state shadow.
27,4,4,4,56,4,0,0,0,0,4,0,0.0,0.0,0.04172673763241619,0.04172673763241619,0.0,0.0012242921435849652,7.929506705142558,1.6229030713438988,0.7953336655492844,True,True,False,Formal trajectory executed original V4-C only; hierarchical evaluation is same-state shadow.
31,26,26,26,572,26,0,0,0,0,26,0,0.0,0.0,0.026008652343998014,0.026008652343998014,0.0,0.0029235156490274306,8.032747952267528,1.6518662963062525,0.7943585051937357,True,True,False,Formal trajectory executed original V4-C only; hierarchical evaluation is same-state shadow.
32,4,4,4,93,4,0,0,0,0,4,0,0.0,0.0,0.023034757126310226,0.023034757126310226,0.0,0.0027975200434586373,8.253161235712469,1.698734875768423,0.7941716116707156,True,True,False,Formal trajectory executed original V4-C only; hierarchical evaluation is same-state shadow.
34,3,3,3,62,3,0,0,0,0,3,0,0.0,0.0,0.018377656527203117,0.018377656527203117,0.0,0.0040422377037149055,8.259643753990531,1.7060059569776058,0.7934528403657394,True,True,False,Formal trajectory executed original V4-C only; hierarchical evaluation is same-state shadow.
35,4,4,4,91,4,0,0,0,0,4,0,0.0,0.0,0.006673035789947335,0.006673035789947335,0.0,0.004418790252429781,8.172459365800023,1.6675964146852493,0.7959492559040697,True,True,False,Formal trajectory executed original V4-C only; hierarchical evaluation is same-state shadow.
36,3,3,3,75,3,0,0,0,0,3,0,0.0,0.0,0.003932349897028568,0.003932349897028568,0.0,0.003806248534830331,8.306436190381646,1.6799289509654045,0.7977557507862805,True,True,False,Formal trajectory executed original V4-C only; hierarchical evaluation is same-state shadow.
37,32,32,32,821,32,0,0,0,0,32,0,0.0,0.0,0.0035340515110146246,0.0035340515110146246,0.0,0.004235733333904018,8.040607471950352,1.6487745037302375,0.7949440375640789,True,True,False,Formal trajectory executed original V4-C only; hierarchical evaluation is same-state shadow.
38,10,10,10,170,10,0,0,0,0,10,0,0.0,0.0,0.006109431758525262,0.006109431758525262,0.0,0.001091506279203705,8.259104155004025,1.6906032031401992,0.795304288284596,True,True,False,Formal trajectory executed original V4-C only; hierarchical evaluation is same-state shadow.
59,10,10,10,216,10,0,0,0,0,10,0,0.0,0.0,0.010181665313866689,0.010181665313866689,0.0,0.003501223019770544,8.265136645175517,1.7033700672909617,0.7939090252929764,True,True,False,Formal trajectory executed original V4-C only; hierarchical evaluation is same-state shadow.
61,8,8,8,134,8,0,0,0,0,8,0,0.0,0.0,0.01046661138913123,0.01046661138913123,0.0,0.002351773123091958,7.994885636493564,1.6430308651179075,0.7944897601013695,True,True,False,Formal trajectory executed original V4-C only; hierarchical evaluation is same-state shadow.
71,13,13,13,271,13,0,0,0,0,13,0,0.0,0.0,0.02821187203733015,0.02821187203733015,0.0,0.002860680939715818,7.966488059610128,1.643197175115347,0.7937363160755477,True,True,False,Formal trajectory executed original V4-C only; hierarchical evaluation is same-state shadow.
85,34,34,34,673,34,0,0,0,0,34,0,0.0,0.0,0.04147842814220556,0.04147842814220556,0.0,0.002458818556216496,8.131337744183838,1.6744109289720654,0.7940792792465503,True,True,False,Formal trajectory executed original V4-C only; hierarchical evaluation is same-state shadow.
86,4,4,4,45,4,0,0,0,0,4,0,0.0,0.0,0.03188840334219858,0.03188840334219858,0.0,0.002826877461367616,8.175622556358576,1.6806429866701365,0.7944324147690723,True,True,False,Formal trajectory executed original V4-C only; hierarchical evaluation is same-state shadow.
93,8,8,8,152,8,0,0,0,0,8,0,0.0,0.0,0.03531087599176317,0.03531087599176317,0.0,0.0009416189488587606,8.211207438260317,1.6838924149051309,0.7949275514513257,True,True,False,Formal trajectory executed original V4-C only; hierarchical evaluation is same-state shadow.
94,4,4,4,52,4,0,0,0,0,4,0,0.0,0.0,0.03330357610248029,0.03330357610248029,0.0,0.0018947183848488647,8.22477411199361,1.6914098281413317,0.7943518198664122,True,True,False,Formal trajectory executed original V4-C only; hierarchical evaluation is same-state shadow.
