run_index,cohort,cohort_index,trial_id,method_variant,selection_rule
1,heldout_activated,1,20,original_v4c,ascending_trial_id_alternating_order
2,heldout_activated,1,20,hierarchical_v0,ascending_trial_id_alternating_order
3,heldout_activated,2,27,hierarchical_v0,ascending_trial_id_alternating_order
4,heldout_activated,2,27,original_v4c,ascending_trial_id_alternating_order
5,heldout_activated,3,31,original_v4c,ascending_trial_id_alternating_order
6,heldout_activated,3,31,hierarchical_v0,ascending_trial_id_alternating_order
7,heldout_activated,4,32,hierarchical_v0,ascending_trial_id_alternating_order
8,heldout_activated,4,32,original_v4c,ascending_trial_id_alternating_order
9,heldout_activated,5,34,original_v4c,ascending_trial_id_alternating_order
10,heldout_activated,5,34,hierarchical_v0,ascending_trial_id_alternating_order
11,heldout_activated,6,35,hierarchical_v0,ascending_trial_id_alternating_order
12,heldout_activated,6,35,original_v4c,ascending_trial_id_alternating_order
13,heldout_activated,7,36,original_v4c,ascending_trial_id_alternating_order
14,heldout_activated,7,36,hierarchical_v0,ascending_trial_id_alternating_order
15,heldout_activated,8,37,hierarchical_v0,ascending_trial_id_alternating_order
16,heldout_activated,8,37,original_v4c,ascending_trial_id_alternating_order
17,heldout_activated,9,38,original_v4c,ascending_trial_id_alternating_order
18,heldout_activated,9,38,hierarchical_v0,ascending_trial_id_alternating_order
19,heldout_activated,10,59,hierarchical_v0,ascending_trial_id_alternating_order
20,heldout_activated,10,59,original_v4c,ascending_trial_id_alternating_order
21,heldout_activated,11,61,original_v4c,ascending_trial_id_alternating_order
22,heldout_activated,11,61,hierarchical_v0,ascending_trial_id_alternating_order
23,heldout_activated,12,71,hierarchical_v0,ascending_trial_id_alternating_order
24,heldout_activated,12,71,original_v4c,ascending_trial_id_alternating_order
25,heldout_activated,13,85,original_v4c,ascending_trial_id_alternating_order
26,heldout_activated,13,85,hierarchical_v0,ascending_trial_id_alternating_order
27,heldout_activated,14,86,hierarchical_v0,ascending_trial_id_alternating_order
28,heldout_activated,14,86,original_v4c,ascending_trial_id_alternating_order
29,heldout_activated,15,93,original_v4c,ascending_trial_id_alternating_order
30,heldout_activated,15,93,hierarchical_v0,ascending_trial_id_alternating_order
31,heldout_activated,16,94,hierarchical_v0,ascending_trial_id_alternating_order
32,heldout_activated,16,94,original_v4c,ascending_trial_id_alternating_order
33,nonactivated_control,1,0,original_v4c,ascending_trial_id_alternating_order
34,nonactivated_control,1,0,hierarchical_v0,ascending_trial_id_alternating_order
35,nonactivated_control,2,52,hierarchical_v0,ascending_trial_id_alternating_order
36,nonactivated_control,2,52,original_v4c,ascending_trial_id_alternating_order
37,nonactivated_control,3,99,original_v4c,ascending_trial_id_alternating_order
38,nonactivated_control,3,99,hierarchical_v0,ascending_trial_id_alternating_order
