activation_index,trajectory_step,current_h,base_horizon_min_h,original_selected_min_h,dt_margin_gap,speed_norm,goal_distance,goal_progress_delta,baseline_control_norm,selected_control_delta_norm,critical_gaussian_id_hash,critical_gaussian_scale_summary,velocity_to_goal_alignment,velocity_to_obstacle_alignment,previous_step_warning,two_steps_previous_warning,original_candidate_count,original_feasible_candidate_count,best_candidate_family,best_candidate_min_h,recovery_success,recovery_failed,activation_streak_id,activation_streak_position
1,1,0.00036034989170730114,0.00034948543179780245,0.00036034989170730114,-0.00013965010829269887,0.0,0.545211672782898,,0.08480042219161987,0.02500000037252903,bc4bf6ec57ece38e,min=5.61936e-06;mean=0.00476322;max=0.014042,0.0,0.0,False,False,150,0,baseline,0.00036034989170730114,False,True,1,1
2,2,0.00036034989170730114,0.00035120698157697916,0.0003609384875744581,-0.0001390615124255419,0.003866774495691061,0.545211672782898,,0.06948749721050262,0.02500000037252903,bc4bf6ec57ece38e,min=5.61936e-06;mean=0.00476322;max=0.014042,-0.03587312623858452,0.15137510001659393,True,False,159,0,baseline,0.0003609384875744581,False,True,1,2
3,3,0.0003609384875744581,0.0003534377319738269,0.0003620629431679845,-0.00013793705683201552,0.006921758409589529,0.5452186465263367,,0.05972101166844368,0.02500000037252903,bc4bf6ec57ece38e,min=5.61936e-06;mean=0.00476322;max=0.014042,-0.04668844863772392,0.14285175502300262,True,True,159,0,baseline,0.0003620629431679845,False,True,1,3
4,4,0.0003620629431679845,0.0003556754672899842,0.00036371638998389244,-0.00013628361001610757,0.009429515339434147,0.5452349185943604,,0.052171703428030014,0.02500000037252903,bc4bf6ec57ece38e,min=5.61936e-06;mean=0.00476322;max=0.014042,-0.05332807078957558,0.13436858355998993,True,True,159,0,baseline,0.00036371638998389244,False,True,1,4
5,5,0.00036371638998389244,0.00035805837251245975,0.0003657367778941989,-0.00013426322210580112,0.011449459940195084,0.5452602505683899,,0.04776903614401817,0.02500000037252903,bc4bf6ec57ece38e,min=5.61936e-06;mean=0.00476322;max=0.014042,-0.05434900522232056,0.12863966822624207,True,True,159,0,baseline,0.0003657367778941989,False,True,1,5
6,6,0.0003657367778941989,0.0003612611908465624,0.00036800175439566374,-0.00013199824560433627,0.013132123276591301,0.5452916622161865,,0.04539761692285538,0.02269880846142769,bc4bf6ec57ece38e,min=5.61936e-06;mean=0.00476322;max=0.014042,-0.051549032330513,0.12413138896226883,True,True,159,0,baseline,0.00036800175439566374,False,True,1,6
7,7,0.00036800175439566374,0.0003608419792726636,0.0003687500720843673,-0.00013124992791563274,0.013986104167997837,0.5453259348869324,,0.04255075380206108,0.02500000037252903,bc4bf6ec57ece38e,min=5.61936e-06;mean=0.00476322;max=0.014042,-0.006215372122824192,0.1577608287334442,True,True,159,0,baseline,0.0003687500720843673,False,True,1,7
8,8,0.0003687500720843673,0.00036288099363446236,0.0003705050330609083,-0.0001294949669390917,0.015432734042406082,0.5453307032585144,,0.04208182170987129,0.02500000037252903,bc4bf6ec57ece38e,min=5.61936e-06;mean=0.00476322;max=0.014042,-0.016352782025933266,0.136688694357872,True,True,159,0,baseline,0.0003705050330609083,False,True,1,8
9,9,0.0003705050330609083,0.0003652038285508752,0.0003733419580385089,-0.00012665804196149112,0.016842877492308617,0.5453438758850098,,0.0420474074780941,0.02500000223517418,bc4bf6ec57ece38e,min=5.61936e-06;mean=0.00476322;max=0.014042,-0.020927801728248596,0.11882556974887848,True,True,159,0,baseline,0.0003733419580385089,False,True,1,9
10,10,0.0003733419580385089,0.0003685994306579232,0.00037559191696345806,-0.00012440808303654195,0.018221324309706688,0.5453621745109558,,0.04237930104136467,0.013405708596110344,bc4bf6ec57ece38e,min=5.61936e-06;mean=0.00476322;max=0.014042,-0.020570412278175354,0.10387912392616272,True,True,159,0,baseline,0.00037559191696345806,False,True,1,10
11,11,0.00037559191696345806,0.0003686839481815696,0.0003758565289899707,-0.00012414347101002933,0.01967436447739601,0.5453817248344421,,0.040340401232242584,0.02500000037252903,8a99fe9529aeed2c,min=0.000217047;mean=0.00426609;max=0.0123359,0.013367924839258194,0.1382412612438202,True,True,159,0,baseline,0.0003758565289899707,False,True,1,11
12,12,0.0003758565289899707,0.00037241296377032995,0.0003777093952521682,-0.00012229060474783183,0.020930107682943344,0.5453693866729736,,0.04103716462850571,0.014484493993222713,8a99fe9529aeed2c,min=0.000217047;mean=0.00426609;max=0.0123359,0.012999805621802807,0.11803688108921051,True,True,159,0,baseline,0.0003777093952521682,False,True,1,12
13,13,0.0003777093952521682,0.00037358549889177084,0.00037897820584475994,-0.00012102179415524007,0.022202491760253906,0.545356810092926,,0.0396743044257164,0.01488393172621727,8a99fe9529aeed2c,min=0.000217047;mean=0.00426609;max=0.0123359,0.04486522078514099,0.12832242250442505,True,True,159,0,baseline,0.00037897820584475994,False,True,1,13
14,14,0.00037897820584475994,0.0003752337070181966,0.0003800945123657584,-0.00011990548763424159,0.023515505716204643,0.5453081130981445,,0.0395607128739357,0.01635180413722992,8a99fe9529aeed2c,min=0.000217047;mean=0.00426609;max=0.0123359,0.0728299543261528,0.13334764540195465,True,True,159,0,baseline,0.0003800945123657584,False,True,1,14
15,15,0.0003800945123657584,0.00037783058360219,0.0003815267700701952,-0.00011847322992980481,0.024862714111804962,0.5452237725257874,,0.04027586057782173,0.009383960627019405,8a99fe9529aeed2c,min=0.000217047;mean=0.00426609;max=0.0123359,0.09737706184387207,0.13356851041316986,True,True,159,0,baseline,0.0003815267700701952,False,True,1,15
16,16,0.0003815267700701952,0.00037859787698835135,0.0003822006983682513,-0.00011779930163174869,0.026103859767317772,0.5451041460037231,,0.0395146906375885,0.009815588593482971,8a99fe9529aeed2c,min=0.000217047;mean=0.00426609;max=0.0123359,0.1344059854745865,0.14481402933597565,True,True,159,0,baseline,0.0003822006983682513,False,True,1,16
17,17,0.0003822006983682513,0.0003798130201175809,0.0003826146712526679,-0.0001173853287473321,0.027401769533753395,0.5449302196502686,,0.03945007175207138,0.00986251700669527,8a99fe9529aeed2c,min=0.000217047;mean=0.00426609;max=0.0123359,0.16743656992912292,0.15086312592029572,True,True,159,0,baseline,0.0003826146712526679,False,True,1,17
18,18,0.0003826146712526679,0.0003811442293226719,0.0003829323686659336,-0.0001170676313340664,0.028241880238056183,0.5447024703025818,,0.039727069437503815,0.009931766428053379,8a99fe9529aeed2c,min=0.000217047;mean=0.00426609;max=0.0123359,0.19975526630878448,0.1549411565065384,True,True,159,0,baseline,0.0003829323686659336,False,True,1,18
19,19,0.0003829323686659336,0.0003835003590211272,0.0003835003590211272,-0.00011649964097887279,0.029146427288651466,0.5444222092628479,,0.03955165296792984,0.0,8a99fe9529aeed2c,min=0.000217047;mean=0.00426609;max=0.0123359,0.22986875474452972,0.1560220718383789,True,True,159,0,baseline,0.0003835003590211272,False,True,1,19
20,20,0.0003835003590211272,0.00038355751894414425,0.00038355751894414425,-0.00011644248105585576,0.03045652061700821,0.5440890789031982,,0.03781558573246002,0.0,8a99fe9529aeed2c,min=0.000217047;mean=0.00426609;max=0.0123359,0.2675858736038208,0.16407297551631927,True,True,159,0,baseline,0.00038355751894414425,False,True,1,20
21,21,0.00038355751894414425,0.0003840833669528365,0.0003840833669528365,-0.0001159166330471635,0.031857796013355255,0.5436835289001465,,0.03796948492527008,0.0,8a99fe9529aeed2c,min=0.000217047;mean=0.00426609;max=0.0123359,0.299587219953537,0.16510069370269775,True,True,159,0,baseline,0.0003840833669528365,False,True,1,21
22,22,0.0003840833669528365,0.00038573553320020437,0.00038573553320020437,-0.00011426446679979564,0.03332950174808502,0.5432084798812866,,0.03940487653017044,0.0,8a99fe9529aeed2c,min=0.000217047;mean=0.00426609;max=0.0123359,0.3289816975593567,0.16206228733062744,True,True,159,0,baseline,0.00038573553320020437,False,True,1,22
23,23,0.00038573553320020437,0.0003889215877279639,0.0003889215877279639,-0.00011107841227203609,0.034864310175180435,0.542662501335144,,0.041426971554756165,0.0,8a99fe9529aeed2c,min=0.000217047;mean=0.00426609;max=0.0123359,0.3578681945800781,0.1570197492837906,True,True,159,0,baseline,0.0003889215877279639,False,True,1,23
24,24,0.0003889215877279639,0.000393932918086648,0.000393932918086648,-0.00010606708191335202,0.03646058961749077,0.5420411229133606,,0.04401266574859619,0.0,8a99fe9529aeed2c,min=0.000217047;mean=0.00426609;max=0.0123359,0.38738366961479187,0.15110231935977936,True,True,159,0,baseline,0.000393932918086648,False,True,1,24
25,25,0.000393932918086648,0.0004009370459243655,0.0004009370459243655,-9.906295407563449e-05,0.03811094909906387,0.5413375496864319,,0.047049425542354584,0.0,8a99fe9529aeed2c,min=0.000217047;mean=0.00426609;max=0.0123359,0.41837212443351746,0.14521457254886627,True,True,159,0,baseline,0.0004009370459243655,False,True,1,25
26,26,0.0004009370459243655,0.0004100444493815303,0.0004100444493815303,-8.995555061846973e-05,0.03981730341911316,0.5405430793762207,,0.05048181489109993,0.0,8a99fe9529aeed2c,min=0.000217047;mean=0.00426609;max=0.0123359,0.45123615860939026,0.13984347879886627,True,True,159,0,baseline,0.0004100444493815303,False,True,1,26
27,27,0.0004100444493815303,0.0004213274223729968,0.0004213274223729968,-7.86725776270032e-05,0.041578903794288635,0.53964763879776,,0.054284628480672836,0.0,8a99fe9529aeed2c,min=0.000217047;mean=0.00426609;max=0.0123359,0.4861413240432739,0.13527266681194305,True,True,159,0,baseline,0.0004213274223729968,False,True,1,27
28,28,0.0004213274223729968,0.00042106397449970245,0.0004335487028583884,-6.645129714161159e-05,0.043392520397901535,0.5386400818824768,,0.05181660130620003,0.07445061951875687,8a99fe9529aeed2c,min=0.000217047;mean=0.00426609;max=0.0123359,0.5230973362922668,0.13167092204093933,True,True,159,0,repulsive,0.0004335487028583884,False,True,1,28
29,29,0.0004335487028583884,0.000437149778008461,0.000437149778008461,-6.285022199153901e-05,0.04324569180607796,0.5375083088874817,,0.06809073686599731,0.0,4167224da8fdf4de,min=0.000111686;mean=0.000298272;max=0.000645081,0.49549490213394165,0.0056306361220777035,True,True,159,0,baseline,0.000437149778008461,False,True,1,29
30,30,0.000437149778008461,0.0004403754137456417,0.0004403754137456417,-5.96245862543583e-05,0.04504448547959328,0.5364401340484619,,0.0630028173327446,0.0,4167224da8fdf4de,min=0.000111686;mean=0.000298272;max=0.000645081,0.5476999878883362,0.010039805434644222,True,True,159,0,baseline,0.0004403754137456417,False,True,1,30
31,31,0.0004403754137456417,0.0004452053690329194,0.0004452053690329194,-5.4794630967080604e-05,0.04683886468410492,0.5352099537849426,,0.059672918170690536,0.0019656012300401926,4167224da8fdf4de,min=0.000111686;mean=0.000298272;max=0.000645081,0.59023118019104,0.002685149200260639,True,True,159,0,baseline,0.0004452053690329194,False,True,1,31
32,32,0.0004452053690329194,0.00045307015534490347,0.00045307015534490347,-4.692984465509654e-05,0.04868084564805031,0.533831000328064,,0.05126168951392174,0.0,4167224da8fdf4de,min=0.000111686;mean=0.000298272;max=0.000645081,0.6272109150886536,-0.011913864873349667,True,True,159,0,baseline,0.00045307015534490347,False,True,1,32
33,33,0.00045307015534490347,0.0004666093736886978,0.0004666093736886978,-3.3390626311302195e-05,0.050205375999212265,0.5323076844215393,,0.04493120312690735,0.0,4167224da8fdf4de,min=0.000111686;mean=0.000298272;max=0.000645081,0.6543949246406555,-0.04008211940526962,True,True,159,0,baseline,0.0004666093736886978,False,True,1,33
34,34,0.0004666093736886978,0.00048790278378874063,0.00048790278378874063,-1.2097216211259375e-05,0.05159375071525574,0.5306684374809265,,0.04077323526144028,0.0,4167224da8fdf4de,min=0.000111686;mean=0.000298272;max=0.000645081,0.675010085105896,-0.07744335383176804,True,True,159,0,baseline,0.00048790278378874063,False,True,1,34
