context_candidate_id,nominal_candidate_id,times_evaluated,times_qp_feasible,times_h3_verified,times_shadow_selected,mean_worst_predicted_h,mean_progress_proxy,mean_progress_delta_vs_original,mean_action_deviation,notes
C003,N0,70,70,59,62,0.0015248012163543276,0.0007452760423932756,0.0,0.0,Included candidate.
C003,N1,11,11,0,0,0.00039690012239258397,0.0007308640263297341,-1.3546510176225142e-08,0.02337559854442423,Included candidate.
C003,N2,11,11,0,8,0.00039738269565118986,0.0007300187240947376,-8.58848745172674e-07,0.0467511960728602,Included candidate.
C003,N3,0,0,0,0,NA,NA,NA,NA,Excluded: directional_semantics_unsupported
C003,N4,0,0,0,0,NA,NA,NA,NA,Excluded: directional_semantics_unsupported
C003,N5,0,0,0,0,NA,NA,NA,NA,Excluded: directional_semantics_unsupported
C003,N6,0,0,0,0,NA,NA,NA,NA,Excluded: directional_semantics_unsupported
C004,N0,160,160,96,126,0.0012633752819965593,0.0010025501251220703,0.0,0.0,Included candidate.
C004,N1,64,64,0,0,0.0003622677468229085,0.0009770127944648266,2.0405277609825134e-06,0.022974631865508854,Included candidate.
C004,N2,64,64,0,34,0.00036252029713068623,0.000978655181825161,3.68291512131691e-06,0.04594926303252578,Included candidate.
C004,N3,0,0,0,0,NA,NA,NA,NA,Excluded: directional_semantics_unsupported
C004,N4,0,0,0,0,NA,NA,NA,NA,Excluded: directional_semantics_unsupported
C004,N5,0,0,0,0,NA,NA,NA,NA,Excluded: directional_semantics_unsupported
C004,N6,0,0,0,0,NA,NA,NA,NA,Excluded: directional_semantics_unsupported
C002,N0,160,160,122,141,0.0014608048324589618,0.0012116137892007827,0.0,0.0,Included candidate.
C002,N1,38,38,1,1,0.0004047867198670773,0.0011179902051624499,-4.4781910745721117e-07,0.021457538596893613,Included candidate.
C002,N2,38,38,1,18,0.00040509283395582125,0.0011174223924938001,-1.015631776106985e-06,0.0429150768016514,Included candidate.
C002,N3,0,0,0,0,NA,NA,NA,NA,Excluded: directional_semantics_unsupported
C002,N4,0,0,0,0,NA,NA,NA,NA,Excluded: directional_semantics_unsupported
C002,N5,0,0,0,0,NA,NA,NA,NA,Excluded: directional_semantics_unsupported
C002,N6,0,0,0,0,NA,NA,NA,NA,Excluded: directional_semantics_unsupported
C001,N0,160,160,125,146,0.0012078576837666333,0.0011372765526175498,0.0,0.0,Included candidate.
C001,N1,35,35,0,0,0.0003849500890022942,0.0011104515620640346,2.963202340262277e-07,0.021092429969991958,Included candidate.
C001,N2,35,35,0,14,0.0003850028717092105,0.001110814298902239,6.590570722307478e-07,0.04218486079147884,Included candidate.
C001,N3,0,0,0,0,NA,NA,NA,NA,Excluded: directional_semantics_unsupported
C001,N4,0,0,0,0,NA,NA,NA,NA,Excluded: directional_semantics_unsupported
C001,N5,0,0,0,0,NA,NA,NA,NA,Excluded: directional_semantics_unsupported
C001,N6,0,0,0,0,NA,NA,NA,NA,Excluded: directional_semantics_unsupported
C006,N0,160,160,119,138,0.004551499326771591,0.0013531461358070374,0.0,0.0,Included candidate.
C006,N1,41,41,0,1,0.0003090997953422186,0.0009260083117136141,2.784699928469774e-06,0.023391438784395775,Included candidate.
C006,N2,41,41,0,21,0.0003091249296941408,0.000929208063497776,5.984451712631598e-06,0.046782878386538204,Included candidate.
C006,N3,0,0,0,0,NA,NA,NA,NA,Excluded: directional_semantics_unsupported
C006,N4,0,0,0,0,NA,NA,NA,NA,Excluded: directional_semantics_unsupported
C006,N5,0,0,0,0,NA,NA,NA,NA,Excluded: directional_semantics_unsupported
C006,N6,0,0,0,0,NA,NA,NA,NA,Excluded: directional_semantics_unsupported
